question,answer,wrong1,wrong2,wrong3
Which of the following organisms will vanish if all the ponds and puddles are destroyed?,Plasmodium,Trypanoma,Leishmania,Ascaris
Organ of defense in Protozaons:,Trichocysts,Statocyst,Otocysts,Nematocysts
Which of the following cannot be degested by Euglena?,Cellulose,Starch,Fats,Protein
Amoeba is :,Omnivorous,Herbivorous,Carnivorous,None
Which word best describe the mode of nutrition in a protozoa?,All,Saprozoic,Halozoic,Parasitic
In which of the following binary fission is not observed?,Monocystic,Euglena,Amoeba,Paramecium
Which of the following is a sexual mode of reproduction in protozoa?,Anisogamy,Sporogony,Plasmotomy,Schizogony
Amoeba shares its habitat with the:,Paramecium and Euglena,Entamoeba and volvox,Paramecium and Monocystic,Radiolarians
Which one of the following is mesokaryotic?,Dinoflagellates,Euglena,Diatoms,Heliozoans
"If protozoan contains 2 contractile vacuoles, which of the following comment best describe the situation?",It drinks more water,The temperature of the environment in which it lives is low,It drinks comparatively low water,It excretes more wastes and starts locomotion
"When Amoeba comes in contact with a less vibrant food particle, the ectoplasm invaginates into endoplasm forming a cyo which depends as a tube carrying food is called:",Circumfluence,Import,Circumvallation,Phagocytosis
Oblique binary fission can be seen in:,Ceratium,Amoeba,Paramecium,Trypanosoma
Parasitic protozoan found in the seminal vesicles of Pheretima posthuma:,Monocystic,Plasmodium,Trichonymoha,Balantium
Amoeba is called immortal and it is scattered in all over the world due to:,Regeneration,Spores,Binary fission,All
Intermediate host of T.cruzi is:,Triatoma spp,Glosaina palpalis,G.morsitans,Tabanus
Infective stage of E.gingivalis is:,Trophozoite,Mature cyst,Sporozoites,Premature cyst
Trypanosoma evansi causes:,Surra disease,Rhodesian fever,Changes disease,Nagana disease
The parasite of endothelial reticular system in man is:,Leishmania,Entamoeba,Taenia,Schistosoma
Amoebiasis is caused by:,E.histolytica,Amoeba,E.gingivalis,E.coli
What happens if a marine protozoan is transferred to freshwater medium?,Enlarges but becomes normal again,Bursts and dies out,Shrinks ans dies out,Remains static and later dies out
One of the class of protozoa is exclusively parasitic:,Sporozoa,Ciliata,Mastigophora,Sarcodina
Which one of the following is protozoan disease?,Kala-azar,Polio,Tetanus,Rabies
Holozoic type of nutrition is found in:,Protozoa,Fungi,Diniflagellates,Algae
Protozoans class that does not carry its name after its locomotry organ is:,Sporozoa,Flagellate,Rhizopoda,Ciliata
Primary basis of classification of protists is based on:,Locomotory organ,Size and shape,Mode of feeding,Reproduction
Black fever is caused by:,Leishmania donovani,Plasmodium falciparum,Trypanosoma cruzi,Entamoeba coli
L.D bodies are seen in:,Kala azar,Toxoplasmosis,Malaria,Sleeping sickness
Which of the following is most severely affected in kala azar?,Spleen,Liver,Lymph nodes,Bon-marrow
The pathogenic stage of malarial parasite is:,Trophozoite,Merozoite,Sporozoite,Hypnozoite
Amoeba is placed in the phylum Protozoa because of the:,Acellular body,Presence of cell wall,Contractile vacuole,Phagocytic nutrition
Proterosongia which is the connecting link between protozoa ans porifera falls on:,Choanoflagellate,Sarcodina,Ciliata,Sporozoa
Type of pseudopodia found in amoeba:,Lobopodia,Reticulopodia,Axopodia,Absent
Liver abscess is observed in chronic condition in:,E. histolytica,E. gingivalis,E.coli,E.hartmanni
Pyorrhea is aggravated by:,E.gingivalis,E.coli,E.histolytica,All
Pathogenicity of Entamoeba histolytica is indicated by:,Zymodeme pattern,Size,Nuclear pattern,ELISA test
Malaria is not seen in patients with:,All,G6PD deficiency,Sickle cell trait,Duffy negative blood group
The protozoan characterized by vesicular nucleus containing endosome?,Entamoeba,Amoeba,Paramecium,Trypanosoma
Laboratory diagnosis of Entamoeba histolytica depends on identification in the:,Stool,Blood,Urine,Saliva
The fresh water protozoans are placed to distilled water. What will happen to their contractile vacuole?,It works faster,It shows no change,It stops forming,It grows larger
Encystent in protozoans help in:,Dispersal,Reproduction,Locomotion,Nutrition
An amoeba survives in a hypotonic solution that destroy a human RBC. This is due to:,Amoeba has water expelling contractile vacuole,Membrane permeability to Amoeba is 100 times less permeable to H2O than membrane of RBC,Both A and B are correct,None
Which of the following represents true fungus like protists?,True slime moulds,Euglena,Amoeba,Giardia
A man of cell is introduced into wings of embryo of Tse-Tse fly.Then,It differentiates into cells of wings,The cell undergoes programmed cell death,It undergoes division without differentiation,None
The stage of Entamoeba histolytica that causes intestinal ulceration is:,Trophozoite,Binucleate cyst,Quadrinucleate cyst,Sporozoite
Balantidium coli can be detected in which sample:,Stool,Urine,Blood,Urine and stool both
Flask shaped Ulcer is causes by which parasite:,E.histolytica,Guardia lambia,Taenia solium,Enterobius vermicularis
Thick smear for malaria detection is best for:,Confirming parasite for malaria,Scanning malarial parasites,Differentiate malaria parasite,All
Thin smear for malarial detection is best to detect:,Confirming species of parasite,Scanning,Confirming parasites,All
Storage food material in Euglena is:,Paramylum bodiea,Glycogen,Starch,None
Irregular binary fission is seen in:,Amoeba,Trypanosoma,Euglena,Paramecium
