question,answer,wrong1,wrong2,wrong3
Transpiration is high in:,High light intensity,Low wind condition,Morning time,Humid condition
The H2O absorbed by root goes to the leaf of a plant by:,Transpiration pull,Root pressure,Capillarity,Atmospheric pressure
"Phellem, Phellogen and Phelloderm are collectively known as:",Periderm,Bark,Secondary cortex,Annual rings
Bicollateral vascular bundle seen in:,Cucurbitacea,Liliaceae,Faveceae,Asteraceae
Rooting hormone is:,Auxin,Ethylene,Cytokinin,GA3
Response to touch us:,Thigmonasty,Geismonasty,Geotropism,Rheotropism
Which of the following are obtained fron oxidative phosphorylation?,NADPH2,ATP,ATP and H2O,NADH2
The end product of glycolysis is:,2 mol of pyruvic acid,2 mol of Acetyl CoA,2 mol of Succinly CoA,"2 mol of malony coA,"
Crossing over takes place between:,Sister chromatid of homologous chromosomes,Non sister chromatid of homologous chromosomes,Non homologous chromosomes,None of the above
How many time a cell have to divide in order to get 32 cells?,6,3,4,5
"The amount of DNA in G1-phase of the cell cucle is 1.2*10^-12, then the amounnt of DNA at the end of G2 phase of cycle is:",2.4*10^-8,1.2*10^-10,2.4*10^-12,7*10^40
Genetic drift is seen in:,Small population,Large population,Pond ecosystem,None of the above
"In a DNA, if number of Adeninine A is 30, then what is the number of Guanine?",30,40,20,70
Number of gametes from the allele AaBBCc is:,4,8,2,6
"If a women (whose father) was colorblind marries to a man (whose father was colorblind, what is the probability of their son getting colorblind?",20%,30%,50%,40%
If a two allele of homologous chromosome is same then the condition is called:,Homozygous,Hemizygous,Heterozygous,Linkage group
"If the sequence of codon in mRNA is GUC, what will be the sequence in anticodon in tRNA?",CAC,ACC,CAG,GUA
What is common between prokaryotes and eukaryotes?,Ribosomes,Nuclear membrane,Nucleolous,Chloroplast
Identify the incorrect statemement?,Golgi body- Protein synthesis,Mitochondria - Oxidative phosphorylation,Chloroplast - Kitchen house of cell,Endoplasmic reticulum - Membrane factory of cell
Herkogamy is a kind of cross pollination which has:,Barrier between androecium and gynoecium,Different in length of pistil and anther,Pollination by wind,Maturation of androecium and gynoecium at different time
Histones are:,Basic protein,Neutral point,Acidic point,Transport protein
The number of bond between the glucose molecules in starch is known as:,Glycosidic bond,Phosphodieseter bond,Hydrogen bond,Covalent bond
Which of the following is not a feature of Solanaceae family?,Persistent petals,Bicarpellary syncarpous,Unilocular ovary,Swollen placenta
Part of plant used in tissue culture?,Explant,Callus,Phellogen,Cambium
"Individuals which have the capacity to live, survice and do thei activity in ecoystem is?",Ecological niche,Habitat,Alloparty,Biome
The innermost layer of anther is:,Tapetum,Exothecium,Nucellus,Endodermis
The endosperm of a plant having male gamete AA and female gamete aa will be:,AAa,aaA,AAA,aaa
Lichens are pioneer of :,Lithosere,Hydrosere,Xerosere,None of the above
The transgenic crop to prevent Vit A defeceincy is:,Golden rice,Tomato,Potato,Brinjal
The  total number of plants of a particualr species at a particular time in area is:,Species,Population,Vegetation,Ecological niche
pH of Acid rain is:,1-2.5,3.5-4.5,2-4,7-9
Which of the following pigment is present in red algeae?,r-phycoerthrycin,Fucoxanthin,chlorophyll-b,chlorophyll-c
Sporophyte of Marchantia is:,Parasitic,Autotrophic,Symbiotic,Saprophytic
Prothallus of fern is:,Haploid,Diploid,Haplo-diploid,All of the above
Turpentine oil is obtained from:,Pine,Cycas,Ephedra,Selaginella
Zygospore of spirogyra is:,Diploid,Haploid,Haplo-diploid,None of the above
Which of the following are set of viral diseases?,"Typhoid, Measles, Cholera","Mumps, Measles, Rabies","HIV, TB, Syphillis","Pnemonia, TB, cholera"
Invert sugar contains:,Glucose and Fructose,.Glucose and sucrose,Glucose only,Fructose only
Variation is not seen in:,a,b,c,d
Persons suffering from sickle cell anemia are:,Less prone to malaria,More prone to malaria,Equal chances of getting malaria as that of normal person,None of the above
