question,answer,wrong1,wrong2,wrong3
Name a fresh water echinoderm,None,Starfish,Asterias,Cucumaria
Microscopic stalked pincer like structures present in echinoderms are,Pedicellaria,Tube feet,Spines,Ossicles
Antedon is a member of class,Crinoidea,Echinoidea,Ophiuroidea,Asteroidea
In which of the following water vascular system is present?,Echinodermata only,Porifera only,Both porifera and echinodermata,None
Organs of locomotion in Echinodermata are,Tube feet,Pseudopodia,Parapodia,Foot
Echinoderms show following characteristics,"Spiny skin, radial symmetry","Spiny skin, bilateral symmetry","Smooth skin, bilateral symmetry","Spiny skin, asymmetry"
Which of the following are radially symmetrical animals?,Both a and b,Coelenterata,Echinodermata,Mollusca
Water vascular system is characteristic of,Starfish,Pisces,Porifera,Amphibia
"""Aristotle's lantern"" occurs in",Sea urchin,Asterias,Sea anemone,Ophiothrix
Aristotle's lantern is used for,Chewing,Locomotion,Excretion,Chemoreception
