question,answer,wrong1,wrong2,wrong3
Most advanced type of thicking in xylem is,Pitted,Annular,Scalariform,Reticulate
Which one is living component of xylem,Xylem parenchyma,Xylem fibre,Tracheid,Vessel
Radial vascular bundle is found in,Root,Stem,Monocot root only,Dicot root only
"Conjoint,collateral and open vascular bundles are found in",Dicot stem,Monocot root,Monocot stem,Dicot root
"If a ring of bark is removed,first to die would be",Root due to food scarcity,Leaf due to no water,Stem due to food scarcity,Root due to no water
Vascular bundle surrounded by sclerenchymatous sheath is found in,Monocot stem,Dicot stem,Dicot root,Monocot root
Conjoint bicollateral open vascular bundle is found in,Cucurbitaceae,Compoistae,Liliaceae,Leguminosae
"Open,collateral and endarch vascular bundle is found in",Dicot stem,Dicot root,Monocot root,Monocot stem
The mesophyll cell is differentiated into spongy and palisade cell in,Dicot leaf,Monocot leaf,Xerophytic,Hydrophytes
Which of the living component of plants have no nucleus ?,Sieve tube,Companion cells,Pith,Cambium
Stele with pith is called,Siphonostele,Dictyostele,Meristele,Protostele
Plant possessing hardest wood is,Shorea robusta,Dalbergia sisso,Tectona grandis,Cedrus deodara
Jute fibre is obtained from,Secondary phloem,Primary xylem,Primary phloem,Secondary xylem
Commercially cork is obtained from,Quercus,Agave,Dalbergia,Cycas
Prosenchyma is found in,Medullary ray,Pith,Endodermis,Cortex
Leaves and stem of grasses grow by,Intercalary meristem,Apical meristem,Lateral meristem,Vascular meristem
Annual rings help in determining,Age of plant,Secondary growth,Diamter of tree/plants,Lateral growth
Jute fibre is obtained from,Secondary phloem,Secondary xylem,Primary xylem,Sclerenchymatousw tissue
Lateral meristem helps in,Secondary growth,Primary growth,Growth and elongation,Callose formation
Which of the following forms cork tissue?,Phellogen,Periblem,Periderm,Phelloderm
Secondary xylem is modified to a hard wood in,Sal trees,Grasses,Shrubs,Climbers
Passage cells and casparian strips of suberin are found in,Endodermis,Epidermis,Pericycle,Cortex
Vascular bundles in dicot stem are,"open,collateral,endarch","Open,collateral,exarch","Closed,collateral,endarch","Cloed,collateral,exarch"
Aerenchyma is found in,HydrophyTes,Xerophytes,Lithophytes,Halophytes
Suberin is present in,Endoermis,Epidermis,Cortex,Pith
Root hairs are present in,Epidermis,Hypodermis,PCortex,Hypodermis
Annual rings are distinct in plants growing in,Temperate regions,Tropical regions,Artic regions,Grasslands
No differentation of mesophyll occurs in,Grass,Neem,Bean,Lime
Transport of food material in higher plants take place through,Sieve elements,Tracheids,Transfussion tissue,Companion cells
The study of climate by counting numbers of annual rings of tree is,Dendroclimatology,Palentology,Orinthology,Paleology
Protoderm is part of,Shoot and root apex,Flower bud,Axillary bud,Cortical region
Grafting is not possible in monocotyledons beccause they,Lack cambium,Lack endodermis and pith,Have scattered vascular bundle,Are herbaceous
Jute fibres are obtained from,Bast fibres,Xylem fibres,Surface fibres,None
The dual complex tissue is,Xylem,Aerenchyma,Parenchyma,Collenchyma
"Trachea,trachieds,wood fibes and parenchyma are present in",Xylem,Cambium,Parenchyma,Phloem
Aerenchyma is found in,Hydrophytes,Xerophytes,Lithophytes,Halophytes
Pericycle lies between,endodermis and vascular hundles,Phloem and xylem,epidermis and hypodermis,endodermis and hypodermis
Name the condition in which xylem is surrounded in both outer and inner side by phloem,Bicollateral,Collateral,Exarch,Endarch
Vessels in plants is generally blocked by,Tyloses,Phellem,Callose,Hydrathode
The vascular bundle having phloem in the centre and surrounded by xylem is termed as,Amphivasal,Amphicribal,Radial,Collateral
Which of the following shows the secondary growth,Yucca,maize,sugarcane,Wheat
The xylem in root is,exarch,endarch,both,none
Stele in monocot stem is,Atactostele,siphonostele,eustele,merostele
Parenhyma cells with air cavities are called,aerenchyma,sclerenchyma,chlorenchyma,collenchyma
The vascular bundles in monocots are arranged in,scattered form,ring form,mixed,tubular form
Intercalary meristem is a portion of,apical meristem,cambium,lateralmeristem,ground meristem
Which one of the following is a living component of xylem system?,Wood parenchyma,Tracheids,Vessels,Xylem fibres
..................is living tissue which is not much found in roots and monocots plant s.,Collenchyma,Parenchyma,Sclerenchyma,Chlorenchyma
"In plants,rate of transpiration is highest from",Stomata,Lenticles,Bark,None
Vascular bundle in root system is,Radial,Scattered,Colateral,Conjoint
Secondary meristem is produced from,Permanent tissue,Secondary tissue,Promeristem,Primary tissue
Vascular bundle in which phloem is completely surrounded by xylem is,Amphivasal,Amhicribal,Bicollateral,Concentric
Rubber is obtained from,Hevea brasiliensis,Fivea sinesis,Hevea brassica,Both b and c
Xylem surrounded by phloem is,Amphicribal,Amphivasal,Collateral,Radial
Oldest secondary xylem is present,just outside primary xylem,inside sec phloem,outsidde sec phloem,Just inside primary xylem
Wound healing in plants is mainly due to formation of,Callus,Phellogen,Phelloderm,Tylose
Chewing gum is obtained from,Achras zapota,Hibiscus gomiferum,Banyan tree,Rubber plant
P.protein are found in,Sieve tube,Xyelem,Phloem,Phloem parenchyma
The age of tree can be determined by,Counting ni if annual  ring,counting noof branches,Measuring diameter of stem,The study of roots
Monocots root differs from dicot root in having,well developed pith,open vascular bundle,scattered vascular bundle,radial vascular bundle
What type of vascular bundle is found in dicot stem?,"Open,collateral,endarch","Open,collateral,exarch","Cloed,collateral and endarch","Closed,collateral and exarch"
Which of the following monocot shows the secondary growthh?,Dracenae,maize,Rice,Sugarcane
Growth rings in dicot stem are f0or0med due to activity of,Intrastelar cambium,Intercalary cambium,Extrastelar cambium,Primary cambium
Kranz type of anatomy is found in,C4 plants,C3 plants,Succulent plants,Woody plants
Which one is not trrue about vascular bundle in monocotyledonous stem?,Open,Collateral,Scattered,Larger towards the centre
A kind of tannin is obtained by boiling of heartwood of,Cassia,Sisssoo,Catechu,Sirish
Vascular bundles in monocots stems are,closed,Open,Radial,Amphivasal
Ballon like ingrowth formed in the tracheids and vessles of heartwood fromadjacent paraenchyma cells are called,Tylosis,Protoderm,Hydathode,Medullary rays
Casparian strips is found in,Endodermis,Epidermis,Pericycle,Cambium
Which one of the following tissue is found only in dicot plants,Collechyma,Xyelm,Phloem,Chlorenchyma
Where dose pericycle lies,betwn endodermis and vqascular bundle,Betwn endodermisand hypodermis,between epidermis and hypodermis,between phloem and xylem
"When xylem is surrounded by phloem,the vascular bundle is",Amphicribal,Exarch,Amphivasal,Bi-collateral
"When phloem and cambium are present on both sides of xylem,The vascular bundle is called",Bicollateral,Radial,Concentric,Collateral
Cork cambium is also called,Phellogen,Phellem,Phelloderm,Periderm
Radial VB is present in,Root,Stem of monocot,Stem of dicot,Leaf
Net like thickening in xylem vessel is called,Pitted,Scaliform,Annular,Reticulate
VB od dicot stem is,endarch,radial,exarch,mesarch
When the rings of linin are deposuted on the inner side of he cell wall the thickening of this type of this type is known as,Reticulate,Spiral,Scalariform,Annular
