question,answer,wrong1,wrong2,wrong3
Wings of pollen of pinus is out growth of,Exine,Intine,Exo intine,Sporangial wall
Double fertilization is present in,Brassica,Fern,Cycas,Funaria
Most common type of ovule in angiosperm is,Anatropous,Orthotropous,Amphitropous,Circinotropous
All are contrivances for cross pollination in different plant except,Hypogamy and heterogamy,Dycliny and self sterility,Protandry and protogyny,Herkogamy and heterostyly
Female gametophyte is also called,Embryo sac,Pollen grain,Ovule,Ovary
Total haploid nuclei in embryo sac,8,7,5,2
Female gametophyte in angiosperm,Embryo sac,Synergic,Seed,None
Apomixis involves,No fusion of gametes,Fusion of gametes,Fusion of male gametes and secondary nucleus,Normal type of reproduction
"Micropyle, funicle and chalaza lie in a straight line in......... type of ovule",Atropus,Anatropous,Hemitropus,Campylotropus
Triple fusion occurs in,Mustard,Algae,Fern,Gymnosperms
8 nucleated female gametophyte is found in,Polygonum type,Allium type,Barley type,Pomegranate type
Development of egg without fertilization is,Parthenogenesis,Parthenocarpy,Paedogenesis,Fertilization
Ornithophily is pollination by,Birds,Ant,Mollusca,Snake
Flowers which remains closed up to seed set is,Cleistogamous,Chasmogamous,Homogamous,Heterogamous
Nutrition to the developing microspores is provided by,Tapetum,Endothecium,Middle layer,Epidermis
Entry of pollen tube through microphyle is,Porogamy,Mesogamy,Basigamy,Dichogamy
Double fertilization is characteristic of,Angiosperm,Bryophytes,Gymnosperms,Pteridophytes
The unique character of floral parts which act as barrier to avoid self pollination and favours cross pollination is,Herkogamy,Heterostyly,Prepotency,Dichogamy
In angiosperm female gametophyte is,Embryo sac,Synergid,Antipodal cell,Egg apparatus
The pollination occurs between neighbouring flowers of the same plant is called,Geitonogamy,Xenogamy,Allogamy,Cleistogamous
Milky water of green coconut is,Liquid endosperm,Liquid nucleus,Liquid of tapetum,Liquid chalaza
An embryo sac of flowering plant has,8 haploid nuclei,4 haploid nuclei,4 diploid nuclei,8 diploid nuclei
The formation of food in absence of fertilization is,Parathenocarpy,Parthenogenesis,Polyembryony,Apomixis
Apomixis is development of new plants,Without fusion of gametes,From stem cutting,From root cutting,From fusion of gametes
When fruit is formed without fertilization it is called,Parathenocarpy,Paratheogenesis,Apogamy,Apospory
Male gametophyte in higher plant is represented by,Male gametes,Microspores,Anther,Pollen grain
The typical angiospermic ovule which is monosporic and eight nucleated is,Polygamous type,Allium type,Fritilium type,Assafoetida type
Cellular totipotency refers to,Potential ability of plant cell to develop into new complete plant,Ability of animal cell to develop into complete animal,Potential ability of plant cell to develop into new species,Ability of animal cell to develop into a new part
In a flowering plant when pollen grain of flower are transferred to a stigma of another flower on the same plant it is known as,Allogamy,Autogamy,Geitonogamy,Xenogamy
Viviparous germination can be observed in,Halophytes,Ordinary plant,Epiphytes,Pteridophytes
Typical cross pollination is found in,Maize,Rice,Pumpkin,Wheat
