question,answer,wrong1,wrong2,wrong3
1. MAJOR CAUSE OF VISUAL IMPAIRMENT,C. UNCORRECTED REFRACTIVE ERROR,A. CATARACT,B. VITAMIN A DEFICIENCY,D. GLAUCOMA
2. NATIONAL BLIND SURVERY WAS DONE IN,B. 1981,A. 1991,C. 1989,D. 1999
3. VISION 2020 WAS LUNCHED IN THE YEAR,1999,A. 2020,B. 2000,C. 1920
4. NEPAL NATIONAL VITAMIN A PROGRAM (NVAP) WAS BEGAN ALL OVER NEPAL IN,C. 2003,A. 1993,B. 1990,D. 1991
5. RICHEST SOURCE OF VITAMIN A IS,D. CORD LIVER OIL,A. CARROT,B. SPINACHES,C. PUMPKIN
6. A PERSON IS SAID TO BE BLIND IF HIS/ HER VA IS LESS THAN,D. 3/60,A. 6/60,B. 1/60,C. 2/60
7. THE MAJOR CAUSE OF BLINDNESS IS,B. CATARACT,A. GLAUCOMA,C. CORNEAL ULCER,D. VITAMIN A DEFICIENCY
8. WHO ARE GIVEN MAXIMUM DOSE OF VITAMIN A,D. LACTATING MOTHER,A. INFANTS,B. CHILDREN,C. MALE
9. MEANING OF XEROPHTHALMIA IS..........,B. DRY EYE,A. RED EYE,C. TRAUMATIC EYE,D. LAZY EYE
10 1 IU IS EQUAK TO..........MICROGRAM,C. 0.3,A. 3,B. 0.03,30
