question,answer,wrong1,wrong2,wrong3
1. FATHER OF IMMUNIZATION WAS:,A. LOUISE PASTEURE,B. EDWARD JENNER,C. SALK,D. SABIN
2. THE TERM VACCINE WAS COINED BY:,C. EDWARD JENNER,A. LANDSTEINER,B. LOUISE PASTEURE,D. ROBERT KOCH
3. NOT A LIVE VACCINE,A. HEPATATITIS-B,B. BCG,C. SMALL POX,D. SABIN POLIO VACCINE
4. ORAL POLIO VACCINE IS:,A. SABINA VACCINE,B. SALK VACCINE,C. D.P.T VACCINE,D. NONE
5. DIPTHERIA VACCINE IS MADE OF:,B. TOXOID,A. TOXIN,C. LIVE ATTENUATED BACTERIA,D. KILLED BACTERIA
6. PROZONE PHENOMENON IS DUE TO :,C. EXCESS ANTIBODY,A. DISPOPORTIONATE ANTIGEN- ANTIBODY LEVELS,B. EXCESS ANTIGEN,D. HYPERIMMUNE REACTION
7. ANTENIC DRIFT IS COMMONLY SEEN IN:,D. INFLUNZA VIRUS,A. TYPHOID,B. DIPTHERIA,C. CHLOERA
8. THE VALUE OF IgM IS:,D. 5,A. 1,B. 2,C. 4
9. REACTION OF SOLUBLE ANTIGEN WITH ANTIBODY IS KNOWN AS:,B. PRECIPITATION,A. AGGLUTINATION,C. FLOCCULATION,D. COMPLEMENT FIXATION
11. hapten are:,C. NO IMMUNOGENIC,A. IMMUNOGENIC,B. HETERPOHILE ANTIGEN,D. NONE
11. NAME OF THE GRIFT OBTAINED FROM IDENTICAL TWIN IS:,A. ISO GRAFT,B. ALLO GRAFT,B. AUTO GRAFT,C. XENO GRAFT
