question,answer,wrong1,wrong2,wrong3
The disaccharide present in milk is,Lactose,Sucrose,Maltose,Cellobiose
The enzyme used during fermentation of carbohydrate to \(CO_2\) and alcohol is,Zymase,Diastase,Invertase,Maltase
Which is not a carbohydrate?,Haemoglobin,Starch,Cellulose,Glycogen
Which of the following is not a polysaccharide ?,Maltose,Starch,Cellulose,Glycogen
Which of the following is a polysaccharide,Inulin,Isomaltose,Cellobiose,Lactose
Hydrolysis of table sugar produces,Glucose and fructose,Two molecules of glucose,Glucose and galactose,Glucose and lactose
Which of the following base is purine,Adenine,Thymine,Uracil,Cytosine
Which enzyme is used during the production of alcohol from carbohydrates by fermentation?,Zymase,Invertase,Starch,Molasses
Which of the following is an aldohexose?,Galactose,Cellulose,Sucrose,Raffinose
Molisch test is given given by,All of these,Glucose,Sucrose,Fructose
Maltose on hydrolysis produces,Glucose,Fructose,Maltose,Mannose
Which of the following cannot form peptide bond on polypeptide chain?,Acetic acid,Aspartic acid,Glutamic acid,Alanine
Amino acids usually exist in the form of zwitter ions. This means that they consist of,The basic \(COO^-\) group and the acidic \(NH_3^+\) group,The basic \(NH_2\) group and acidic COOH group,The basic \(NH_3^+\) group and the acidic \(COO^-\) group,Positive ammonium [\(NH_4^+\)] group and negative chloride [\(Cl^-\)] group
Isoclectric point is the pH at which,Zwitter ion has zero charge,Amino acid becomes acidic,An amino acid becomes basic,Zwitter ion has +ve charge
The enzyme pepsin hydrolyses,Proteins to amino acids,Fats to fatty acids,Starch to glucose,Nucleotide to nitrogen base
Presence of peptide bond is the characteristic features of,Proteins,Carbohydrates,Lipids,Nucleic acid
Lipids consist up of,"Fat, oil and its derivatives",Amino acid derivatives,Polysterene,Carbohydrates
Enzyme is a,Protein,Hormone,Fatty acid,Steroid
DNA multiplication is called,Replication,Translation,Transduction,Transcription
The purine base present in RNA is,Guanine,Uracil,Cytosine,Thymine
Glycolipids and phospholipids are,Complex lipids,Simple lipids,Derived lipids,Lipoproteins
Milk sugar is,Lactose,Maltose,Fructose,Sucrose
Starch is hydrolyzed to maltose by an enzyme,Diastase,Lipase,Zymase,Invertase
Which of the following is the sweetest sugar?,Fructose,Sucrose,Glucose,Maltose
Hydrolysis of sucrose is called,Inversion,Inhibition,Saponification,Hydration
Alkaline hydrolysis of esters is known as,Saponification,Esterification,Dehydration,Alkalination
Which of the following enzymes hydrolyses triglycerides to fatty acid and glycerol?,Lipase,Amylase,Maltase,Pepsin
Fat is a,Lipid,Protein,Carbohydrate,Amino acids
Two complementary strands of DNA in a double helix are joined each other by,Hydrogen bond,Glycosidic bond,Phosphodiester bond,Peptide bond
The main function of RNA in the body is,Protein synthesis,Transmission of hereditary charactestics,Acts as second messenger,Maintenance of chromosomal length
Upon hydrolysis protein gives,Amino acids,Fatty acids,Hydroxyacids,Alcohols
Liquid fats are converted into solid fats by,Hydrogenation,Saponification,Hydrolysis,Oxidation of double bond
