question,answer,wrong1,wrong2,wrong3
The enzymes present in pancreatic juice are,"Trypsinogen, Lipase, Amylase, Procarbo­xypeptidase","Amylase, Trypsinogen, Peptidase, Rennin","Peptidase, Pepsin, Amylase, Rennin","Maltase, Amylase, Trypsinogen, Pepsin"
Which of the following hormones stimulates the production of pancreatic juice and bicarbonate?,Cholecystokinin and secretin,Insulin and glucagon,Gastrin and insulin,Angiotensin and epinephrine
What is the role of mucus secreted by the stomach?,To protect the lining of the stomach,To digest fats,To kill the germs in the food,To digest the proteins
Water from the undigested food is absorbed mainly in the,Large intestine,Stomach,Food pipe,Small intestine
"Which of the following statements is/are false?

I. Bile juice is produced by Gall bladder.

II. Stomach does not produce any digestive enzymes.

III. Digestion of protein begins in the Buccal cavity.

IV. Chemical digestion of food is completed in the small intestine.","I,II & III",I & II,II & III,Only II
Fat is completely digested in,Small intestine,Stomach,Mouth,Large intestine
Through which of the following organs maximum nutritional elements in the blood are absorbed?,Small intestine,Mouth,Large Intestine,Abdomen
Which juice secreted by the organs in the alimentary canal plays an important role in the digestion of fats?,"Bile juice,Pancreatic juice","Pancreatic juice,saliva","HCL,mucus","Saliva,HCL"
Bile juice is formed in,Liver,Kidney,Salivary Gland,Lung
Saliva helps in digestion of,Starch,Fiber,Proteins,Fats
"In the buccal cavity of human being, digestion of which one of the following get started?",Carbohydrates,Protein,Fat,None
Which is the longest organ of digestive system in human body?,Small intestine,Pancreatic duct,Large Intestine,Esophagus
"After digestion,Protein is converted into....................?",Amino Acid,Glucose,Sucrose,Fat
"Dietary fibres are very much required in our daily food, so as to?",To help our body fet rid of undigested food,To provide extra protein,To balance the insulin secretd by pancreas,To decrease tiredness
Infants’ gastric juice contains,"nuclease, pepsinogen, lipase","maltase, pepsinogen, rennin","amylase, rennin, pepsinogen","pepsinogen, lipase, rennin"
The absorption of fructose by intestinal mucosa is,facilitated transport,co-­transport mechanism,simple diffusion,active transport
Carboxypeptidase requires _______ for its activity,Zn,copper,niacin,iron
Na+ and other carrier ions facilitate absorption of,amino acids and glucose,amino acids and fructose,fatty acids and glycerol,fatty acids and glucose
Secretin and cholecystokinin are secreted in,duodenum,pyloric region,Ileum,Oesophagus
Which of the following hydrolytic enzymes act in low pH?,Proteases,Peroxidases,Hydrolases,Amylases
Which of the following is synthesized and stored in the liver cells?,Glycogen,Galactose,Lactose,Arabinose
The disease caused due to deficiency of nicotinic acid is,pellagra,anaemia,osteomalacia,xerophthalmia
Which of the following takes up fatty acid and glycerol first from the alimentary canal?,Lymph vessels,Villi,Blood capillaries,Hepatic portal vein
Due to the absence of which one of the following is meals rich in fat not digested in the intestine?,Steapsin,Pepsin,Enterokinase,Insulin
"In the human body, why is the intestine 29 feet long?",more length increases food digestion and absorption,it provides more area for food storage,bacteria contained in food may gradually be killed,None of these
Where are crypts of lieberkuhn present?,intestine,stomach,oesophagus,all of these
"In mammals, which structure prevents the entry of goods into the windpipe during swallowing?",epiglottis,larynx,pharynx,glottic
What is the hardest substance in the vertebrate body?,enamel,keratin,dentine,chondrin
Which epithelium forms the inner lining of the stomach wall?,columnar,cuboidal,ciliated,squamous
Which of the following is not a proteolytic enzyme?,Steapsin,Chymotrypsin,Rennin,All of these
The end products of carbohydrate digestion are?,"Glucose, galactose, fructose","Sucrose, galactose, maltose","Galactose, glucose, maltose",None of these
Which of the following produces trypsinogen?,Pancreas,Liver,Duodenum,Stomach
"What is destroyed by lysozyme, which is present in perspiration, saliva and tears?",certain types of bacteria,most virus-infected cells,certain fungi,all viruses
Water can be consumed by mammals and also obtained from what?,Oxidation of glucose,Breakdown of glycogen into glucose,Secretion of saliva,Conversion of oxyhaemoglobin into haemoglobin
Why does a piece of bread taste sweet when it is chewed?,Saliva converts starch into maltose,The sugar contents are drawn out,It does not taste sweet,The taste buds are stimulated by chewing
Which of the following is the reason why herbivorous animals can digest cellulose?,bacteria present in their caecum help in the digestion of cellulose,their molar and premolar teeth can crush and grind the food,gastric juice has a digestive enzyme for cellulose digestion,alimentary canal is very long.
Where is the centre of hunger or the centre that regulates how much food we eat or our appetite located?,Hypothalamus,Medulla,Cerebrum,Alimentary canal
Where are the lymph vessels called lacteals found?,Villi of ileum,Mammary glands,Pancreas,Mucosa of intestine
The pylorus is located between?,Stomach and duodenum,Ileum and rectum,Duodenum and ileum,Oesophagus and stomach
Where are parotid salivary glands present?,Below the ears,Below the tongue,In the angle between two jaws,Below the eye orbits
Hardening of tooth enamel is caused by which element?,Fluorine,Calcium,Iodine,Sodium
In which of the following is a large caecum that helps in the digestion of cellulose with symbiotic bacteria present?,Rabbit,Man,Cat,Frog
Where are parotid salivary glands present?,angle of mandible,Below the tongue,Below the cheeks,Below the eye orbits
What attaches the tongue to the floor of the oral cavity?,Frenulum,Papillae,Uvula,Gullet
Which one of the following is the correct pairing of the site of action and substrate of rennin?,Stomach – casein,Stomach – fat,Small intestine – protein,Mouth – starch
What is the function of the gallbladder?,storage of bile,formation of enzymes,synthesis of bile,formation of bile salts
In which of the following does ptyalin of saliva act?,slightly acidic (6.8) medium,slightly alkaline (7.8) medium,neutral (7.00) medium,strongly acidic (3.2) medium
The largest gland – the liver has many functions. Choose one from the following which is not correct.,Secretion of a hormone called gastrin,Metabolism of carbohydrate,Digestion of fat,Formation of bile
What is responsible for the first step in the digestion of milk in humans?,Pepsin,Lipase,Trypsin,Rennin
The blood absorbs fructose through mucosa cells of the intestine by a process called?,facilitated transport,active transport,simple diffusion,co-transport mechanism
Antibacterial lysozyme is secreted by which cells in the “Crypts of Lieberkuhn”?,Paneth cells,Zymogen cells,Kupffer cells,Argentaffin cells
What does tocopherol stand for?,Vitamin E,Vitamin A,Vitamin C,Vitamin K
Deficiency of which vitamin causes scurvy?,C,A,B,D
Largest and least numerous taste buds are,Circumvalate,Fungiform,Filiform,Foliate
Stenson's duct is the duct of,Parotid glands,Sub maxillary glands,Sub lingual glands,Infra orbital glands
Oesophagus contains,Outer longitudinal and inner circular muscles,Outer circular and longitudinal muscles,Only circular muscles,None
Which has no serosa?,Oesophagus,Stomach,Ileum,Jejunum
Opening of oesophagus and stomach is guarded by,Cardiac sphincter,Pyloric sphincter,Circular muscles,Sphincter of oddi
