question,answer,wrong1,wrong2,wrong3
The pylangium and synangium frog's heart is marked by:,2 nd row of semi-lunar valves,First row of semilumar valves,Spiral valve,Sinu-arterial node
The hind brain of frog consists of:,Medulla oblongata and cerebellum,Optic lobe,Optic lobes and medulla oblongata,Diencephalon and medulla oblongata
Mesorchium refer to,A peritoneal fold that connects testis and kidney in frog,Capsule in testis of frog,Capsule in ovary of rabbit,A peritoneal fold that connect ovary and kidney in frog
Skin of frog does not possess,Epidermis,Mucous glands,Chromatophore,Scales
The glands Present in the skin of frog are,Mucous and poisonous,Sweat and mucous,Sweat and Mammary,Sweat and sebaceous
How many lymph heart does frog has?,4,3,2,1
Sclatic vein offrog opens in,Kidney,Heart,Pelvic region,Liver
Which of the following vertebra is amphicoelous in frog?,8th,9th,Typical,Axis
Digital formula of forelimb in frog is,"0,2,2,3,3","0,3,2,3,3","2,2,3,3,3","2,3,3,3,3"
Laryngo-tracheal chamber is found in:,Frog,Rabbit,Hare,Monkey
Oviduct collects the ova from,Coelomic fluid,Ovary,Testes,Abdominal cavity
"In frogs, the pancreas produces:",3 digestive enzymes and 2 hormone,3 digestive enzymes and 1 hormone,3 digestive enzymes and 3 hormone,3 digestive enzymes and 1 hormone
Which of the following is absent frog?,External ear,Middle ear,Internal ear,None
Nictitating membrane/ Third Eye of frog is the outgrowth/modification of,Lower eyelid,Upper eyelid,Conjunctiva,Brow spot
The innermost layer of epidermis is,Stratum germinativum,Stratum corneum,Stratum compactum,Stratum spongiosum
Kidney of frog is,Mesonephros,Archinephros,Pronephros,Metanephros
Which of the following enhances metamorphosis of tadpole into frog?,Iodine,Sodium chloride,Glucose,Chlorine
Ureter in male frog is,Urinogenital duct,Urinary duct,Genital duct,None
Ureter in male frog is,Duct carrying bith urine and sperm,Duct carrying urine,Duct carrying sperm,None
Dermis of frog is,Mesodermal in origin,Ectodermal in origin,Endodermal in origin,None
Vocal cord in frog are present in,Both male and female frog,Male frog only,Female frog only,None
Vocal sacs in frog are present in,Male frog only,Female frog only,Both male and female frog,None
On removing the thyrid from tadpole of frog,It remains tadpole,It will die soon,It grows into a giant frog,It grows into a dwarf frog
"In frog, the testes are attached to the ventral and anterior part of kidney by",Mesorchium,Mesetry,Mesovarium,Mesorenal omentum
"In frog, the ovaries are attached to the kidney with the help of",Mesovarium,Mesentry,Mesorchium,Mesorenal omentum
Which of the follwoing arches/division of each aortic trunk is the largest?,Systemic Arch,Carotid Arch,Pulmocutaneous arch,None
The periodic casting off of the outer larger of epidermis in frog is called,Moulting or Ecdysis,Keratinization,Metachrosis,Hibernation
In a complete buccopharyngeal respiration both sternohyal and petrohyal muscles contract,Once,Twice,Thrice,None
Which of the following structre is not involved in breathing in frog?,Diaphragm,Skin,Lungs,Buccalcavity
The phenomenon of changing the colour of skin by frog with respect to surrounding is called,Metachrosis,Nictitation,Ecdysis,Moulting
The total time period of cardiac ccle in frog is,0.94 sec,0.8 sec,0.72 sec,0.64 sec
Rate of heart beat in frog is,64 beats/min,72 beats/min,80 beats/min,75 beats/min
Frog is,Ureotelic,Ammonotelic,Uricotelic,Guanotelic
Bidder's camnal is found in,Kidney of male frog,Kidney of frog,Testis of frog,Liver of frog
Bidder's canal is found in,Kidney of frog,Testis of frog,Liver of frog,Ovaries of frog
The second vertebrae of frog is,Typical vertebra,Atlas,Axis,Urostyle
The spiral valve is present in,Cnus Arteriosus,Bulbous arteriosus,In between right ad left auricle,Auricle and ventricle
Combining makes innominate vein in frog,Internal jugular nad sub-scapular,Lingua mandibular,Brachial and musculo-cutaneous,Hepatic portal and anterior abdominal
The only acoelous vertebra in frog is the,IX vertebra,VII vertebra,VIII vertebra,X vertebra
Which of the following is present in frog but absent in mammal?,Mucous glands,Stratum germinativum,Malphigian layer,Sebaceous gland
Portal system carries blood,From capillaries to cappilaries,To capillaries,From capillaries,From liver to intestine
