question,answer,wrong1,wrong2,wrong3
When CH2Cl  is treated with aq. KOH compound A is formed and when A is treated with  Cu at 300•c gives B. Identify B,HCHO,HCOOH,RCO-R,CH3OH
Best method to manufacture chlorobenzene is,Rashing's process,Dow's method,Castner process,Deacon's process
"Chloromethane when treated with aq. KOH compound A,  which when treated with Cu at 300•c forms compound B. What is B?",HCHO,CH4,CH2CL2,HCOOH
War gas is,Chloropicrin,Phosgene,Chloroform,Methane
Benzophenone and acetophenone are distinguished by,NaOH/I2,Aq. NaHSO3,"2,4-DNP",Tollen's reagent
Phenol with chloroform in presence of aq. NaOH IS reacted to form sodium salt of salicylaldehyde. This reaction is called as,Reimer-Tiemann rxn,Gattermann-koch rxn,Rosenmund reduction,Hoffmann's rxn
Electrolysis of sodium in presence of ethanol gives,Chloroform,Chloral,Ethylchloride,Acetaldehyde
Iodoethane reacts with alc. KCN and its complete hydrolysis forms,Propanoic acid,Acetonitrile,Ethyl amine,Ethanamine
The reactivity order of alkyl halides is,RI> RBr>RCl,RCL>RI> RBr,RCl> RBr>RI,RI> RCl> RBr
Which of the following is intermediate in chlorination of isobutane in presence of peroxide?,Ter-butyl free radical,Carbo- anion,Tert-butyl-carbo carbon,Cerbene
"In darzen's process for preparation of alkyl halide from alcohol, the reagent use is;",Socl2/ pyridine,HCl gas + anhydrous ZnCl2,HBr 48% and conc H2SO4,Px5
"CHCl3 is stored in dark coloured bottels, because",In light oxidized to COCl2,It is anaesthetic,In light it is oxidized to CCl4,In light reduced to CH2CL2
Which of the following doesn't give haloform test?,Ethane,Ketone,Ethanol,Ethanal
"When choloform is boiled with aqueous KOH followed by acidification, it gives:",Methanoic acid,Methoxy methane,Methanol,Methanal
An alkyl halide can be converted into alcohol by;,Subsitution,Addition,Elimination,Dehydrogenation
An organic compound A on treatment with silver nitrate followed by acid hydrolysis gave acetic acid. The compound A is,C2H5Cl,C2H5OH,CH3CL,CH3COCl
By which of the following is chloroform tested before its being used as an anaesthetic,AgNO3 solution boiling with KOH,AgNO3 solution,Fehling's solution,Ammonium cuprous chloride
By which of the following is chloroform tested before its being used as an anaesthetic,AgNO3 solution boiling with KOH,AgNO3 solution,Fehling's solution,Ammonium cuprous chloride
By which of the following is chloroform tested before its being used as an anaesthetic,AgNO3 solution boiling with KOH,AgNO3 solution,Fehling's solution,Ammonium cuprous chloride
The reaction of benzene with a Haloalkane in the presence of anhydrous ALCl3 is,Freidel craft rxn,Wurtz rxn,Frankland rxn,Riemen- tiemann rxn
The reaction of benzene with a Haloalkane in the presence of anhydrous ALCl3 is,Freidel craft rxn,Wurtz rxn,Frankland rxn,Riemen- tiemann rxn
Whooping cough is treated by,CHBr3,CH3CH2Br,CH3CH2Cl,CHCl3
