question,answer,wrong1,wrong2,wrong3
Leech secretes which of the following anticoagulant?,Hirudin,Heparin,Serotonin,Histamine
A definite number of body segments is found in,Leech,Earthworm,Tapeworm,Slug
A bio-luminescent annelids is,Polynoe,Nereis,Aphrodite,Leech
"Organisms having bilateral symmetry, closed circulatory system and metameric segmentation belongs to",Annelida,Mollusa,Arthropoda,Echinodermata
"Which one of the following exhibit concentric ""tube within a tube"" plan?",Oligochaeta,Hydrozoa,Calcarea,Echinodermata
Aphrodite is commonly known as,Sea mouse,Seafan,Lugworm,Ragworm
Which is not a feature of annelid?,Pseudocoelom,Metamerism,Nephridia,Clitellum
Solenocytes and nephridia are respectively found in,Platyhelminthes and Annelida,Cnidaria and Mollusca,Annelida and Nematoda,Mollusca and Echinodermata
Heteronereis stage is,Sexually matured with two regions atoke and epitoke,Transformation of sexual individual into asexual,Sexually immatured with two regions atoke and epitoke,All of the above
Cuticle of annelids is,Non-chitinous and albuminoid,Chitinous,Chitinous and albuminoid,Non-chitinous
Botryoidal tissue is found in,Hirudinaria,earthworm,Rabbit,Ascaris
Which of the following belongs to Annelida,Sea mouse,Sea pen,Sea fur,Sea cow
Parapodia are found in,Polychaeta,Oligochaeta,Arthropoda,Hirudinea
The most important character of annelids is,Metamerism,Hermaphroditism,Elongated body,Presence of nephridium
