question,answer,wrong1,wrong2,wrong3
Inflammation of lung parenchyma is ...,Pneumonia/Pneumonitis,Lungitis,Parenchymitis,Asthma
COPD comprises of ...,Both a and b,Chronic Bronchitis,Emphysema,Asthma
Hiccough is due to ...,Irritation of phrenic nerve,Dust in trachea,Remembrance of beloved,Inflammation of larynx
Which respiratory centers are present in Pons Varolli?,Both,Pneumotactic,Apneustic,None
Which is a macronutrient?,Carbohydrates,Vitamins,Minerals,Water
Inhalation and exhalation of air is called,Breathing,Respiration,Cellular respiration,Aspiration
Which is a separate bone?,Inferior nasal concha,Mastoid process,Superior nasal concha,Middle nasal concha
Maximum chance of epistaxis?,Little's area,Huge's area,Wilson's area,Peter's area
Which bone is present in nasal septum?,Vomer,Lacrimal,Septal bone,Mastoid
The largest paranasal sinus is . . .,Maxillary,Frontal,Sphenoid,Ethmoid
Common passage for food and air is. . .,Oropharynx,Nasopharynx,Hypopharynx,Whole Pharynx
Waldeyer's Ring has all of the following except . .,Maxillary tonsil,Adenoids,Tubal Tonsils,Palatine tonsil
Which is the paired cartilage?,Cuneiform,Epiglottis,Thyroid,Cricoid
Tracheal ring made of . . .,Hyaline,Elastic,Fibrous,Calcified
Right principle bronchus is...,"Wider, shorter, and vertical","Narrower, shorter, and less vertical","Wider, longer, and vertical","Wider, shorter, and vertical"
Respiratory zone starts from..,Below terminal bronchioles,From bronchiolies,Below trachea,From Alveolar duct
Which fissure is absent in lung?,Horizontal,Oblique,Both,None
"In alveoli, surfactant is produced by",Type II pneumocyte,Type I pneumocyte,Kuffer's cells,Dust cells
How many bones make a rib cage?,37,24,34,40
Thoracic diaphragm is...,Involuntary and striated,Voluntary and striated,Involuntary and non-striated,Voluntary and non-striated
Which is true?,Inspiration is always active process.,Expiration is always passive.,Inspiration can be both active and passive,Expiration and inspiration both can be passive anda active.
Normal Inspiratory Reserve Volume is...,3000 ml,1200 ml,500 ml,1100 ml
Vital capacity of lungs is equal to,IRV + ERV +TV,IRV + ERV +TV - RV,IRV + ERV +TV + RV,IRV + ERV
How much CO₂ is transported in the form of Bicarbonate?,70%,23%,3%,99%
97% of O₂ is transported in form of,Oxyhaemoglobin,Carboxyhaemoflobin,In dissolved form,Bicarbonate form
97% of O₂ is transported in form of,Oxyhaemoglobin,Carboxyhaemoflobin,In dissolved form,Bicarbonate form
Right shift of oxygen Hemoglobin dissociation curve is...,Bohr's effect,Haldane effect,Chloride shift,Hamburger Phenomenon
Entry of Cl- and exit of HCO₃- from RBC is called as. . .,Hamburger Phenomenon,Reserve Chloride Shift,Bohr's effect,Haldane Effect
The correct order of affinity of Hb for different gases is,CO>O₂>CO₂,CO > CO₂>O₂,O₂>CO>CO₂,O₂>CO>CO₂
Which is considered as both hormone and nutrient?,Vitamin D,Vitamin A,Vitamin B,Vitamin C
Foregut is . . .,Upto stomach,Upto Jejunum,Upto Duodenum,Upto Liver
Hard palate has ..... bones.,Palatine and Maxilla,Only palatine,Only Maxilla,"Palatine, Maxilla and Vomer"
Enamel is secreted by ...,Ameloblast,Odontoblast,Odontocyte,Amelogenin
Hardest substance,Enamel,Dentine,Bone,Cartilage
Number of deciduous teeth ...,20,28,32,10
Dental formula of human is,2123/2123,2123/2122,2122/2122,2033/1023
Dental formula of rabbit is,2033/1023,2123/2123,2023/1033,2103/2103
The dental formula of 13 year old boy is,2122/2122,2103/2103,2123/2123,None
How many teeth apper twice during the life span of an individual?,20,16,32,22
