question,answer,wrong1,wrong2,wrong3
1 torr is,1mm of Hg,1 atm,1 cm of Hg,1 barr
What is the dimension of capacitance?,\(M^{-1}L^{-2}T^4A^2\),\(M^{-1}L^2T^{-3}A^{-2}\),\(LT^{-4}\),\(ML^2T^{-4}A^{-2}\)
Dimension of which are same,Work and moment of force.,Torque and force.,Velocity and velocity gradient,.All
Dimension of universal gas constant is:,\(ML^2T^{-2}K^{-1}mol^{-1}\),\(M^oL^2T^{-2}K^{-1}\),\(ML^2T^{-2}K^{-1}mol^{-2}\),\(ML^2T^{-2}K^{-1}mol^{-2} mol\)
The least count is 0.01 mm. Two wires of length L1 and L2 are measured and they are connected forming a single wire. Then the measurement is:,(L1+ L2)m ± 0.02 mm,(L1+ L2) m± 0.01 mm,(L1-L2) m± 0.02 mm,(L1-L2) m± 0.01 mm
The dimension of Boltzmann's constant is:,\(ML^{2}T^{-2}K^{-1}\),\(ML^2T^{-2}K^1\),\(ML^{-2}T^{-2}K^{-1}\),\(ML^3T^{-2}K^1\)
The dimensional formula for coefficient of viscosity is,\(ML^{-1}T^{-1}\),\(ML^2T^{-2}\),\(ML^{-1}T^1\),\(ML^2T^{-1}\)
In a micrometer gauge the reading is done by rotating terminal screw on account of worn out threads on circular scale in same sense to prevent:,Backlash error,Zero error,Instrumental error,Absolute error
"If force, length and time are taken a fundamental unit then the dimension of mass will be:",\(F^1L^{-1}T^2\),\(F^1L^1T^{-2}\),\(F^0L^0T^{-2}\),\(F^1L^2T^{-2}\)
Inductance divided by resistance will have the unit:,Sec.,Ampere/sec,Volt/sec,Per sec
Planck's constant has the dimensions of:,Angular momentum.,Energy,Mass,Frequency
Dimension of torque is:,\(M^1L^2T^{-2}\),\(M^1L^2T^2\),\(M^1L^2T^1\),\(M^1L^1T^1\)
Dimension of moment of inertia of a body is,\(M^1L^2T^{0}\),\(M^1L^{-2}T^{-1}\),\(M^2L^2T^0\),\(M^1L^1T^1\)
The dimension of inductance,\(ML^2T^{-2}A^{-2}\),\(ML^2T^{-2}A^{-1}\),\(ML^2T^{-3}A^{-2}\),\(MLT^1A^{-1}\)
The coefficient of thermal conductivity is expressed in the unit,Joule per Kelvin per meter per second.,Watt (Kelvin per meter),Watt. (meter per Kelvin).,Joule (Kelvin per meter per second).
Dimension of Work is same as,Torque,Force,Power,All
Which one of the following pairs of physical quantities has the same dimesion,Work and energy.,Power and energy.,Force and momentum.,Energy and momentum.
The dimension of which of the following has [ML-1T-1],Viscosity,Angular momentum,Force,Surface tension
Dimension of the stress,\(ML^{-1}T^{-2}\),\(ML^{-2}T^{-2}\),\(ML^2T^2\),\(ML^1T^2\)
Candela is the unit of,Intensity of flame.,Amount of substance.,Level of sound.,None
1 Watt Second is equal to,Joule,N/M,Nm/Kg,Joule/second
Find out the dimension of K in the equation: W=1/2 \(kx^2\),\(ML^0T^{-2}\),\(ML^0T^{-1}\),\(M^0LT^{-1}\),\(ML^{-1}T^{-2}\)
"If energy E, velocity V and time T are as fundamental units, the dimensional formula for surface tension becomes",\((EV^{-2}T^{-2})\),\((E^0V^{-2}T^{-2})\),\((E^2V^2T^{-2})\),\((EV^{-2}T^2)\)
Which of the following system of units cannot enter into fundamental units?,"Velocity, frequency and acceleration","Length, mass and time","Energy, force and density","Volume, time period and moment of inertia"
What are the dimensions of angular displacement?,None,(L),\((M^0LT^{-1})\),\((L^2)\)
