question,answer,wrong1,wrong2,wrong3
The symbiotic asscociation between algae and fungi is called,Lichen,Myccorizha,mutualism,VAM
This is a crustose lichen,Rhizocarpon,Peltigera,Usnea,None of the above
This about lichens is incorrect,They grow rapidly about 2cm every day,Lichens are indicators of pollution,Some species are eaten by reindeers,They have symbiotic relationship between alga and fungus
Most of the scientists deem the algal-fungal relationship in lichens as helotism. Helotism is a,master-slave relationship,master-master relationship,a kind of mutualism,a kind of symbiotic association
"Majorly, lichens are the pollution indicators of",SO2,CO,Mercury,NO2
Vegetative reproduction in lichens takes place by,all of the above,isidia,soredia,fragmentation
This lichen is pioneer in xerosere,crustose lichen,fruticose lichen,foliose lichen,leprose lichen
A common phycobiont in lichens are,Trebouxia,Cetraria,Microcystis,Oedogonium
Foliose lichens are attached to substratum by means of,Rhizines,Roots,Rhizoids,Rhizome
The most common fruiting body of lichen is,Apothecium,Carpogenium,Perithicium,Cleisothecium
Lichen growing on rocks are called,Saxicolous,Corticolous,Coprophilous,Terricolous
"In lichens, sexual reproduction belongs to",Fungal partner only,Algal partner only,Fungal and algal partners (both),Either fungal partner or algal partner (not both
Which one of the following pairs is correctly matched,Mycorrhizae        -       Mineral uptake from soil,Rhizobium          -       Parasite in the roots of leguminous plants,Yeast                  -       Production of biogas,Myxomycetes      -       The disease ring worm
Mycorrhiza is a,Association of root and fungus,Long thin root,Root like underground stem,Parasitic root
Mycorrhiza works as,A root hair in adverse condition,Modified root,An organism for vegetative propagation,Mechanical tissue for support
"In ectomycorrhiza, the fungus is generally belong to",Basidiomycetes,Zygomycetes,Phycomycetes,Ascomycetes
Lichen with branched system but small base is,Fruticose,Foliose,Crustose,Symbiont
"In majority of lichens, there is association of",Blue green algae and ascomycetes,Green algae and ascomycetes,Green algae and basidiomycetes,Blue green algae and basidiomycetes
Lichens which seems to be something painted on the rocks is,Crustose,Foliose,Fructicose,Mycobiont
Lichens are ecologically important as they,Are pioneers of barren rocks,Purify air,Are symbionts of algae and fungi,Are associated with mycorrhizal roots
Litmus is obtained from,Lichen,Algae,Fungi,Protozoa
Fungus/Lichens which grow on wood is,Lignocolous,Terricolous,Saxicolous,Corticolous
Which of following is called as old man's beard?,Usnea,Parmeila,cetraria,Cladonia
Cetaria is used in treatment of,Diabetes,Cancer,Epilepsy,Whooping cough
A lichen used in treatment of TB and lung cancer is,lobaria,Cladonia,Cetraria,Parmeila
Food used by fungal partner made by algal partner in lichen is,mannitol,starch,sugar,glycogen
Lichen respires with the help of,Cyphella,Soredia,Isidia,Cephalodia
Premelia is a...............................lichen.,foliose,Crustose,fructiose,maltose
Lichen reproduces by,Soredia,Gonidia,condia,oidia
The mode of life of lichen is,Symboint,Obligatory parasite,Saprophyte,None
Which of the following is lichen?,Reinderr moss,Irish moss,Club moss,Spanish moss
