question,answer,wrong1,wrong2,wrong3
"The driver of a car travelling with speed of 45 km/hr towards a person is also travelling by car towards source with same speed, the frequency of sound heard by person is provided that the driver's car produces frequency of 500 Hz:",540 Hz,500 Hz,600 Hz,640 Hz
Which can produce maximum pitch sound?,Mosquito,Lion,Man,Woman
The loudness of sound is 40 dB. What is the intensity level of sound?,10^-8,10^-7,10^-6,10^-12
A window whose area is 2m2 opens on a street where the street noise result in an intensity level at the window of 60 dB. How much 'acoustic power' enters the window via sound waves,2 μW,4.5 μW,6 μW,8.5 μW
A source and listener is moving in the same direction with a velocity equal to half the velocity of sound what is the change in frequency.,0%,100%,25%,50%
"A car travels at a speed of 20 m/s towards a high wall. The driver sounds a horn of frequency 124 Hz. If velocity of sound in air is 330 m/s, the frequency of the reflected sound heard by the driver will be:",140 Hz,109 Hz,149 Hz,280 Hz
A listener is moving away from a stationary source of sound. The listener hears a sound of frequency,Lower than the source frequency.,Higher than the source frequency,Same as that of the source frequency.,Either (a) or (c).
A sound wave has intensity 10^-9 W/m2. The intensity level in dB is equal to,30,0,90,12
"Which of the following sounds have maximum speed in air, sound produced by an explosion of a bomb, the roaring of a lion, buzzing sound of mosquito",all above have equal speed,sound produced by an explosion of a bomb,the roaring of a lion,the buzzing sound of mosquito
The notes that are separated by three octaves have a frequency ratio of,8,3,6,16
A star is moving away from the earth. The wavelength of the light notes by the observer on the earth will be,more than the real wavelength,equal to the real wavelength,less than the real wavelength,Doppler's effect is not applicable for light waves
The intensity level due to waves of same frequency in a given medium are 1 bel and 5 bel. Then the ratio of their amplitudes is,1:10^2,1:4,1:2,1:10^4
"A man is watching two trains, one leaving and the other coming towards him with equal speed of 4 m/s. If they sound their whistles, each of natural frequency of 240 Hz, the number of beats heard by (velocity of sound in air = 320 m/s) will be equal to",6,3,zero,12
"Speed of sound in air at a given temperature is 350 m/s. An engine which blows horn of 1200 Hz, is approaching the observer with velocity 50 m/s. The apparent frequency as heard by the observer will be",1400 Hz,600 Hz,1050 Hz,2400 Hz
"The apparent frequency noted by a moving listener away from the stationary source is 10% less than the real frequency. If the velocity of sound is 330 m/s, the velocity of the listener is",33 m/s,16.5 m/s,8.25 m/s,66 m/s
"A source of sound moves towards a stationary observer with a velocity equal to velocity of sound. If the source produces n waves/sec, the observer receives",all waves in no time,n waves/sec,2n waves/sec,n/2 waves/sec
A tuning fork of frequency 90 Hz is sounded forward an observer moving with a velocity equal to 1/10th the velocity of sound. The note heard by the observer will have a frequency,99 Hz,100 Hz,90 Hz,990 Hz
"A whistle is whirled in a circle of radius 1m and traverses the circular path twice per second. An observer is situated outside the circle but in its plane. If the velocity of sound is 332 m/s, then the interval between the highest and the lowest observed pitch is",1.08:1,332:1,332:4π,2:1
