question,answer,wrong1,wrong2,wrong3
Which Nobel gas is most abundant in atmosphere ?,Ar,Kr,He,Ne
Sea divers use mixture of He and O2 because,It doesn't dissolve in blood at high pressure,It is higher than N2,It is easily available,It is less reactive than N2
Which of the following is used in conducting tube of tube light for coloring purpose.,Neon,Argon,Xenon,Nitrogen
Which  of the following is the most reactive ?,Xe,He,Ar,Kr
What is formed when Xenon combines with fluorine in presence of mercury vapour ?,XeF2,XeF,Xe2F,XeF4
The coloured discharge tube for advertisement mainly contains,Neon,Xenon,Helium,Argon
Which gas is used to fill electric bulbs ?,Ar,O2,N2,He
Which gas is used for advertising and coloring ?,Ne,Xenon,He,Kr
From He to Xe2 forms stable fluoride due to,Lowest ionization enthalpy,Large size,Higher heat of vapourization,Higher vapour density
The inert gas abudantly found in atmosphere is,Ar,He,Kr,Xe
Which of the  following gas is used in conductiong tube of tube light for colouring purposes?,Neon,Argon,Xenon,Nitrogen
Which of the following is moest abudant inert gas?,Ar,He,Ne,Kr
Which of the following inert element is used in the treatment of cancer?,Rn,He,Ne,Ar
Which noble gas is most abudant in atmosphere ?,Ar,Kr,He,Ne
Sea divers use mixture of He and O2 because,doesnot dissolve in blood at high pressure,It is higher than N2,it is easily available,it is less reactive than N2
Which is most easily liquefied?,Xe,He,Ne,Ar
The element which is used to cure the cancer is,Rd,Ar,He,Ne
The nobel gas which is used in the treatment of cancer,Radon,Argon,Krypton,Xenon
"In a chemical reaction,heat is absorbed and volume increases,then favourable condition for the forward reaction is",High temperature and low pressure,High temperature and High pressure,Low temperature and low pressure,Low temperature and high pressure
