question,answer,wrong1,wrong2,wrong3
"Photosynthesis, a process of manufacture of organic compounds is","Anabolic, endothermic, oxidative reductive process","Catabolic exothermic, reductive process",Both anabolic and catabolic process,A chemical process
The energy change in photosynthesis is from,Light energy to chemical energy,Light energy to electrical energy,Light energy to molecular energy,Light energy to activation energy
The energy contained in plant carbohydrates come from,SunlightCo2,Mineral,CO2,Water
90% ofthe total photosynthesis is carried out by,Algae,Mesophytes,Xerophytes,Pteridophytes
Photosynthesis is fastest in,Sunlight,Blue light,Red light,Green light
Photosynthesis is fastest in,Red light,Green light,Blue light,Ultra-violet light
Photosynthesis is fastest in,Intermittent light,Green light,Blue light,Red light
Plant purifyair during,Photosynthesis,Respiration,Transpiration,Desiccation
Photosynthesis is,Reduction process,Photochemical process,Chemical process,Oxidation process
Photosynthesis occurs in,Chloroplast,Leaves,Leaf cells,Plants
Balance between CO2 and O2 is maintained by,Photosynthesis,Transpiration,Photorespiration,C4 pathway
Bacterial photosynthessis differs from that of higher plants in,Not liberating oxygen,Nonrequirement of light,Nonfixation of energy,Requirement of host organism
"In bacterial photosynthesis, the hydrogen donor is",H2S,H2O,H2SO4,NH3
What is true for photsynthesis?,Carbondioxide is reduced and water is oxidized,Both carbondioxide and water are oxidized,Both carbon dioxide and water are reduced,Carbondioxide is oxidized and water is reduced
The oxygen evolved in photosynthess is released from,H2O,CO2,Carbohydrate,Chlorophyll
During photosynthesis the oxygen in glucose comes from,CO2,H2O,Both H2O and CO2,Oxygen in air
Hypothesis for oxygen coming from water was put forward by,Hill,Warburg,Blackman,Mendel
Chlorophyll is found in,Grana of chloroplast,Stroma of chloroplast,Covering of chloroplast,Dispersed form in the chloroplasts
Chlorophyll is found in,Thylakoid membrane,Stroma of chloroplast,Matrix of chloroplast,Chloroplast envelope
The experimental material that has largely been responsible for making rapid advances in research on photosynthesis is,Chlorella,Chlamydomonas,Spirogyra,Hydrilla
Chlorophyll takes part in,Absorption of light and photochemical splitting of water,Adsorption of light,Absorption of CO2,Absorption of electrons
"in aquaria, green plants are grown for",Oxygen,CO2,Fish food,Both a and b
The percentage of light energy utilized for photosynthesis by higher plants is,1-2,100,50,10
Chlorophyll is soluble in,Organic solvents,Water,Both a and b,None of the above
Translocation of carbohydrate nutrients usually occurs in the form of,Sucrose,Glucose,Maltose,Starch
Which one of the following is the common storage product of photosynthesis?,Starch,Protein,Fat,Sucrose/ glucose
Oxygen containing carotenoids are called,Xanthophylls,Carotenes,Phycobilins,Anthocyanini
"Beside water and light, which is more essential as a raw material for food formation",CO2,NAD,O2,Mineral salts
The algae used by Ruben and Kamen is,Chlorella,Hydrilla,Chlamydomonas,Spinach
The pigment present universally in all green oxygenic plants is,Chlorophyll a,Chlorophyll b,Chlorophyll c,Chlorophyll d
Two types of photosynthetic pigments are,Chlorophyll and carotenoids,Chlorophyll a and carotenoids,Chlorophyll b and carotenoids,Chlorophyll a and chlorophyll b
Hydrilla is used for demonstrating photosynthesis because it shows,Evolution of O2 bubbles which can be collected over water,Little respiration,Little transpiration,Rapid photosynthesis
The oxygen produced during photosynthesis comes from water was proved by,Ruben and Kamen,M Calvin,Robert Mayer,Blackman
The basic structure of chlorophyll comprises of,Porphyrin system,Cytochrome system,Plastocyanin system,Flavoprotein system
Thylakoids possess photosynthetic unit called,Quantosomes,Glyoxysomes,Polysomes,Ribosome
ATP is,Adenosine triphosphate,Adenine triphosphate,Adenosine tetraphosphate,Adenine tetraphosphate
NAD is,Nicotinamide adenine dinucleotide,Nicotinamide adenosine dinucleotide,Nicotinamide adenosine diphosphate,Nicotinamide adenine diphosphate
"In a chlorophyll molecule, magnesium is present",Center of porphyrin,At one end of prophyrin,Phytol tail,Between porphyrin head and phytol tail
Chlorophyll 'b' has,-CHO group,-COOH group,-CH3 group,Non functional group
Light reaction occurs in,Light,Dark,Both light and dark,All the time
The first steo in photosynthesis is the,Excitement of an electron of chlorophyll by photon of light,Joining of 3-Carbon atom to form glucose,Formation of ATP,Ionization of water
The site for light reaction is,Grana,Stroma,ER,Cytplasm
The empirical formula for chlorophyll 'a' is,C55H72O5N4Mg,C35H72O5N4Mg,C65H70O6N4Mg,C45H70O6N4Mg
The number of chlorophyll molecule in each quantasome is,250,230,130,300
Which photosynthetic bacteria possess both PS I and PS II,Cyanobacteria,Purple sulphur bacteria,Purple nonsulphur bacteria,Green sulphur bacteria
Bacterial photosynthesis contains,PS I,PS II,Both of these,None of these
Pigment acting as reaction centre for photosynthesis is,P700,Carotene,Phytochrome,Cytochrome
Light reaction of photosynthesis is also called,Hill reaction,Calvin cycle,TCA cycle,All the above
"In pigment system II, the active chlorophyll is",P680,P700,P673,P720
The process of photophosphorylation was discovered by,Arnon,Calvin,Priestly,Warburg
Which products of hill reaction are used in Blackman's reeaction?,"ATP, NADPH","ATP, NADH","ADP, NAD","ATP, NAD"
Main substance involved in transfer of electrons in the photosynthesis is,Cytochrome,Phytochrome,FAD,Both a an b
A specific function of light in the process of photosynthesis is,Split water molecules,Reduction of CO2,Activate other molecules,None of the above
Conversion of ATP to ADP produces,Energy,Electricity,Hormones,Enzymes
Element essential for photolysis of water is,Chlorine,Nitrogen,Oxygen,Carbon
The ingredient required for ATP synthesis is,P,Ca,S,Fe
Photolysis of water occurs in association of,PS II,Cytochrome B6,Plastocyanin,PS I
Which is sensitive to longer wavelengths of light?,PS I,PS II,Phosphorylation,Photolysis
Ferrodoxin is a constituent of,PS I,PS II,Hill reaction,P680
ATP synthesis during light reaction is,Photophosphorylation,Oxidative phosphorylation,Photolysis,Phosphorylation
The process in which water is split during photosynthesis is,Photolysis,Hydroloysis,Plasmolysis,Hemolysis
Photophosphorylation means synthesis of,ATP from ADP,NADP,ADP from ATP,PGA
Both respiration and photosynthess require,Cytochromes,Sunligth,Green cells,Organic substance
Cyclic photophosphorylation produces,ATP only,NADPH2,ATP and NADPH2,"ATP, NADPHE and O2"
Cyclic photophosphorylation involves,PS I,PS II,Both of these,none of these
Products of noncyclic photophosphorylation are,"ATP, NADPH2 and O2",NADPH2,ATP and NADPH2,ATP only
Noncyclic photophosphorylation is performed by,Both b and c,Dark reaction,PS I,PS II
Which one occurs both during cyclic and noncyclic modes of photophosphorylation,Formation of ATP,Involvement of both PS I and PS II,Release of O2,Formation of NADPH
For fixing one molecule of glucose in Calvin cycle are required,18 ATP and 12 NADPH2,18 ATP and 18 NADPH2,12 ATP and 18 NADPH2,30 ATP and 12 NADPH2
Conversion of PGA and PGAL involves,Reduction,Oxidation,Electrolysis,Hydrolysis
The carbon dioxide acceptors in C3 plants is,"Ribulose 1,5-biphosphate(RUBP)",Phosphoenol pyruvate (PEP),Phosphoglyceric acid (PGA),Ribulose monophosphate(RMP)
Dark reactions of photosynthesis occur in,Stroma outside photosynthetic lamellae,Franal thylakoid membranes,Stromal lamella membranes,Periplastidial space
Primary electron acceptor in cyclic photophosphorylation is,Iron0sulphur containing protein (FeS),RUBISCO,NADP+,FAD
Special feature of C4 plants is,Krantz anatomy,Thin cuticle,Multilayered epidermis,Both a and b
Which one is the common product of both respiration and photosynthesis?,ATP,Quinine,Cytochrome,Chlorophyll
Dark reaction in photosynthesis is called so because,It does not require direct light energy,It can occur in dark alone,It cannot occure during day time,It occurs more rapidly at night
