question,answer,wrong1,wrong2,wrong3
"K, Ca and Li metals may be arranged in the decreasing order of their standard electrode potentials as","Li,K,Ca","K,Ca,Li","Li,Ca,K","Ca,Li,K"
Alkali metals give colour in Bunsen Flame due to,low ionization potential,low mp,softness,one electron  in outermost orbit
The alkali metal that reacts with nitrogen directly to form nitride is,Li,Na,K,Rb
Fused NaCl is used for electrolysis because,"Aqueous NaCl solution, if electrolysed gives sodium which further reacts with water to form sodium hydroxide",Aqueous NaCl solution cannot be electrolysed,It becomes covalent in the fused state,It melts at a very low temperature
A solution of sodium metal in liquid ammonia is strongly reducing due to presence of,Solvated electron,Sodium atoms,Sodium hydride,Sodium amide
"When CO is passed over solid NaOH heated to 200 degree celsius, it forms",HCOONa,Na2CO3,NaHCO3,None of these
NaOH is manufactured by electrolysis of brine solution. The products of the reaction,Cl2 and H2,Cl2 and Na-Hg,Cl2 and Na,Cl2 and O2
Which of the following are recycled in the manufacture of Na2CO3,CO2 and NH3,CO2 and NH4Cl,NaCl and CaO,CaCl2 and CaO
Sodium nitrate decomposes above 800 degree celsius to give,O2,N2,NO2,Na2O
Excess of NaOH when reacts with zinc produces,Na2ZnO2+H2,NaOH+ZnO,ZnH,(Zn)OH2
Potassium carbonate cannot be prepared by solvay process because,KHCO3 is quite soluble in water,K2CO3 is unstable,K2CO3 is soluble in water,KHCO3 is unstable
The enthalpy of hydration from Li+ to Cs+,Decreases,Increases,Remain same,None
In which of the following commercial process a catalyst is not used?,Solvay process,Haber's process,Deacon's process,Lead chamber process
The pair whose both species are used in antacid medicinal preparation is,NaHCO3 and Mg(OH)2,NaCO3 and Ca(HCO3)2,Ca(HCO3)2 and Mg(OH)2,Ca(OH)2 and NaHCO3
The paramagnetic species is,KO2,SiO2,TiO2,BaO2
The salt used for performing bead test in qualitative inorganic analysis is,Na(NH4)HPO4.4H2O,K2SO4.Al2(SO4).24H2O,FeSO4.(NH4)2SO4.6H2O,CaSO4.2H2O
CO2 is released on heating,Li2CO3,Na2CO3,K2CO3,Cs2CO3
"When sodium is treated with sufficient oxygen/air, the product obtained is",Na2O2,Na2O,NaO2,NaO
