question,answer,wrong1,wrong2,wrong3
Ozone is formed in the upper layer of the atmosphere by,Action of UV rays on Oxygen,Combination of \(O_2\),High pressure on Oxygen,Action of electric discharge on 02
Ozone is,An allotrope of oxygen,An isomer of oxygen,An isotope of oxygen,Isostructural with H₂O₂
Which of the following compounds produce holes in ozone layer in the upper atmosphere?,Freon,Sulphur dioxide,Carbon dioxide,Carbon monoxide
Ozone can be detected by using,Hg,Na,Ag,Ar
Bleaching property is shown by all except:,\(O_2\),\(Cl_2\),\(So_2\),\(H_2O_2\)
Oxygen has a positive oxidation state in,\(F_2O\),\(H_2O_2\),\(Cl_2O\),NaOCl
Which of the following is an amphoteric oxide?,\(Al_2O_3\),\(Na_2O_3\),MgO,\(SO_2\)
Which of the following is a mixed oxide?,\(Pb_3O_4\),\(Na_2O_2\),\(P_4O_6\),\(P_4O_{10}\)
The compound that gives off oxygen on moderate hrating is,Mercuric oxide,Cupric oxide,Zinc oxide,Aluminium oxide
The most abundant on earth's surface is,\(O_2\),Si,Al,Fe
Oxygen is obtained by heating,Potassium dichromate,Ammonium dichromate,Bleaching powder,Sodium peroxide
Which of the following substance absorbs oxygen?,Alkaline CuSO4 solution,Alkaline pyrogallol solution,Conc. H2SO4,water
What is the product formed when ozone reacts with mercury?,\(Hg_2O\),HgO,\(Hg_2O_2\),\(HgO_2\)
Gas used for sterilizing water is,\(O_3\),\(SO_2\),\(NO_2\),\(NH_3\)
Which of the following oxides are basic and amphoteric respectively?,"MgO, ZnO","CaO, MgO","ZnO, CaO","Sio, ZnO"
Which of the following oxide is amphoteric?,BeO,\(Na_2O\),MgO,FeO
Freon is used as,Refrigerant,Antibiotics,Antiseptic,Antichlor
When SO2 reacts with iron,Fe is oxidised,\(Fe_2O_3 \) is formed,Fes is formed,Fe is reduced
The concentrated \(H_2SO_4\) is used extensively to prepare other acids because concentrated H2SO4,Has a high boiling point,Is highly ionized,Is an excellent dehydrating agent,Has a high density
Transition temperature for 'alpha and Beta sulphur is,96°C,101°C,95°C,92°C
Charring of sugar by conc.\(H_2SO_4\)is its,Dehydrating action,Oxidizing action,Reducing action,Dehydrogenation action
When SO2 is passed through KMnO4 solution,KMnO4 is reduced,SO3 is reduced,KMnO4 solution is turned green,KMnO4 is oxidised
"A solution of \(SO_2\) in water reacts with \(H_2S\) precipitating sulphur. Here, \(SO_2\) acts as",An oxidizing agent,A reducing agent,An acid,A catalyst
"When H2S is passed through an oxidizing agent like HNO3, the product obtained is",Monoclinic sulphur,Colloidal sulphur,Alpha sulphur,Milk of sulphur
Bleaching action of \(SO_2\) is due to,Reduction,Oxidation,Hydrolysis,Acidic nature
Which of the following is not an ore of sulphur,Malachite,Galena,Iron pyrites,Zinc blende
H2O is liquid while H2S is gas because,of the hydrogen bonding in water molecules,The molecular weight of H2S is than that of H₂O,of the electrostatic attraction in H2S molecule,H-O-H bond angle is greater than H-S-H bond angle
The formula of fuming sulphuric acid is,\(H_2SO_3\),\(H_2SO_4\),\(HNO_3\),\(H_2SO_3\)
Which of the following act as both oxidizing and reducing agent.,\(H_2SO_4\),\(H_2S\),\(H_2SO_4\),\(HNO_3\)
Which of the following gas changes lead acetate paper black?,\(H_2S\),\(H_2SO_4\),\(SO_2\),\(SO_3\)
In Contact process the arsenic impurity is removed by,Pt,\(V_2O_5\),\(Fe(OH)_3\),FeO
Which of the following allotrope of sulphur is most stable,Rhombic sulphur,Monoclinic sulphur,Milk sulphur,Plastic sulphur
\(H_2S \) is,Reducing agent,Oxidizing agent,Both,None
Which of the following is sulphur molecule,\(S_8\),\(S_2\),\(S_4\),\(S_6\)
The aqueous solution of H2S is,Weakly acidic,Neutral,Strongly acidic,Alkaline
What is consumed during discharge of lead storage battery?,\(H_2SO_4\),\(PbSO_4\),Pb,\(H_2O\)
When a lead battery is discharged,\(H_2SO_4\) consumed,\(SO_2 \) evolved,\(PbSO_4 \) consumed,Lead formed
In lab \(SO_2\)is prepared by,\(Cu+ H_2SO_4\),S + \(O_2\),\(Fes+O_2\),\(FeS + H_2SO_4\)
The O.S. of 'S' in\(H_2SO_4\),+6,+4,+2,0
"Which shows maximum catenation

property?",S,Se,Te,O
Which of the following hydrides shows the highest b.pt.?,\(H_2O\),\(H_2S\),\(H_2Se\),\(H_2Te\)
The highest bond strength is shown by,S-S bond,0-0 bond,Se-Se bond,Te-Te bond
Bond angle is minimum for,\(H_2Te\),\(H_2O\),\(H_2S\),\(H_2Se\)
K4[Fe(CN)6] reacts with ozone to give,\(K_3[Fe(CN)_6]\),\(KNO_3\),KCN,\(Fe(CN)_3\)
No. of atoms in one molecule of sulphur is,8,4,3,None
The crystalline form of sulphur stable at room temperature is,rhombic sulphur,monoclinic sulphur,plastic sulphur,prismatic sulphur
"In Kipp's apparatus, H2S is prepared",by the action of dil. H2SO4 on iron sulphide,by the action of dil. HCl on iron sulphide,by the action of conc. H2SO4 on iron sulphide,continuously
When H2S is through nitric acid solution the products formed are,Colloidal sulphur,Beta sulphur,Gamma sulphur,Milk of sulphur
The geometry of HS and its dipole moment are,angular and non-zero,angular and zero,linear and non-zero,Linear and zero
Solution of SO2 in water is known as,sulphurous acid,thiosulphurous acid,thiosulphuric acid,hydrosulphuric acid
\(SO_2 \) acts as an,All,reducing agent,oxidising agent,Bleaching agent
Which compound acts as  An oxidising as well as reducing agent?,SO₂,\(MnO_2\),\(Al_2O_3\),\(CrO_3\)
When SO2 is passed through acidified KMnO4 solution,KMnO4 is reduced,SO2 is reduced,KMnO4 solution is turned green,KMnO4 is oxidised
When SO2 is passed through acidified solution of H2S,sulphur is percipitated,\(H_2SO_4\) is formed,\(H_2SO_3\) is formed,None
Sulphur dioxide can be used as,All,Bleaching agent,Antichlor,Disinfectant
Bleaching action of SO2 is due to,Reduction,Oxidation,Hydrolysis,Acidic nature
The number of dative bonds in sulphuric acid molecule,2,0,1,4
Catalyst used in contact process is,All,platinum,ferric oxide,vanadium pentoxide
"The final acid obtained during the manufacture of H2SO4, by contact process is",\(H_2S_2O_7\),\(Conc. H_2SO_4\),\(Dil.H_2SO_4\),\(H_2So_4\)
Which of the following reacts with conc. H2SO4?,Ag,Au,Pt,Pd
"Oxalic acid when heated with conc. H2SO4, gives out",\(Co and CO_2\),\(H_2o\) and CO₂,oxalic sulphate,\(CO_2 And H_2S\)
Oxidation number of S in \(H_2S_2O_8\) is,+6,+7,+4,+2
Oleum is,Fuming \(H_2So_4\),castor oil,oil of vitriol,None
Which one is known as oleum?,\(H_2S_2O_7\),\(H_2S_2O_8\),\(H_2S_2O_3\),\(H_2S_2O_5\)
