question,answer,wrong1,wrong2,wrong3
The correct sequence of decrease in the bond angle of the three hydrides is,NH3>PH3>AsH3>SbH3,NH3>AsH3>PH3>SbH3,SbH3>AsH3>PH3>NH3,PH3>NH3>AsH3>SbH3
Which one of the following pentafluorides can't be formed?,BiF5,PF5,AsF5,SbF5
(NH4)2Cr2O7 on heating liberates a gas. The same gas will be obtained by,Heating NH4NO2,Heating NH4NO3,Treating Mg3N2 with H2O,Heating H2O2 on NaNO2
Nitrogen gas is absorbed by,calcium carbide,aluminium carbide,ferrous sulphate,calcium hydroxide
Which of the following oxides of nitrogen is the anhydride of nitrous acid?,N2O3,NO,N2O4,N2O5
Catalytic oxidation of NH3 gives,nitric oxide,dinitrogen pentaoxide,nitrogen dioxide,nitrogen
Which one of the following combines with Fe(II) ions to form a brown complex?,NO,N2O,N2O3,N2O5
Aqua regia is a mixture of,3HCl+1HNO3,H3PO4+H2SO4,3HNO3+1HCl,HCl+CH3COOH
Which of the following allotropes is good conductor of electricity ?,Black phosphorus,White phosphorus,Red phosphorus,None of these
White phosphorus,is soluble in organic solvents,is non-volatile,does not react with alkali,ignites at temperature above 303 degree celsius
Basicity of orthophosphoric acid is,3,2,4,5
Which of the following is obtained when N2 reacts with calcium carbide?,Calcium cyanamide,Calcium cyanate,Calcium acetate,Calcium carbonate
Which of the following is obtained from molecular nitrogen by bacteria?,NO3-,NO2-,NH3,Amino acids
Which of the following is arranged in the increasing order of enthalpy of vapourisation?,"NH3,AsH3,PH3","NH3,PH3,AsH3","AsH3,PH3,NH3","PH3,AsH3,NH3"
Nessler's reagent is an alkaline solution of:,K2HgI4,HgI2,HgNH2I,NH2HgO.HgI
When iron is heated with conc.HNO3,It becomes passive,NO is formed,N2O is formed,N2 is formed
"Cold fire and phossy jaw, both are related to",White P,Red P,PH3,P2O5
