question,answer,wrong1,wrong2,wrong3
Polymers are formed by number of monomers. Adipic acid is one of the monomer of,"Nylon-6,6",Bakelite,Nylon-6,Buna-S
Which one of the following polymers is prepared by addition polymerisation ?,Teflon,Nylon-66,Novolac,Dacron
PVC is a,Addition polymer,Condensation polymer,Copolymer,Thermosrtting polymer
Polyethene is ann example of,Addition polymer,Condensation polymer,Thermo resisting polymer,Co-polymer
Polymer of Tetr-fluoroethylene is,Teflon,PVC,Dacron,Neoprene
CF2=CF2 is monomer of,Teflon,Orlon,Polyethene,Nylon-6
Which one of the following is used to make 'non-stick' cookware?,Polytetrafluroethylene,Polyethylene terephthalate,PVC,Polystyrene
Which of the following is a fullyfluorinated polymer ?,Teflon,Neoprene,Thiokol,PVC
"Chemically, natural rubber consists of",Isoprene,Polyamide,Acrolein,Polyster
Synthetic polymer which resembles natural rubber is,chloroprene,neoprene,gluptal,none
Which amongst the following molecules on polymerization produces neoprene?,H2C=C(Cl)-CH=CH2,H2C=CH-C=CH,H2C=C(CH3)-CH=CH2,H2C=CH-CH=CH2
,a,b,c,d
Nylon 6 6 is,Polyamide,Polusterase,Vinyl pol;ymer,Acetic acid
Nucleic acid is polymer of,Nucleotides,Nucleoproteins,Globulins,Nucleosides
Starch is polymer of,Glucose only,Glucose and fructose,Fructose only,Fructose and maltose
Cellulose is polymer of,glucose,fructose,ribose,sucrose
Which of the following is an example of Thermosetting polymer ?,Bakelite,Nylon 6 6,Polyethylene,Polystyrene
The bakelite is prepared by the reaction between,Phenol and formaldehyde,tetramethylene glycol,urea and formaldehyde,ethylene glycol
,d,a,b,c
Which of the following organic compounds polymerizes to form the polyester dacron?,Terephthalic acid and ethylene glycol,propylene and para HO-(C6H4)-OH,Benzoic acid and ethanol,Benzoic acid and para HO-(C6H4)-OH
Which of the following is used in paints ?,Glyptal,Terylene,Nylon,Chloroprene
Which one of the following is a chain growth polymer?,Polystyrene,Starch,Nucleic acid,Protein
Which is a naturally occuring polymer?,Protein,Polyethene,PVC,Teflon
Drug that reduces fever are,Antipyretic,Analgesic,Antibiotic,Tranquilizer
Substances which bring body temperature down are known as,Antipyretics,Analgesics,Antibiotics,None
A substance which can be used both as analgesic and antipyretic is,all,Analgin,Aspirin,para-acetamol
Indigo belongfs to be class of,Vat dyes,Moderant dye,Direct dyes,Dispersive dye
Dyes are used in,all,photography,volumetric analysis,dyeung fabrics
Diazo coupling is useful to prepare some,dyes,pesticides,proteins,vitamins
Mixture of chloroxylenol and terpineol acts as,antiseptic,antipyretic,antibiotic,analgesic
The constituent in IODEX giving IODEX the characteristic smell is derived from an acid and is produced by treating phenol in alcoholic KOH with:,CCl4,CHCl3,CH3Cl,CH2Cl2
An ester used as medicine is,methyl salicylate,ethyl acetate,methyl acetate,ethyl benzoate
,b,a,c,d
p-acetamide-phenol is an,Antipyretic,Antibiotic,Anesthetic,Antiseptic
Which of the following can possibly be used as analgesic without causing addiction and mood modification?,N-acetyl-p-aminophenol,Morphine,Diazepam,Tetrahydrocational
,d,a,b,c
Barbituric acid and its derivatives are well known as,Tranquilizers,Antiseptics,Analgesics,Antipyretics
Which one of the following cab be used as abaesthgetic?,N2O,NO,NCl3,NO2
"""CISPLATIN"" is",a complex compound used in the treatment of cancer,an alloy of sesium and platinum,a medicine used in dysentery,a medicine used in diarrhea
Colloidal gold is usd in the treatment of .....disease,Joint,Eye,Ear,Nose
Arsenic drugs are mainly used in the treatment of,syphilis,jaundice,typhoid,cholera
Chloroamphenicol is an,antiniotic-broad spectrum,antifertility drug,antihistaminic,antiseptic and disinfectant
1% solution of phenol is,Disinfectant,Antipyretic,Antimalarial drug,Anti histamine
Dynamite contains,nitoglycerine mixed with saw dust,nitoglycerine mixed with H2SO4,both,none
An element that is usually found in explosive is,nitrogen,sulphur,aluminium,carbon
Which of the following is an insecticide?,BHC,Bakelite,TNT,Aspirin
Amoxicillin is semi-synthetic modification of,penicillin,streptomycin,tetracycline,chloromphenicol
Parathion is,an organic phosphorus compound,Chlorinated aromatic compound,Chlorinated aliphatic compound,benzene derivative
