question,answer,wrong1,wrong2,wrong3
Which wave has low frequency and high amplitude?,Delta waves,Theta waves,Alpha waves,Beta waves
Which has frequency 6*10^15Hz?,UV rays,Radioactive wave,Microwave,X-rays
Which of the following has Maximum energy?,Cosmic rays,X-ray,Gamma ray,UV rays
Which of the following isn't an electromagnetic wave ?,Acoustic waves,Light waves,Radio waves,Infrared waves
A wave having frequency 10^7 MHz is,Infrared wave,Gamma ray,Radio waves,UV rays
The range of 10Hz frequency is,Radio waves,UV,Infrared ray,Visible rays
The range of 10Hz frequency is,Radio waves,UV,Infrared ray,Visible rays
Green house effect is caused by,UV rays,Infrared rays,X-ray,Visible rays
Sound quality of a portable radio is improved by adjusting the orientation of the aerial. Which if the following is correct for improving the quality?,The radio waves becomes polarized as a result of adjusting the aerial,The radio waves from the transmitter are polarized,The radio waves from the transmitter are unpolarized,The radio waves becomes unpolarized as a result of adjusting the aerial
Sound quality of a portable radio is improved by adjusting the orientation of the aerial. Which if the following is correct for improving the quality?,The radio waves becomes polarized as a result of adjusting the aerial,The radio waves from the transmitter are polarized,The radio waves from the transmitter are unpolarized,The radio waves becomes unpolarized as a result of adjusting the aerial
A Irms in a circuit is given 1.5 mA consisting of resistance 70kΩ and capacitance 0.5 µF with angular frequency 100 rad/ sec. calculate the Vrms of aircuit,1.5 volt,15 volt,30 volt,20 volt
A wire of mass 200kg has capacitance 0.0014 µF/kg and frequency 50KHz. Then whatis the inductance when impedance is minimim?,0.37,0.30,0.477,0.50
CosΦ in the alternating current is called:,power factor,energy factor,phage,resonance
The device used to convert AC to DC is called,a diode valve,cathrode ray tube,oscillator,X-ray
AC is converted to DC by,Rectifier,Transformer,Diode,Triode
The AC voltage is E=100√2cos100t then the current flowing through the capacitor of capacitance 10µF is,100mA,10mA,1A,1000mA
At resonance condition the effective resistance of LCR series circuit is,Minimum,Maximum,Zero,Infinity
"In Nepal, the supply of AC voltage is 220V. The peak voltage is",310V,220V,110V,350V
The average power of LCR circuit dissipated through AC circuit is,Irms*Erms CosΦ,Irms*Erms,Irms CosΦ,Erms CosΦ
"In a series combination of R,L and C to an AC source at resonace, if R=20Ω, then impedance of the commbination is",20Ω,10Ω,zero,100Ω
Admittance of an alternating circuit is defined as reciporcal of:,impedance,inductance,capacitance,alternating emf
The current and voltage through inductance differ in phase by :,𝛑/2,𝛑/4,𝛑,3𝛑/4
"A 55 ohm electric heater is connected to a 220V, 50 Hz mains supply. The peak value of electric current in the heater is about",5.6A,6.8A,4A,4.6A
The inductive reactance of an inductor in an A.C circuit is,ωL,ω/L,L/ω,1/ωL
"If Vrms=220V and Irms =0.5A and capacitance is 7.2uF, then the frequency of a.c is",50Hz,20Hz,80Hz,90Hz
Capacitative reactance for dc is,infinity,one,zero,none of these
"In an a.c circuit Vrms=100 V capacitance 20µF, current 0.628 A, the frequency of a.c.is",50Hz,1Hz,2Hz,100Hz
The average power dissipation in a pure inductance is :,Zero,Lω/2,LI/2,L2I2/2
You and your friends are listening to the radio. Your friends wants to decrease the capacitive reactance Xc of the radio transistor. Then he should,Increase frequency,Decrease frequency,Increase wavelength,Decrease wavelength
An A.C circuit contains capacitor and resistance. In this circuit,current leads the voltage,voltage leads the current,current lags behind the voltage,voltage lags behind the current
Which of the following constitutes wattless current?,Resistance is zero,Inductance is zero,Resistance is infinite,Both resistance and inductance is zero
Most important character regarding choke coil is:,High inductance low resistance,High resistance low inductance,High inductance high resistance,"Low inductance, low resistance"
Frequency of AC in Nepal is,50Hz,45Hz,55Hz,60Hz
The voltage of domestic ac is 22v. This represents:,rms value,peak voltage,mean voltage,none
Choke coil used for high frequency ac source is,air core,iron core,diamagnetic,paramagentic
The inductance of a coil is 1 µH and capacitance 0.01 µf. Then the wavelength produced due to combination is,50,0.5,1000,0.05
Which one is quality factor?,1/R √L/C,R L/C,R √C/L,1/R √C/L
What is power dissipated I=1000 sn50z v=2sin (60𝛑+z/2)?,0,2000,1000,500
A circuit has resonance frequency f. If capacitance is doubled then new frequency of circuit is,f/√2,√2 f,f/2,none
A door metal detector uses a principle based on,alternating current and pluse,diffraction of sound,interference,beat frequency
A coil of inductance 8.4mH and resistance 6Ω is connected to a 12V battery. The current in the coil is 1A at approx time?,1ms,500s,20ms,35ms
A choke coil should have,low resistance and high inductance,high resistance and low resistance,high resistance and high inductance,low resistance and low inductance
A parallel resonant circuit,is known as a voltage resonant circuit,gives voltage amplification,gives current amplification,resonant when LC=R
A constant current of 8A is flowing through a resistor. The rms value of resistor is,8A,8 √2 p,8√2,4√2 A
Which of the statement is ture?,AC is more dangerous than DC,DC is more dangerous than AC,Both AC and DC are equally are dangerous,Neither AC nor DC are dangerous
Power in A.C circuit containing resistance (R) is,1/2 VI,VI,1/√2,2VI
In A.C motor capacitor is used,to decrease A.C,to reduce ripples,to increase A.C,to decrease D.C
If the frequency of AC is doubled in RC circuit then impedance,decreases,half,double,increase
"An A.C circuit has resistance 3 ohm and reactance 4 ohm, calculate the impedance",5,7,5/2,7/2
In LR circuit,voltage leads current by 𝛑/2,current and voltage are in phase,current leads voltage by 𝛑/2,current leads voltage by 𝛑
"An A.C having angular frequency 1000 rad/sec is passed through a capacitor of 1µF, then capacitive reactance is ........",1000Ω,100 Ω,500Ω,200Ω
