question,answer,wrong1,wrong2,wrong3
Sudden appearance of character in Human is,Atavism,Mutation,Evolution,All of the above
Vocal Sac is seen in,Male frog,Female frog,Earthworm,None
Chloragogen cells of earthworm is analogous to,Kidney,Liver,Brain,All
Which protein digest milk?,a,b,c,d
Frog produces croaking sound which is louder because,a,b,c,d
Protecting  tissue of body,a,b,c,d
Eustachian valve present in,a,b,c,d
Heart is myogenic because of,SA node,AV node,Bundle of his,Purkinjee fiber
Most stretchable tissue  is,Pseudostratified,b,c,d
HIV is transmited by,By kissing,By breast feeding,By inhaling cocine,By contaminated food
Reservior of malaria is,spleen,blood,Cryptozoite,Female anopheles
What happens when a person lives in high altitude for some days,RBC production decrease,RBC production increase,Remain same,None
Hormone responsible for implantation is,Estrogen,Progesterone,Cytokinin,Thyroid hormone
Ear pinna is absent in,a,b,c,d
Pearl oyester is found in,a,b,c,d
Which of the following characteristics is found in protozoa?,a,b,c,d
septal nephridia in earthworm terminal duct opens into,a,b,c,d
Position of gall bladder in frog is,a,b,c,d
Laryngotracheal chamber of frog supported by,a,b,c,d
Ascaris is characterized by,a,b,c,d
Wharton's duct is present in,a,b,c,d
Which of the following is depressant?,a,b,c,d
Organism first produced in the course of evolutiona,a,b,c,d
Which is present in frog but absent in human,Sinus Venous,b,c,d
Which is correct for an animal?,a,b,c,maintain constant body temperature irespective with their environment
cartilage present in frog is,1 arytenoid and 2 cricoid,2 arytenoid and 1 cricoid,2 arytenoid and 2 cricoid,1 arytenoid and 1 cricoid
Chief cell of parathyroid secrete parath hormone which causes,Absorption of calcium and excretion of sodium form bone,Absorption of sodium and excretion from calcium from bone,Absorption of calcium and excretion of potassium from the intestine,Absorption of Potassium and excretion of calcium from intestine
Digitigrades organisms are adapted for,Cursorial,fossorial,Aerial,Arboreal
Salavary gland absent in human is,Sub mandibular,sub lingual,foliate,paratoid salavary gland
Store house of RBC,Liver,Spleen,Heart,Thymsu
Protozoa is characterized by,single cell,single nucleus,single food vacuole,Single contractile vacuole
An organism cut into many halves passing through any planes is,Radial symmetry,Biradial symmetry,Bilateral symmetry,Spherica symmetry
Areolar tissue connects...,Bone and muscles,Integument and bone,Bone and cartilage,Bone and adipose tissue
"During starvation in sponges, vaculated cells are",Epithelio muscular,Endothelio muslcular,Nutritive muslcular,Epidermis
Larva of which penetrate bare foot skin from the contaminated soil,Ascaris,Systosoma,Ancyclostoma,Wuchereria Bancrofti
Set of chemical that forms stage for origin of life,Water and methane,Chlorophyll,Microsphere,Coacervates
Elements present in Vit B1,a,b,c,
Ultra filtration occurs when,Glomerular Hydrostatic pressure is more than .......,b,c,d
What is the function of anti pyretic drugs?,a,b,c,d
"Before transmission of nerve impulse, neuron membrane is at",Refractory period,Spike potential,Resting potential,Action Potential
Setae is absent in,"first, last and clitellum (14,15,16) segments.","2,3and 4th segmnet",First and Last segments,In all segments
Water vascular system is prominent character of:,echinoderms,annelids,mollusc,none
Classification of protozoa was based upon?,locomotory organelles,b,c,d
Drawback of Darwinism ?,variation,a.struggle for existence,survival of fittest,Natural selection
Symptoms like itching around anus is cause by which worm ?,Pinworm,Earthworm,c,d
Which nerve has most branches?,Vagus,Trigeminal,Trochlear,Abducens
Which is 1st enterocoel ?,echinodermata,Chordates,Aschelminthes,Nematodes
People having sickle cell anemia is:,Less prone to malaria,High risk,c,d
Which of the following are autoimmune diseases?,"rheumatoid arthritis, psoriasis, type 1 diabetes",a,b,c
Pseudostartified epithelium is present in:,Trachae,Bronchus,GIT,d
The common character of Earthworm and Man is:,C.Ureotelic,A.Ammonotelic,B.Uricotelic,All
radulla of mollusca,a,b,c,d
function of progesterone,a,b,c,d
which hepatitis is STD,hepatitis B,Hepatitis A,Both,none
tissue in urinary bladder,Transitional epithelium,b,c,d
"Mr. ... found an organism that was diploblastic, coelomate and segmented. To conclude that it is an arthropod what should he look for?",Types of appendages,Presence of antenna,c,d
Hameozoin is produced from,a,b,c,d
entire cell for secretion is called,a,b,c,d
what to do if fallopian tubes are blocked,a,b,c,d
Which of the following is correctly matched,Amphetamine -stimulant,b,c,d
