question,answer,wrong1,wrong2,wrong3
1. BLIND SPOT IS PRESENT IN .............,D. TEMPORAL RETINA,A. OPTIC NERVE,B. MACULA,C. NASAL RETINA
2. NIGHT BLINDNESS IS DUE TO DEFECT IN ..............,B. RODS,A. LENS,C. VITREOUS,CONES
3. PIGMENT PRESENT ISN ROD CELL IS...........,C. IODOPSIN,A. MELANIN,B. RHODOPOSIN,D. RETINOLE
4. MOST SENSATIVITY PAT OF RETINA IS............,B. FOVEA,A. BLIND SPOT,C. FOVEOLA,D. MACULA
5. WHICH ONE IS KNOWN AS YELLOW SPOT?,A. MACULA,B. BLIND SPOT,C. FOVEA,D. ORAL SERRATA
6. RECYCLING OF VITAMIN A OCCURE IA..............,A. RETINAL PIGMENT EPITHELIUM,B. NERVE FIBER LAYER,C. INNER NUCLEAR LAYER,D. OUT PLEXIFORM LAYER
7. ALL THE FOLLOWING ARE PURELY CONDUCTING ELEMENTS IN THE RETINA EXCEPT,D. INTERNAL LIMITING MEMBRANE,A. GANGLION CELL LAYER,B. NERVE FIBER LAYER,C. INNER NUCLEAR LAYER
9. MULLER CELL IS LOCATED IN,D. INNER NUCLEAR LAYER,A. OUTER NUCLEAR LAYER,B. GANGLION CELL LAYER,C. NERVE FIBER LAYER
10. AMACRINE CELL IS LOCATED IN,C.D. INNER NUCLEAR LAYER,A. OUTER NUCLEAR LAYER,B. GANGLION CELL LAYER,C. NERVE FIVER LAYER
11. THINNEST PART OF RETINA IS.............,D. ORAL SERRATE,A. MACULA,B. BLIND SPOT,C. FOVEA
12. WHICH CELL OF RETINA HELP IN COLOUR VISION?,D. CONE CELL,A. NERVE FIBER LAYER,B. AMACRINE CELL,C. MULLERS CELL
13. OUTER NUCLERE LAYER IS FORMED BY THE NUCLEI OF,D. ROD AND CONE CELL,A. NERVE FIBER LAYER,B. AMACRINE CELL,C. MULLER CELL
14. SECOND ORDER OF NEURON IS,B. GANGLION CELL LAYER,A. OUTER NUCLEAR LAYER,C. NERVE FIBRE LAYER,D. INNER NUCLEAR LAYER
