question,answer,wrong1,wrong2,wrong3
1. THE SYMMETRIC PROTEIN SHELL WHICH ENCASES THE NUCLEIC ACID CORE OF THE VIRUS?,B. CAPSIDE,A. CAPSOMER,C. VIRION,D. NUCLEOCAPSIDE
2. THE FIRST HUMAN DISEASE PROVIDE TO BE OF VIRAL ATEOLOGY IS:,C. YELLOW FEVER,A. SMALL POX,B. RABIES,D. INFLUENZA VIRUS
3. BRICK SHAPE VIRUS IS:,D. VACCINIA VIRUS,A. RHABDO VIRUS,B. REOVIRUS,C. ORLHOMYXOVIRUS
4. VIRUSES POSSES ALL EXCEPT,D. DEVIDES BY BINARY FISSION,A. CONTAIN DNA or RNA,B. LACK ENZYME FOR PROTEIN SYNTHESIS,C. SUSCPTIBLE TO INFECTION
12. WHICH OF THE FOLLOWING VIRUS DOESN'T CAUSE  DIARRHOEA,D. RUBELLA VIRUS,A. ADENOVIRUS,B. ROTAVIRUS,C. CALCI VIRUS
6. PAUL BUNNEL TEST IS PERFORMED FOR DIAGNOSIS OF:,D. INFECTIOUS MONONUCLEOSIS,A. RHEUMATIC FEVER,B. UNDULANT FEVER,C. ENTERIC FEVER
7. HEPATITIS A IS:,A. RNA VIRUS,B. DNA VIRUS,C. POPOVA VIRUS,D. ENTEROVIRUS
8. SERO-CONVERSION IN HIV INFECTION TAKES PLACE IN:,C. 9 WEEKS,A. 3 WEEK,B. 6 WEEKS,D. 12 WEEKS
9. WHICH OF THE FOLLOWING IS MOST SPECIFIC IN DIAGNOSIS OF AIDS?,C. WESTERN BLOT,A. IHA,B. ELISA,D. IMMUNOELECTROHORES
10. INTRACELLULAR VIRUS SPICIFIC STRICTURES VISIBLE UNDER COMPOUND MICROSCOPE ARE CALLED,C. INCLUSION BODY,A. VIRION,B. INTERFRON,D. ALL OF THE ABOVE
