question,answer,wrong1,wrong2,wrong3
"A particle is moving with velocity 180Km/hr, then the distance travelled by it in 10 sec is",500m,0.5cm,5m,50m
A vehicle travels half the distance with speed v and the remaining distance with speed 2v. It's average speed is,4v/3,2v/3,3v/4,v/3
A horizontal bridge is built across a river. A student standing on the bridge throws a small ball vertically upwards with a velocity 4 ms–¹. The ball strikes the water surface after 4s. The height of bridge above water surface is (Take g=10),64m,60m,68m,56m
"The ratio of the distance travelled by a freely falling body in the 1st, 2nd, 3rd and 4th second:",1:3:5:7,1:2:3:4,1:4:9:16,1:1:1:1
"A boy started his journey from home to school which 16km far at uniform speed 2.5Km/HR and while returning, he returned with 4Km/HR. What is his average speed?",3 km/hr,4 km/hr,6 km/hr,8 Km/hr
,d,a,b,c
"A person on a moving train throws upwards a coin, and if it falls behind him, then train is",Acceleration,Deceleration,Moving with constant velocity,All
A man intends to cross a river on a boat with velocity 4 m/s. If resultant velocity of boat is 5 m/s. Then velocity of River is:,3 m/s,3√2 m/s,4 m/s,5√2 m/s
,c,a,b,d
The slope of a velocity-time graph gives,Acceleration,Displacement,Uniform speed,Stationary object
"Two bodies, one held 1 m above the other directly, are released simultaneously and fall freely under gravity. After 3 second their relative separation will be",1m,0.98m,4.9m,9.8m
Time taken by a train of length 150m and traveling with a uniform velocity of 60 km/hr to cross completely a bridge of length 1.5 km will be:,99s,9s,9.9s,90s
A body is thrown vertically upward and attains a velocity 15 m/s at half the maximum height. The maximum height up to the body can reach will be:,22.9 m,45.8m,34.5 m,17.8 m
Two bodies of mass '2 m' and 'm' are released from height '2H' and 'H' respectively. The ratio of time taken by them to reach the ground is,√2,1/4,1,2
A body of mass 200 GM is thrown upwards with initial velocity of 30 m/s. What is total energy of body at height of 20 m from ground?,90 J,50 J,100 J,40 J
A body travels with velocity 30 m/s for 1st half of time and with velocity 40 m/s for 2nd half of time then what would be average velocity,35 m/s,50 m/s,40 m/s,30 m/s
A car travelling along circular track at constant speed 20 m/s has completed half revolution on the track. Its average velocity will be,40/π m/s,10π m/s,20/π m/s,20 m/s
A car accelerates from rest at constant rate for the first 10 seconds and covers a distance x. It covers a distance y in the next 10 seconds at the same acceleration. Which of the relation is true ?,y=3x,x=3y,x=y,y=2x
"A body thrown vertically upwards attains a maximum height H. While moving upwards if it covers first 3H/4 distance from the ground in time T, then time taken to cover remaining distance H/4 will be",T,T/2,T/3,3T/4
"When a ball is thrown upwards with air resistance not neglected, it takes 10 seconds to reach a height. It then returns to ground in time",12.4s,8.2s,6s,10s
A ball thrown vertically upward covers equal distance in its fourth and fifth second. Then initial velocity of projectile will be,40 ms–¹,20 ms–¹,25 ms–¹,50 ms–¹
"A car moving with a speed of 40 km/hr can be stopped by applying brakes after at least 2m. If the same car is moving with a speed of 80 km/hr, the minimum stopping distance is",8 m,2 m,4 m,6 m
A stone is dropped from the top of a tower of height 'h'. It reaches the ground in 't' secs. The position of the stone after t/3 secs will be ........from the ground,(8/9)h,(3/4)h,h/9,(1/4)h
A person who can swin at 12 km/hr in still water wants to cross a river flowing at 6 km/hr along shortest route. Then he has to start swimming at,120° with the stream,60° with stream,90° with the stream,150° with the stream
A person who can swim at 5 km//hr in still water cross a river 1 km wide flowing at 3 km/hr in shortest time. How far he will reach at another bank ?,600 m,1 km,800 m,1200 m
A man sitting in a bus travelling in a direction from west to east with a speed of 40 km/h observea that the rain-drops are falling vertically down. To the another man standing on ground the rain will appear,To fall at an angle going from west to east,To fall vertically down,To fall at an angle going from east to west,The information given is insufficient to decide the direction of rain
The displacement-time graph for two particles A and B are straight lines inclined at angles of 30° and 60° with the time axis. The ratio of velocities of Va : Vb is,1:3,1:2,1:√3,√3:1
The coordinates of a moving particle at any time are given by x=at² and y= bt². The speed of the particle at any moment is,2t√(a²+b²),2t(a+b),2t√(a²-b²),t√(a² +b²)
The velocity of a body depends on time according to the equation v=2+0.1t². The body is undergoing,Non-uniform acceleration,Uniform acceleration,Uniform retardation,Zero acceleration
The displacement of a particle is given by y=a+bt+ct²-dt⁴. The initial velocity and acceleration are respectively,"b,2c","b,-4d","-b,2c","2c,-4d"
"If a train travelling at 72 kmph is to be brought to rest in a distance of 200 meters, then it's retardation should be",1 ms–²,20 ms–²,10 ms–²,2ms–²
"A body of 5 kg is moving with a velocity of 20 m/s. If a force of 100N is applied on it for 10s in the same direction as it's velocity, what will now be the velocity of the body",220 m/s,200 m/s,240 m/s,260 m/s
"Two Trains, each 50 m long are travelling in opposite direction with velocity 10 m/s and 15 m/s. The time of crossing is",4s,2s,2√3s,4√3s
A stone dropped from the top of the tower touches the ground in 4 sec. The height of the tower is about,80 m,40 m,20 m,160 m
"Velocity of a body on reaching the point from which it was projected upwards, is",v=u,v=0,v=2u,v=0.5u
A body is thrown vertically upwards with a velocity u. Find the true statement from the following,Velocity is zero at the highest point and maximum height reached is u²/2g,Both velocity and acceleration are zero at its highest point,Velocity is maximum and acceleration is zero at the highest point,Velocity is maximum and acceleration is g downwards at its highest point
