question,answer,wrong1,wrong2,wrong3
In a charged capacitor the energy resides,in the field between the plates,on the positive plate,on both positive and negative plates,around the edge of capacitor plates
A parallel plate capacitor is charged and the charging battey is then disconnected.If the plates of the capacitor are moved further apart by means of insulating handles:,The voltage across the plate increases,The charge on the capacitor increases,The capacitance increases,The electrostatic energy stored in the capacitor decreases.
A 4µF condensser is charged to 400V and then its plates are joined through a resistance of 1kΩ. The heat produced in the resistance is,0.32J,1.28J,0.64J,0.16J
A glass slab of uniform thickness is introduced between the plates of a parallel plate capacitor. The capacity of capacitor,increases,decrease,remains same,become infinite
A 600µF capacitor is charged at the steady rate of 50µc/sec. How long will it take to raise its potential to 10 volt?,120s,60s,180s,240s
Two capacitors 1µF &2µF are charged to 300v & 150v respectively and connected by a wire.The potential of the connected system is,200v,166v,185v,133v
Two capacitors of charges Q1 and Q2 with different capacitances are charged to the same potential V. They are then connected by a wire.The resulting potential will be,Be equal to V,Be less than V,Be less than 2V,Lie between V & 2V
The capacitance of a capacitor is independent of,quality of plates,size of plates,distance between the plate,medium between plates
The energy stored in a capacitor of capacitance 'C' and potential 'V' is given by,1/2 CV²,1/2 C²V,1/2 C²V²,1/2 CV
If an electron enters into a space between the plates of a parallel plate capacitor at an angle α with the plates and leaves at an angle β to the plates. The ratio of its KE while entering the capacitor to that while leaving will be?,(cosβ/cosα)²,(cosα/cosβ)²,(sinα/sinβ)²,(sinβ/sinα)²
Capacity of an isolated sphere is increased n times when it is enclosed by earthed concentric sphere.The ratio of their radii is,n/(n-1),n²/(n-1),2n/(n+1),(2n+1)/(n+1)
"In a parallel plate capacitor, force on each plate is",q²/2Aεo,q²/εo,q²/Aεo,zero
An Aluminium foil of negligible thickness is placed between two plates of a parallel plate capacitor.Then its capacitance,remains same,decreases,increases,becomes zero
The capacity of a parallel plate capacitor is C.It's capacity when the seperation between the plates is halved will be,2C,4C,C/2,C/4
Two capacitors of charges Q1 and Q2 with different capacitances are charged to the same potential V. They are then connected by a wire.The resulting potential will be,equal to V,less than V,less than 2V,lie between V and 2V
"Four capacitors of capacitance 3µF, 3µF,3µF and 2µF are arranged in the form of a rectangle then the equivalent capacitance across 2µF capacitor is",3µF,1µF,2µF,4µF
The dielectric constant εr is given by the relation,ε/εo,εr =εεo,εr =(εεo)^1/2,none
