question,answer,wrong1,wrong2,wrong3
Aspirin is,Both (a) and (b),Analgesic,Antipyretic,Antiseptic
Drug that reduces fever are,Antipyretic,Analgesic,Antibiotic,Tranquilizer
Aspirin is an acetylation product of,o-hydroxy benzoic acid,o-dihydroxy benzene,m-hydroxy benzoic acid,p-hydroxy benzoic acid
Diazonium salts give coupling reaction with,Amines and phenol,Alcohol,Aromatic amines,All amines
1% solution of phenol is,Disinfectant,Antipyretic,Antimalarial drug,Anti histamine
Indigo belongs to be class of,Vat dyes,Moderant dye,Direct dyes,Dispersive dye
Colloidal gold is used in the treatment of.......... disease,Joint,Eye,Ear,Nose
Aspirin is,Antipyretic,Antibiotic,Antiseptic,All
Tetra ethyl lead (TEL) is,Fuel additive,Five extinguisher,Pain killer,Antiseptic
Acetyl salicylic acid acts as..........,Antipyretic,Antacid,Antibiotic,Antiseptic
The compound which needs to be avoided by people having high BP is,Rock salt,Fluorite,Anitifluorite,Tooth paste
Bordeaux mixture a widely used antifungal agent is,Lime + \(CuSO_4\),Lime + CuO,Lime + \(CaCO_3\),CuO + \(CuSO_4\)
Which of the following properties is not shown by aspirin?,Antiseptic,Antipyretic,Analgesic,Anti-inflammatory
Which one of the following is a vat dye?,Indigo,Malachite green,Martius yellow,Alizarin
p-acetamide-phenol is an?,Antipyretic,Antibiotic,Anesthetic,Antiseptic
A substance which can act both as an analgesic and antipyretic is,Aspirin,Quinine,Penicillin,Morphine
"The name of the organic compound DDT, is",dichlorodiphenyl trichloroethane,dichlorodiphenyl toluene,phenyldichlorotrichloroethane,dichlorodiphenyl thiosemicarbazide
DDT is an example of,insecticide,fungicide,herbicide,rodenticide
The poisonous gas eveolved in Bhopal tragedy was,Methyl isocyanate,CO,\(CO_2\),\(N_2\)
Gammexane is,benzene hexachloride,DDT,chlorobenzene,none of these
"2,4-Dichlorophenoxyacetic acid is used as",herbicide,fungicide,insecticide,moth repellent
Which of the following is an auxochrome?,-OH,-C=C-,\(-NO_2\),All
Which of the following is a correct statement?,presence of chromophore as well as auxochrome group is necessary for a compound to act as dye,Every coloured substance can act as a dye,presence of a chromophore is necessary for a compound to act as dye,All
The example of vat dye is,indigo,orange I,phenolphthalein,none
Bismarck brown is example of,azo dyes,phthalein dyes,anthraquinone dyes,nitro dyes
Diazo coupling is useful to prepare some,dyes,pesticides,proteins,vitamins
Which of the following is fungicide?,Both,Copper sulphate,Copper naphthenate,None of the above
Alizarin is used in,dyeing,perfumery,pharmaceutical industry,food industry
Which of the following is not antipyretic?,Salol,Aspirin,Para-acetamol,Phenacetin
Dyes are used in,all of these,photography,volumetric analysis,dyeing fabrics
Measles is a disease which belongs to the category of,viral disease,bacterial disease,veneral disease,protozoan disease
A substance which can be used both as analgesic and antipyretic is,All,Analgin,Aspirin,Para-acetamol
Substances which bring body temperature down are known as,Antipyretics,Analgesics,Antibiotics,None
The use of chemicals for treatment of diseases is called as,Chemotherapy,Homeotherapy,Angiotherapy,Physiotherapy
Which of these is a hypnotic?,paraldehyde,metaldehyde,acetaldehyde,none of these
Aspirin is the name of the organic compound,acetyl salicylic acid,hydroxybenzoic acid,phenyl salicylate,ethyl salicylate
Drug which helps to reduce anxiety and brings about calmness is,Tranquiliser,Diuretic,Analgesic,Antihistamine
Tranquilisers are substances used for the treatment of,Mental diseases,Cancer,AIDS,Physical disorders
1% solution of phenol is used as,a disinfectant,an antiseptic,an insecticide,a styptic
A broad spectrum antibiotic is,Chloramphenicol,Paracetamol,Penicillin,Aspirin
