question,answer,wrong1,wrong2,wrong3
1. DRAFT VELOCITY OF ELECTRONIN CONDUCTOR IS INDEPENDENT OF,B. LENGTH OF CONDUCTOR,A. ELECTRON DENSITY,C. AREA OF CROSS-SECTION,D. CURRENT
2. IF A WIRE IS STRETCHED TO INCREASE BY LENGTH 0.1% THEN % CHANGE IN RESISTANCE IS,A. 0.2%,B. 0.4%,0.8%,4%
"3. IN THE GRAPH OF OHM's LAW, SHOWING VARIATION OF V AND I, THE SLOPE OF THE GRAPH IS",A. POSITIVE,B. NEGATIVE,C. INFINITY,D. UNITY
4. FLOW OF 6.25X10POWER 12 ELECTRON PER SECOND IN A CONDUCTOR CONTRIBUTE TO CURRENT,D. 1µA,A. 1A,B. 1mA,C. 0.1 A
"5. ON INCREASING TEMPERATURE, THE PRODUCT OF CONDUCTIVITY & RESISTIVITY",D. REMAINS CONSTANT,A. ES,B. ES,C. BECOMES ZERO
"6. TO CHANGE IN RESISTANCE BY 4 TIMES BY STRETCHING, WHAT SHOULD BE CHANGE IN LENGTH?",B. 2 TIMES,A. 4 TIMES,C. ½ 2 TIMES,D. 1 TIME
7. THE WIRE OF SAME DIMENSION BUT RESISTIVITY P1 AND P2 ARE CONNECTED IN SERIES. THE EQUIVALENT RESISTIVITY OF COMBINATION IS,A. ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,,,
8. A 10 M LONG WIRE OF RESISTANCE 20 ohm IS CONNECTED IN SERIESWITH BATTERY OF emf 3 V AND RESISTANCE OF 10 ohm. THE POTENTIAL GRADIENT ALONG THE WIRE IS,C.  0.2Vm POWER -1,A. 0.05Vm POWER -1,B.  0.5Vm POWER -1,D.  0.1Vm POWER -1
8. THE RESISTANCE OF 20 CM LENGTH WIRE IS 5 ohm. WHEN THE WIRE IS STRETCHED TO 40 CM RESISTANCE IS:,B. 20 ohm,A. 10 ohm,C. 40 ohm,D. 2.5 ohm
9. A PLACE OF WIRE OF RESISTANCE 4 ohm IS BENT THROUGH 180 DEGREE MID POINT AND THE TWO HALVES ARE TWISTED TOGETHER. THEIR RESISTANCE IS,B. 1 ohm,A. 8 ohm,C. 2 ohm,D. 5 ohm
