question,answer,wrong1,wrong2,wrong3
The functional unit of nervous system is:,Nerve impulse,Neuron,Neuroglia,Dendrites
Neurons which conveys impulses from receptor areas to CNS is called:,Sensory,Intermediate,Motor,Relay
What is the name of gap between end of one neuron to another?,Synapse,Axon,Dendrites,Nodes of Ranvir
Nerve cells do not divide because they do not have:,Centrosome,Nucleus,Mitochondria,Golgi body
Axon lacks:,Nissl's granules,Neurofibrils,Nuleus,Neurotubules
Bipolar nerve cells are found in:,Retina,Sclera,Choroid,Ciliary body
A motor neurons carry impulses from:,CNS to effectors,Effectors to CNS,Cranial nerves to effectors,Effectors to cranial nerves
Which of the following parts of a neuron is covered by a fatty sheath?,Axon,Cyton,Dendrite,Node of Ranvier
Which of the following is glial cell?,All,Astrocytes,Oligodendrocytes,Ependymal cells
Brain is located inside a bony skull cavity known as:,Cranium,Myocardium,Pericardium,Pleura
Brain is covered by a membrane called:,Meninges,Sub dural memrane,Plasma membrane,Pleural membrane
CSF is present in:,Sub arachnoid space,Sub dural space,Sub pleaural sapce,Subcutaneous
Cerebrospinal fluid is present in:,Both a and b,Ventricles of brain,Inside central canal of spinal cord,Inside heart
Total volume of CSF is:,150 ml,250 ml,200 ml,400 ml
CSF acts as:,All,Blood filtrate,Shock absorber,Floating substance of brain
In brain there is no:,Urea,Glucose,Proetein,Amino acids
The brain depends upon blood for the supply of:,Glucose and oxygen,ATP and glucose,Oxygen and ATP,Oxygen and electrolytes
Which of the following is not strictly considered a part of neuron:,Myelin sheath,Nissl bodies,Axon,Dendrites
Node of Ranvir is found in:,Axon,Muscle bundles,Dendrite,Right auricle
"Center of control of osmoregulation, hunger and thrust is:",Hypothalamus,Thalamus,Cerebrum,Cerebellum
Inflammation of brain is:,Encephalitis,Oophorectomy,Thyroidectomy,Thyroiditis
Diencephalon does not control:,Heartbeat,Anger,Heat,Temperature
Foramen of monro connects:,Lateral and 3rd ventricle,1st and 2nd lateral ventricle,3rd and 4th ventricle,4th ventricle and neurocoel
CNS consissts of:,Brain and spinal cord,Brain only,Spinal cord only,Brain and ANS
Which of the following structures form a connection between two cerebral hemispheres?,Corpus callosum,Cerebellum,Hypothalamus,Mid brain
"Center of memory, learning and personality lies in:",Cerebrum,Cerebellum,Mid brain,Pons varolli
Visual centre is located in which of the following cerebral lobes?,Occipital lobe,Frontal lobe,Parietal lobe,Temporal lobe
Substantia Nigra secretes:,Dopamine,Acetylcholine,Acetylcholine chloride,Methacholine
Crura cerebri is the part of:,Midbrain,Forebrain,Hindbrain,None
Brain stem consists of:,"Midbrain, pons and medulla",Midbrain and pons,Midbrain and medulla,"Cerebellum, pons and medulla"
The muscular coordination of mammal is controlled by:,Cerebellum,Cerebrum,Pons varolii,Medulla oblongata
Circle of willis lies in:,Brain,Heart,Lungs,Liver
Center of reflex action is:,Spinal cord,Medulla oblongata,Pons varolii,Cerebrum
Total number of spinal nerves in Human,31 pairs,37 pairs,10 pairs,9 pairs
Function of parasympathetic nervous system is:,Constriction of pupil,Relaxation of pupil,Constriction of anal spincter,Relaxation of myocardium
Which of the following are neurotransmitters?,All,Acetylcholine,Epinephrine and norepinephrine,"Dopamine, serotonin and histamine"
The resting potential of the membrane of a nerve fibre:,-100 to -110 mv,60 to 70 mv,50 to 100 mv,-20 to 30 mv
Longest cranial nerve in our body:,Vagus,Sciatic,Trigeminal,Trochlear
