question,answer,wrong1,wrong2,wrong3
Pick the most suitable terminology to designate life cycle of Obelia,Metagensis,Netogeny,Metamorphosis,None
This group is commonly known as ‘sea stick’,Coelenterata,Porifera,Arthropoda,Echinodermata
This does not belong to Phylum Coelenterata,Sea cucumber,Sea feather,Sea pen,Sea fan
This is a characteristic feature of coelenterata,Gastrovascular cavity,Polyp,All are marine,Presence of tentacles around mouth
This phylum shows the presence of nerve cells and absence of nerves,Coelenterata,Porifera,Nemathelminthes,Platyhelminthes
The class of coelenterata in which the medusa and polyp both are found in one animal is,Hydrozoa,Anthozoa,Scyphozoa,None of the above
Oxygen in coelenterates is supplied to different tissues by,Diffuses through integuments,Plasma,Blood pigment,Tracheal tubes
This is a special character of coelenterata occurring only in them,Nematocysts,Flame cells,Hermaphroditism,Polymorphism
Which of the following animals is without sexual medusae,Hydra,Halistemma,Millepora,Velella
Coelenterates are,Acoelomate,Coelomate,Pseudocoelomate,None of these
Which of the following do not have polyp form,Scyphozoa,Hydrozoa,Anthozoa,All the above
Sea anemone belongs to class,Anthozoa,Hydrozoa,Scyphozoa,None of these
Corals belong to the phylum,Cnideria,Protozoa,Porifera,Cnideria
The phylum of comb jelly is,Ctenophora,Mollusca,Echinodermata,Coelenterata
Hydra is,Carnivorous,Herbivorous,More developed,Omnivorous
Which is not applicable to coelenterata,Choanocytes,Coelenteron,Nematoblasts,Radial symmetry
One of the special characters of coelenterata only is the occurrence of,Nematocysts,Hermaphroditism,Flame cells,Polymorphism
'Portuguese man of war' is,"A polymorphic, colonial coelenterate",Soldier of World War-I,Portuguese soldier,A sponge
Phylum coelenterata has remained at,Tissue level of organisation,Cellular level of organisation,Organ level of organisation,Organ system level of organization
Pneumatophore helps in,Floating,Feeding,Reproduction,Protection
Why does the Ctenophora is a minor phylum,It includes only few generadone,It includes small sized animals,It does not include animals of economic importance,It was included earlier in cnidarian
Which one of the following animals is a coelenterate,Sea pen,Sea cow,Sea horse,Sea cucumber
Hydra receives impulses and stimuli through,All of these,Nerve net,Sensory cells,Nematocytes
Statocysts are sense organs of,Obelia medusa,Ascaris,Paramecium,Taenia solium
Among the following organisms point out a completely non-parasitic form,Sea anemone,Leech,Tape worm,Mosquito
Which of the following has no segmentation,Hydra,Earthworm,Cockroach,Centipede
Which of the following animals has a nervous system but no brain,Hydra,Pheretima,Amoeba,Periplaneta
The gastrovascular cavity of Hydra provides for,Digestion and circulation,Digestion and storage,Storage and circulation,Excretion and storage
Precious Red Coral is/Coral used in ornaments is,Corallium,Astraea,Fungia,Tubipora
The cells absent in gastrodermis of Hydra are,Stinging cells,Nutritive cells,Gland cells,Nerve cells
Budding is a normal mode of asexual reproduction in,Hydra and sponges,Starfish and Hydra,Tapeworm and Hydra,Sponges and starfish
Which one of the following animals possesses nerve cells but no nerves,Hydra,Tapeworm,Earthworm,Frog's tadpole
If Hydra is broken into pieces,Every fragment will grow into complete Hydra,Hydra will die,Some fragments will form complete,Hydra will undergo sexual reproduction
Food of Hydra is,Some crustaceans,Aquatic plants,Aquatic animals,Algae and aquatic animals
Common name of Fungia is,Mushroom Coral,Brain Coral,Red Coral,Organ Pipe Coral
Animal showing thigmotaxis is,Hydra,Ascaris,Taenia,Fungia
"Hydra will regenerate from a fragment, if it contain",Epidermis and gastrodermis,Tentacles,"Tentacles, epidermis and gastrodermis","Epidermis, hypodermis and gastrodermis"
Ctenophores have similarities with members,Coelenterata,Porifera,Arthropoda,Annelida
Hydra recognises its prey by,Nematocyst,Chemical stimulus,Smell,Sensitivity
This is a characteristic feature of coelenterata,Gastrovascular cavity,Polyp,All are marine,Presence of tentacles around mouth
This is a characteristic feature of coelenterata,Gastrovascular cavity,Polyp,All are marine,Presence of tentacles around mouth
Hydra sometimes move upon its tentacles using them as legs.This is known as,Walking,Looping,Gliding,None
Ephyra is the larva of,Aurelia,Obelia,Sea anome,Physalia
The independent effectors of Hydra are,Nematocysts,Nerve cells,Sensory cells,Gland cells
The mouth of Hydra is opened by the chemical influence of,Glutathione,Glucagon,Glutamic acid,Gluanine
Hypnotoxin is a poisonous fluid produced by,Nematocysts,Ascaris,Ants,Parasitic protozoa
A group of cnidoblast is called,Battery,Bunch,Aggregation,clone
Organ pipe of coral is,Tubipora,Fungia,Heliopora,Astraea
Number of tentacles in hydra is,6 to 10,2 to 4,10 to 40,40 to 50
The generic name of  common Jelly fish is,Aurelia,Physalia,Pennatula,Gorgonia
