question,answer,wrong1,wrong2,wrong3
Which one of the followingis an exclusive character of class mammaliam?,Presence of amuscular diaphragm,Presence of completely 4 - chambered heart,Homoiothermy,Internal fertilization
Pouched mammals are,Metatherians,Protherians,Eutherians,None
The largest egg belongs to,Ostrich,Elephant,Whale,Dinosaur
"In flying birds, which of the following are useful in fligt besides pneumatic bones?",Quill feathers,Forcula,Syrinx,Pygostyle
Which one of the following is not a characteristic feature of all the chordates?,A diaphragm separating thorax from abdomen,Dorsal nerve cord,Presence of coelom,Pharyngeal gill clefts and dorsam tubular central nervous system
One of primary characters of chordates is,Dorsal tubular nerve cord,Paired nerve cord,Solid central nerve cord,Ganglionated nerve cord
Vertebrates posses,All of these,Two chambered heart,Three chambers,Four chambered heart
Retrogressive metamorphosis is present in,Herdmania,Amphioxus,Balanoglossus,All of these
Herdmania belongs to,Urochordata,Hemichordata,Cephalochordata,Gnathostomata
Which is the class of the phylum to which bat belongs?,Mammalia,Chiroptera,Aves,Prototheria
Birds differ from bats in the absence of,Diaphragm,4 - chambered heart,Homoiothermy,Trachea
If a bird is transferred from 30 C to 10 C. The body temperature will change to,Remin unchanged,10 C,30 C,15 C
Which of the following is an egg laying mammal?,Platypus,Whale,Penguin,Kangaroo
