question,answer,wrong1,wrong2,wrong3
"A light ray falls on a glass surface of refractive index √3, at an angle 60. The angle between the refracted and reflected rays would be:",90,30,60,120
"Two mirrors are at 60, thenumber of image formed is",5,6,7,8
An object is placed at 20 cm from a convex mirror of focal length 10 cm. The image formed by the mirror is:,Virtual and at 20/3 cm from the mirror,Real and 20 cm from the mirror,Virtual and at 20 cm from the mirror,Real and at 20/3 cm from the morror
Power of a plane mirror in Dioptre is,0,+1,-1,Infinity
Concave mirror,Always forms real image,Always forms virtual image,Forms ral image if object is virtual,Forms real image of object is real
A ray oflight falls on the surface of a spherical glass paper weight making an angle 'α' with the normal and is refracted in the medium at an angle 'β'. The angle of deviation of the emergent ray from the direction of the inicident ray is,2(α-β),(α-β),1/2(α-β),β-α
A concave mirror has radius ofcurvature 20 cm. An object is placed 10 cm from the pole of the mirror. The image will be at,infinity,10 cm from the pole on same side,20 cm from the pole on same,will not be formed
A short linear object of length 'b' is placed along the axis of a concave mirror. The distance of object from the pole of a concave mirror is u. Then the size of the image is equal to:,b(f/(u-f))^2,b(f/(u-f)),b((u-f)/f),b((u-f)/f)^2
A point object is placed on principal axis of a concave mirror of focal length 20 cm at distance 30 cm from pole. The image is formed at distance,60 cm infront of mirror,60 cm behind mirror,12 cm behind him,12 cm infront of him
A spherical mirror produces an image 3 times of the size of object. If the image is erect and the distance in between the object and its image is 100cm then the focal length of the spherical mirror is,37.5cm,15cm,25cm,27.5cm
What is the magnification when the object is placed at 2f from the pole of convex mirror?,-1/3,-2/3,-1,-3/2
"If the object is real, a convex mirror always forms",Virtual and erect image,Real and inverted image,Real and erect image,Virtual and inverted image
A man is 180 cm tall and his eyes are 10 cm below the top of his head. In order to see his entire height right from the feet to the head he uses a plane mirror at a distance of 1m from him. The minimum height of the plane mirror reqired is,90cm,85cm,170cm,180cm
If an object is placed symmetrically between two plane mirrors inclined at an angle of 72. The number of images will be,4,2,5,infinity
