question,answer,wrong1,wrong2,wrong3
The phloem in pteridophytes lack,Sieve tubes,Phloem parenchyma,Companion cells,None
Spore of fern germinates to give,Sporophytic fern plant,Prothallus,Protonema,none
Rhizome and rachis in fern are covered with,Ramenta,Hairs,Scales,Rhizoids
The spermatozoids in vascular cryptogams are,Multiflagellated,Non-flagellated,Biflagellated,Biflagellated or multiflagellated
Most primitive type of stele found in pteridophytes is,Protostele,Siphonostele,Solenostele,Dictyostele
Reduction division in pteridophytes occur when,Spores are formed,Prothallus is formed,Sex organs are formed,Gametes are formed
The kideny-shaped structure covering the sorus in dryopteris is called,Indusium,Placenta,Ramentum,Sporophyll
A collection of sporangia beariong spores in leaf of fern is known as,Sorus,Cone,Megasporophyll,Indusium
Number of spores in a sporangium of fern are,64,32,16,128
Sporophyte of pteris is,Dependent upon gametophyte only in the beginning,Independent of gametophyte from the very beginning,dependent on gametophyte fully,None
Which pteridophyte is of medica importance ?,Lycopodium,Isoetes,Selaginella,Rhynia
Which of the following is heterosporous?,Selaginella,Salvinia,Azolla,All of these
Sometimes prothallus of a fern give rise to a fern it is an example of,Apogamy,Parthenocarpy,Apospory,Parthenogenesis
The antherozoids of selaginella are,Elongate and biflagellate,Elongate and multiflagellate,Oval and biflagellate,Oval and multiflagellate
Capsule of pteridium dehices through,Stomium,Stalk,Annulus,Indusium
Frond is the name of leaves of,Ferns,Moss,Conifer,Cycas
