question,answer,wrong1,wrong2,wrong3
The process in which amides are changed into amines is called,Hoffmann's reaction,Friedel craft's reaction,Wurtz reaction,Williamson's reaction
Aniline is converted into benzanilide by reacting with,Benzoyl chloride,Chloro benzene,Benzyl chloride,Phenyl chloride
Nitro-benzene forms aniline by,Reduction reaction,Addition reaction,Substitution reaction,All
The reduction of nitrobenzene in acid medium gives,Aniline,Benzene,Dinitro Benzene,Phenol
Benzene reacts with mixture of conc. \(H_2SO_4+HNO_3\) to form,Nitrobenzene,Phenol,Benzene sulphuric acid,Sulphonitro benezene
When nitrobenzene is treated withn Zinc dust and queous ammonium chloride we get,Phenyl hydroxyl amine,Aniline,Azoxybenezene,Hydrazobenzene
The compound that gives positive carbylamine reaction is,\(CH_3NH_2\),\((CH_3)_2NH\),\((CH_3)_3N\),\((CH_3)_4 N^+\)
"When nirobenzene is reduced under alkaline condition using zinc and NaOH, the final product obtained is",Hydrazobenzene,Phenyl hydroxyl amine,Nitrosobenzene,Aniline
Carbylamine recation is given by,Primary amine,Secondary amine,Tertiary amine,All three types of amine
Bromination of Aniline gives,"2,4,6-tribromoaniline",m-bromoaniline,o-bromoaniline,"o, p-dibromoaniline"
"When nitrobenzene is reacted with \(NH_4Cl\) and water, the product formed is",Phenylhydroxyl amine,Nitrobenzene,Aniline,Azoxy benzene
Ethyl chloride on heating with silver cyanide forms a compound 'X' the compound 'X' is,\(C_2H_5NC\),\(C_2H_5OH\),\(C_2H_5CN\),\(C_2H_5NH_2\)
Nitration of toluene using fuming nitric and sulphuric acids gives,trinitrotoluene (TNT),o-nitrotoluene,m-nitrotoluene,p-nitrotoluene
The reagent that reacts with nitromethane to form methylhydroxylamine is,\(Zn / N H_{4}Cl\),Zn/HCI,Zn/NaOH,Sn/HCI
Nitrobenzene on reduction by zinc and \(NH_4Cl\) gives,Phenylhydroxylamine,Aniline,Nitrosobenzene,Hydrazobenzene
Decomposition of benzene diazonium chloride by using \(Cu_{2}Cl_{2} / H  Cl\) to form chlorobenzene,Sandmeyer's reaction,Raschig's reaction,Cannizarro's reaction,Kolbe's reaction
Nitrobenzene on electrolytic reduction in strongly acidic medium gives,p-Aminophenol,Aniline,Both,None of these
The reagent used when nitrobenzene is converted into hydrazobenzene is,Zn/NaOH,Zn/sodium amalgam,Al/Hg,Sn/HCI
,nucleophilic substitution,electrophilic substitution,free radical substitution,electrophilic addition
T.N.T. is,"2,4,6-Trinitrotoluene","2,4-Dinitrotoluene","1,2,3-Trinitrotoluene","3,4,6-Trinitrotoluene"
"For blasting purposes, T.N.T. is mixed with",Ammonium nitrate,Ammonium chloride,Ammonium nitrite,Ammonium sulphate
How many primary amines are possible for the formula \(C_4H_{11}O\),4,1,2,3
,\(CH_3COOH\),\(CH_{3}CONH_{2}\),\(CH_{3}CHO\),\(CH_{3}CH_{2} NHOH\)
Ethyl isocyanide on hydrolysis in acidic medium generates,ethylamine salt and methanoic acid,propanoic acid and ammonium salt,ethanoic acid and ammonium salt,methylamine salt and ethanoic acid
Acetamide reacts with NaOBr in alkaline medium to form,\(CH_{3}NH_{2}\),\(NH_{3}\),\(CH_{3}CN\),\(CH_{3}CH_{2}NH_{2}\)
