question,answer,wrong1,wrong2,wrong3
"The light from a luminuous point source placed on the lower face of a rectangular glass slab 2.0cm thick strikes the upper face and  the totally reflected rays outline a circle of diameter 3.2 cm on hte lower face,then refractive index of the glass will be",1.6,1.5,1.8,2
The refractive index is,Inversly proportional to square of wavelength,Directly proportional to wavelength,Inversly proportional to wavelength,Directly proportional to fourth power wavelength
The colour of light is due to :,wavelength,velocity,frequency,all
"When light passes from air medium to a glass medium, which remains constant?",frequency,wavelength,velocity,none
The blue color of sea is due to,reflection of light from from the sea water,refraction of light from the sea water,diffraction of light from the sea water,refracation of light from the sea salts
Looming occurs due to,Mirage,Interference,Diffraction,Photoelectric effect
Newton's corpuscular theory couldn't explain,diffraction,refration,reflection,rectilinear propagation
"To a bird flying in sky a fish in water appears to be at 30cm from surface. If refractive index of water with respect to air 4/3, then the real distance of bird from the water surface is",40cm,30cm,22.5cm,60cm
Optical fibre is based on phenomenon,Total internal reflection,Interference,Diffraction,Polarization
A glass slab having thickness 't' and refractive index 'µ'. 'v' is velocity of light in glass slab and 'c' is velocity of light in vacuum.Then find time taken to pass the light through the glass slab,tµ/c,t/c,tc/µ,µ/c
When a ray of light passes into a glass slab from air then,Its wavelength decreases,Its wavelength increases,Its frequency increase,Its frequency decrease
Which of the following is not correct from TIR to occur?,The light should pass from rarer medium to denser medium,The light should pass from denser medium rarer medium,The angle of incidence must be greater than critical angle,both a and b
The ray of light entering into a rectangular glass slab emerges from the slab . The incident ray and emergent ray are:,parallel,perpendicular,makes an acute angle,makes and obtuse angle
The refractive index of air with respect to water is 1.33 .Then refractive index of water with respect to air is,0.75,0.35,0.45,0.65
"The air bubbles in a glass slab (µ=1.5) is 5 cm deep when deep when viewed through one face and 2cm deep when deep when viewed through the opposite face, then thickness of slab is",10.5cm,7cm,7.5cm,10cm
Which wavelength of light falls under visible wavelength?,640nm,900 A°,640 A°,900 A°
The index of refraction of diamond is 2.4 velocity of light in diamond is,1.25 * 10^8 ms^-1,2.5* 10^8 ms^-1,1.5* 10^8 ms^-1,2.0 * 10^8 ms^-1
A diver in water at a depth 1m sees the whole outside world in a horizontal circle of radius .....when the refractive index is µ,1(u^2 -1)^1/2,1/(µ-1),µ/(µ^2 -1)^1/2,1/µ
When light pass through glass slab,wavelength decreases,wavelength increases,velocity increases,frequency decreases
The refractive index of glass is 1.5. Then velocity of which light is minumum in the glass,violet,red,yellow,green
"The refractive index of glass is 1,5 and water is 1.33 .Then what is the critical angle for glass water interface",62.73°,54.6°,48°,56°
A  beam of monochromatic blue light of wavelength 420nm in air travels in water of refractive 1.33.Its wavelength in nm in water will be,315nm,560nm,400nm,280nm
The refractive index (µ) and wavelength of light (λ) when light passes from one medium to another medium,µ∝λ^-2,µ∝λ^-1,µ∝λ^-3,µ∝λ^-4
A monochromatic beam of light passes from a denser medium to a rarer medium .As a result,its speed increases,its speed decreases,its frequency increases,Its frequency decreases
A glass slab has thickness 6mm and µ=1.5 . Calculate the time in nanosecond for an instant of light to pass through it,0.03,0.02,0.05,0.04
"A monochromatic beam of light of wavelength 600nm in air enters a medium of refractive index 1.5 , Its wavelength in the medium will be",400nm,600nm,450nm,900nm
Refractive index of glass with respect to air is 1.5.What is the velocity of light in material?,2 *10^8 m/s,3 *10^8 m/s,1.5 *10^8 m/s,4 *10^8 m/s
A person inside water can see the sun setting at an angle of,49°,41°,60°,90°
"A ray of light is passed from one medium of RI (n1) to another medium of RI

(n2) as shown in fig . The correct relation between n1 and n2 is",n1=n2,n1>n2,n1<n2,There is no relation between n1 and n2
If a point source of light is placed inside water at depth of (7)^1/2 m. Then light emerges out from water surface through a horizontal circle of radius : (µ=4/3),3m,7m,(3)^1/2 m,9m
Which of the following is not correct for TIR to occur?,The light should pass from rarer medium to denser medium,The light should pass from denser to rarer medium,The angle of incidence must be greater than critical angle,Both  a and b
If the refractive index of water is 4/3 and that of glass slab immerged in it is 5/3 What is critical angle for a ray of light tending to go from glass to water?,sin^-1(4/5),sin^-1 (2/3),sin^-1(3/4),sin^-1(4/3)
A vessel of depth 't' is half filled with water of refractive index µ1 and the other half is filled with a liquid of refractive index µ2 . The apparent depth of vessel as seen from above is,t(µ1+µ2) / 2µ1µ2,2µ1µ2/ (µ1+µ2),µ1µ2 / 2(µ1+µ2),2t(µ1+µ2)  / µ1µ2
When does total internal reflection occurs,when refractive index is more in first medium than second,when refractive index is less than the second medium,when refractive index is same in both medium,in all condition
A ray of light is travelling from one medium to another . The wavelength of light at former and later medium is 4000 and 6000 respectively . Then the value of critical angle is,sin^-1 (2/3),30°,45°,60°
