question,answer,wrong1,wrong2,wrong3
Sex organs in bryophytes are,Multicellular and jacketed,Unicellular and jacketed,Unicellular and non-jacketed,Multicellular and non-jacketed
The method of vegetative reproduction of Bryophyta is,All,By Gemma,By bulbil,By apospory
Sporophytes or sporangium in bryophyte is,Partially or fully dependent,Fully dependent,Partially dependent,Fully independent
A bryophyte differs from pteridophytes in,Lack of vascular tissue,Archegonia,Swimming antherozoids,Independent gametophytes
Bryophytes are,Homosporous,Heterosporous,Homosporous or heterosporous,None
Which of the following is not a characteristics feature of Bryophytes?,An independent photosynthetic sporophyte,Presence of archegonia,Water is essential for fertilization,Motile sperms
Bryophytes are,All of above,Amphibians of plant kingdom,First land plants,First embryophytes
The movement of antherozoids towards archegonium for fertilization in marchantia is by,Sucrose,Malic acid,Protein and K+ ion,None
Gemma which helps in vegetative reproduction in marchantia is found in,Dorsal side,Ventral side,Lateral side,Everywhere
Rhizoids found in Marchantia are of type,Smooth and tuberculate,Ligulate and apoendiculate,Branched with oblique septa,None
Common moss is,Funaria,Marchantia,Polvtrichum,Sphagnum
Protonema stage is found in,Mosses,Ferns,Liverworts,Fungi
Presence of pyrenoid ( algal character) is shown by,All of these,Riccia,Anthoceros,Marchantia
Pseudoelaters are present in which class of Bryophyte?,Anthoceropsida,Hepaticopsida,Bryopsida,None
The male and female gamete of Bryophytes are called,Antherozoids and egg,Antheridium and archegonium,Gametophyte and sporophyte,None
Mosses are the indicator of,Soil pollution,Air pollution,Water pollution,Radiation pollution
Elaters are present in sporangium of,Marchantia,Selaginella,Riccia,Sphagnum
Number of peristomial teeth in moss capsule is,"32, 16 in each two rows",16 in two rows,8 in two rows,32 in two rows
The dehiscence of moss capsule takes place by the rupture of,Annulus,Operculum,Peristome teeth,Calyptra
Which is the fertile portion of moss capsule,Theca,Seta,Apophysis,Operculum
In which part reduction division takes place in moss,Capsule,Antheridium,Archegonium,At the tips of rhizoids
