question,answer,wrong1,wrong2,wrong3
1. THE PROTOZOA  WITHOUT ORGAN OF LOCOMOTION IS:,C. SPORZOA,A. RHIZOPODA,B. MASTIGOPHORA,D. CILIATE
"2. PERIPHERAL BLOOD SMEAR  EXAMINATATION IS USEFUL IN DIAGNOSIS OF,",D. ALL,A. FILARIASIA,B. LEISHMANIASIS,C. MALARIA
"3. ONE OF THE FOLLOWING PARASITE HAS A ""MAN-NON-VERTEBRATE"" HOST CYCLE:",A. PLASMODIUM MALARIAE,B. T.SOLIUM,C. F. HEPATICA,D. E. GRANULOSUS
4. INFRECTIVE FORMS OF THE E. HISTOLYTICA IS,B. CYST,A. TROPOZITES,C. BOTH A AND B,D. HUMAN BEINGS
5. CILIATE DYSENTERY IS CAUSED BY:,C. BALANTIDIUM COIL,A. SHIGHELLA SPP,B. ENTAMOEBA HISTOLYTICA,D. PLASMODIUM SPP
6. STAGE RESPONSIBLE FOR RELAPSE IN MALARIA IS:,C. EXO-ERHROCYTIC STAGE,A. SPOROZOITE,B. GAMETOCYTE,D. PRE-ERITHROCYTIC STAGE
7. WHICH OF THE FOLLOWING ORGAN MAINLY INVOLVE IN TOXOPLASMOSIS?,D. BRAIN,A. LIVER,B. UTERUS,C. SKIN
8. INFECTIVE FORM OF HOOKWORM:,B. FILARIFORM LARVA,A. RHABDITIFORM LARVA,C. CERCARIA,D. NONE
9. CASONI'S TEST IS DONE TO SCREEN THE ............,B. ECHINOCOCCOSIS,A. TAENIASIS,C. MALARIA,D. AMOEBIASIS
10. THE TERMINAL SPINED EGGS ARE PRODUCED BY:,B. SCHISTOSOMA  HAEMATOBIUM,A. SCHISTOSOMA MANSONI,C. SCHISTOSOMA JAPONICUM,D. SCHISTOSOMA HEPATICA
11. CASONI'S TEST IS USED FOR THE DIAGNOSIS OF:,A.HYDRATID DISEASE,B. TRICHINELLIASIS,C. ASCARIASIS,D. ESPUNDIA
12. INCUBATION PERIOD OF VISCERAL LEISHMANIASIS IS...............,C. 3-6 MONTH,A. 1-2 WEEKS,B. 2-6 WEEKS,D. 4-9 MONTH
13. MOSQUITO IS NOT THE VECTOR OF...................,D. KALA-AZARA,A. VIRAL ARTHRITIOS,B. DENGUE,C. CHIKUGUNYA FEVER
14. VACCINE IS TO...............,A. PREVENT THE DISEASE,B. CURE THE DISEASE,C. ALLEVIATE THE DISEASE,D. ALL
15. QUARTAN MALARIA IS CAUSED BY,C. PLASMODIUM MALARIAE,A. PLASMODIUM OVALE,B. PLASMODIUM FALCIPARUM,D. PLASMODIUM VIVAX
16. CARRIES OF E. HISTOLITICA DO NOT PASS..........IN STOOL,C. PRECYSTS,A. CYSTS,B. TROPOZOITES,D. OOCYSTS
