question,answer,wrong1,wrong2,wrong3
Bohr's atomic model is valid for,For hydrogen like one electron system,For hydrogen molecule,For hydrogen atom,Fine spectrum of hydrogen
The momentum and position of electron is determined by,Heisenberg uncertainty principle,Pauli's exclusion principle,Aufbau principle,Hund's rule
Isobars are formed when emission of ...... takes place,1−βemissions,1α +3β,2α+1β,1-α emission
Neutron was discovered by,Chadwick,Rutherford,Bohr,Meson
"In rutherford experiment when beam of α particles is passed through gold foil, most of them pass out straight undeflected , then which statement is correct?",Most part of the atom are empty,Center of atom is positive,Atom is heaviest particle,All
"If the radius of 1st bohr's orbit is 0.53 A, thr radius of 2nd bohr's orbit is",4× 0.53 A,2× 0.53 A,8×0.53A,16×0.53 A
If the ionization energy of hydrogen atom is 13.6 ev. What is the difference in energy of 2nd and 3rd orbit?,1.9ev,0.87ev,0.65ev,2ev
The ionization energy of hydrogen atom is 13.6ev . The ionization energy of helium atom would be,54.4ev,6.8ev,27.2 ev,94.8ev
Maximum no of unpaired electron is present in:,Fe++,Mg++,V++,Ti³+
Which has maximum magnetic moment?,Fe³+,Cr³+,Co ³+,Zn²+
If n=2 and d= 1 then total number of electron in all the orbital is,6,2,4,10
For azimuthal quantum number =1 the shape of orbital is,Dumbell,Spherical,Double dumbell,Helix
Two electrons in a orbit have different,Spin quantum number,Principal quantam number,Azimuthal quantum number,Magnetic quantum number
Which of these events occurs when an electron in an excited state?,Light energy is emitted,The atom undergoes spontaneous decay,Energy is absorbed by the atom,The change increases because an electron is added
Two electrons in the K- shell will differ in,Spin quantum number,Principal quantum number,Magnetic quantum number,Azimuthal quantum number
Magnetic quantum number gives,Orbital orientation,Nuclear stability,Size of orbitals,Shape of orbitals
It is impossible to determine the position as well as momentum of an electron in an atom. This principle is known as:,Heisenberg's uncertainty principle,De Broglie's principle,Pauli's exclusion principle,Aufbau principle
"If the radius of 1st bohr orbit is 2a, then the radius of 3rd orbit is",18a,9a,27a,3a
The spectral region for the lyman series of hydrogen spectrum is in the,Ultra- voilet region,Infra- red region,Visible region,Far infra- red region
In a given atom no two electrons can have the same value of all the quantum numbers. This is called,Pauli's exclusion principle,Hund's rule,Aufbau principle,Hiesenberg uncertainity principle
Max no. Of electrons in d subshell is,10,2,6,14
"The electronic configuration of an element is 2,8, 1. Which of the following statements is true?",It forms basic oxides,It is diatomic,It is a non metal,It is a transitional metal
Number or orbitals in 4th orbit is,16,6,9,20
A p- orbital can accommodate a maximum number of,2 electrons having opposite spin,2 electrons,4 electrons,6 electrons
The electronic configuration (Ar) 3d⁵4s¹ represents ground state for,Cr,C,Cu,Fe
The presence of three unpaired electrons in nitrogen atom can be explained by,Hund's rule,Pauli's exclusion principle,Aufbau principle,Uncertainty principle
The orientation of atomic orbital is given by,Magnetic quantum number,Principle quantum number,Spin quantum number,Azimuthal quantum number
The correct set of four quantum numbers of 4d electron is,"4,2,1,-1/2","4,3,-2,+1/2","4,3,2,+1/2","4,3,1,+1/2"
Bohr's mode of atom could explain,The line spectra of hydrogen atoms,The line spectra of polyelectron atoms,The stark's effect,The zeeman's effect
The quantum number for the designation of 3d are,n=3 and l= 2,n=3 and l= 0,n=3 and l= 1,n= 3 and l=3
"No two electrons in a single atom can have the same set four quantum number, according to",Pauli's exclusion principle,Hund's rule,Heisenberg's uncertainty principle,Aufbau principle
Nitrogen atom should have three unpaired electrons according to,Hund's rule,Heisenberg's uncertainty principle,Aufbau principle,Pauli's exclusion principle
"To explain the structure of atom, the first use of quantum concept was made by",Bohr,Heisenberg,Planck,Einstein
The statement '' not two electron in an atom can have the same set quantum number'' is according to,The pauli exclusion principle,The bohr theory of the atom,The de Broglie hypothesis,The Hund's rule
The line spectra observed when electron jump from higher level to level L is,Balmer series,Paschen series,Brackett series,Lyman series
The orbital angular momentum of hydrogen atom is,0,π/2,h/π,h/2π
"In lyman series, the excited electron falls from higher energy to",N=1 level,N=2 level,N=3 level,N=4 level
"The correct orbital designation of an electron with quantum numbers n=4, l=3, m= -2 and s=1/2 is",4f,3s,5p,6d
Experimental evidence for the existence of atomic nucleus comes from,Alpha ray scattering by thin metal foil,Millikan's oil drop method,Atomic emission spectroscopy,Magnetic bending of cathode ray
Concept of quantization of energy was introduced by,Bohr,Sommerfield,Dalton,Heisenberg
Atomic orbitals are filled up in the ground state in order of the increasing energy level. This is the statement of,Aufbau principle,Pauli's exclusion principle,Hund's rule,De broglie's hypothesis
The region of hydrogen spectrum where paschen series lie on,Infra red,Ultraviolet,Visible,Far infrared
The atoms which have same mass number and different atomic number are known as,Isobar,Isotopes,Isotones,Isomer
"An orbital have azimuthal quantum number l=1, the shape of orbital is",Dumbbell,Spherical,Double dumbbell,None
"How many proton, electron and neutron are present in the element ₂₃X⁴³","21,21,22","22,21,21","22,22,22","22,21,22"
"The atomic number of arsenic is 33, what will be the electronic configuration outermost shell?",4s²4p³,4sp² 4p¹,4s² 4p²,4s²4p⁴
The number of orbitals corresponding to the principal quantum number n is,n²,2n²,3n²,n²/2
Azimuthal quantum number gives,Shape of orbital,Size of orbital,Orientation of orbitals,Spin of the electron
Which of the following set quantum no is not possible?,b) n=2.  L=2.   M=+1.   S=-1/2,a) n=2.   L=1.  M=0.   S=+1/2,c) n=2.  L= 1.  M=-1.  S= +1/2,d) n=2.  L=1.  M= -0.  S = -1/2
Which set of quantum no is incorrect,"n= 1, l=1 , m=+1","n=1 , l=0 ,m=+1","n=1 , l=0, m=0","n=2 , l= 1 , m= -1"
Which is correct,An orbit with principle quantum number n=3 has 9 orbital,"When 25 gm solute satures 100 gm water, solubility is 25 gm",Carbylamine rxn is shown by 2• amine only,Benzaldehyde doesn't show cannizaro reaction
An element has mass number 14 and number of neutrons is 8. Then it is,Isotope of carbon,Isobar of carbon,Isobar of oxygen,Isotope of oxygen
Which one of the following statements is not correct,"The electronic configuration of carbon atom is 1s², 2s² , 2px²","2px, 2py and 2pz electron orbitals are in same energy state",A 2s electron is in lower energy state than a 2p electron,The energy level of a 3d electron is higher than 4s electron
Magnetic quantum number of an atom gives,Orientation of electrons in space,Principal shell occupied by e-,+ve or -ve spin of e-,Orbital of e-
Isobars have same number of,Nucleons,Electrons,Protons,Neutrons
Which is correct,Neutron is heavier than proton,Proton is heavier than neutron,Nucleus is negatively charge,Neutrons were discovered by Rutherford
Isotopes have,Same no of protons and different no of neutrons,Same no. of protons and different no of electrons,Same no of neutrons and different no of protons,Same no of protons and same no of neutrons
Which of the following is the demerit with daltons atomic theory?,Atoms are formed of individuals particle,All the atoms of same elements are same,All atoms of different elements are different,Compound are formed because compound atoms
The element having same mass number but different nuclear charges are known as;,Isotone,Isomorph,Isotope,Isobar
Neutron was discovered by,Chadwick,J. J thomson,Goldstein,Anderson
Which of the following lies in visible region during electron transition?,Balmer,Lyman,Paschen,Bracket
Which of the following is not a quantum number?,Electromagnetic quantum number,Principle quantum number,Spin quantum number,Azimuthal quantum number
"After electrons are filled in np, electrons are filled in",(n+1)s,(n+2)p,(n+1)d,(2n+1)d
Splitting of spherical lines in the magnetic field is known as,Zeeman's effect,Starck effect,Compton effect,Raman effect
