question,answer,wrong1,wrong2,wrong3
Angle of dip where earth's magnetic field is vertical is:,90°,0°,45°,60°
The magnetic susceptibility is negative for,diamagnetic,paramagnetic,ferromagnetic,ferri magnetic substance
Magnetic moment of a magnet decreases by 19% then time is,increases by 10%,decreases by 10%,increases by 20%,decreases by 20%
The value of Bohr magneton is,9.27*10^-24 J/tesla,9.27*10^-31 J/tesla,1.27*10^-18 J/tesla,9.27*10^-23 J/tesla
Permanent magnets are made of,steel,soft iron,copper,Tungsten
When a magnet are made up of,same,halved,doubled,one fourth
A magnetic needle is kept in a non-uniform magnetic field. It experience,A force and torque,A force not a torque,A torque not a force,"No torque, no force"
A magnetic material aligns perpendicular to uniform magnetic field then the substance is :,diamagnetic,paramagnetic,ferromagnetic,antiferromagnetic
Susceptibility above Curie's temperature is valid for:,ferromagnetic,paramagnetic,diamagnetic,ferrimagnetic
A unit magnetic pole placed at a point on the perpendicular bisector line of a bar magnet placed in magnetic meridian experiences a force due to the magnet. The direction of the force experienced by it will be :,parallel to the magnetic axis,45° to the magnetic axis,90° to the magnetic axis,60° to the magnetic axis
"When 2A current is passed through a tangent galvanometer, it gives a deflection of 30° . For deflection of 60° the current must be",6A,1A,2 (2)^1/2 A,4A
A compass needle is allowed to move horizontal plane is taken to a geomagnetic pole. It,will stay in any position,will stay in north-south direction only,will stay in east -west direction only,will become rigid showing non movement
The substance which when placed in external magnetic field are feebly magnetized in opposite direction to that of the magnetizing field are:,diamagnetic substance,paramagnetic substance,ferromagnetic substance,both (a) and (b)
Magnetic meridian is,vertical line,point source,horizontal line,a line directed from N
SI unit equivalent to the magnetic field Tesla(T) may be,Vsm-²,Vsm²,Vs²m²,V-²sm-²
The value of magnetizing field (H) when magnetic flux density (B) =0 is called,Coercivity,Retentivity,Curie's temperature,Curie's temp
At a place the vertical and horizontal component of earth's magnetic field are equal. The angle of dip at that place is,45°,30°,60°,90°
Area of hysteresis curve indicates,loss of energy per cycle,retentivity,coercivity,all of the above
soft iron is a suitable material for the core of transformer because it has,"low hysteresis,high permeability","high hysteresis, high permeability","high hysteresis, low permeability","low hysteresis,low permeability"
The apparent angles of dip at two meridians perpendicular to each other about magnetic meridian are 45° and 45°. Then cost of the true angle of dip at that place is,2^1/2,1,1/2,2
The magnetic field strength at a distance d from a short bar magnet in longitudinal and transverse position are in the ratio of :,2:1,1:1,1:2,4:1
Above curie temperature?,Ferromagnetic substance become paramagnetic,paramagnetic substance become ferromagnetic,paramagnetic substance becomes diamagnetic,diamagnetic substance becomes paramagnetic
The time period of magnet is 1 sec. It is cut into two equal parts by cutting it parallel to its length. What is the new time period of each part when vibrated in the same magnetic field?,1 sec,4 sec,6 sec,8 sec
Why are laminated core are placed in transformer?,to reduce eddv current,to reduce hysteresis loss,to reduce magnetic effect,all of the above
Which of the following is used in the core of an electromagnet,soft iron,soft steel,soft aluminium,soft zine
"When the temperature increases, the magnetic moment of a magnet",decreases,increases,remains the same,sometimes increases and sometimes decreases
Null point is observe at the equatorial line of a bar magnet then the north pole of bar magnet must have faced,geographical north pole,geographical south pole,east,west
"If a magnetic material moves from stronger to weaker parts of a magnetic field, then it is",diamagnetic,paramagnetic,ferromagnetic,anti-ferromagnetic
When a thin bar magnet is cut in length into two equal halves and joined one above facing same pole together the final time period of magnet is equal to : (if initial time period of magnet=T),T/2,T,T/4,2T
"Two ratio of the magnetic moment of two short magnets, which give null deflection in tanB position at 12 cm and 18 cm from the centre of  a deflection magnetometer is",8:27,27:8,2:3,4:9
"What is the net magnetic moment of two identical magnets each of magnetic moment M0, inclined at 60° with each other?",3^1/2 M0,M0,2^1/2 M0,3M0
A thin bar magnet of length 2L and magnetic moment M is bent at mid-point so that the angle between them is 60°. The new magnetic moment is,M/2,M,2M,M (3)^1/2
A magnetized steel wire having dipole moment M is bent in the form of are subtending an angle of 60° at centre.Find the dipole moment of new wire.,3M/¶,M/3,M/2¶,M/3¶
The ratio of magnetic fields due to a small bar magnet at a given distance in the end on position to broad side on position is,2,1/4,1/2,1
A bar magnet is cut into two equal halves by a plane parallel to the magnetic axis. Of the following physical quantities the one side which remains unchanged is,intensity of magnetisation,pole strength,magnetic moment,moment of inertia
The points A and B are situated perpendicular to the axis of 2cm long bar magnet at large distance x and 3x from the centre on opposite sides. The ratio of magnetic fields at A and B will be approximately equal to,27:1,1:27,9:1,1:9
Two points A and B are situated at a distance x and 2x respectively from the nearer pole of magnet 2cm long . The ratio of magnetic field at A and B is,8:1 approximately,4:1 exactly,4:1 approximately,1:1 approximately
The ratio of magnetic potentials due to magnetic dipole in the end on position to that in broad on position for the same distance from it is,∞,zero,1,2
The magnetic potential at a point distance 10cm from the middle point of a magnetic dipole on a line inclined at an angle of 60° with the axis is 3 e.m.u. Then the magnetic moment of magnet is,600 ab-amp cm²,300 ab-amp cm²,150 ab-amp cm²,300 (3)^1/2 ab-amp cm²
The magnet of pole strength m and magnetic moment M is cut into two pieces along its axis. Its pole strength and magnetic moment now become,"m/2 ,M/2","m ,M/2","m/2 ,M","m,M"
A large magnet is broken into two pieces so that their lengths are in the ratio 2:1. The pole strengths of the two pieces will have ratio,1:1,2:1,1:2,4:1
"A magnetic dipole is placed at right angles to the direction of lines of force of magnetic induction B.If it is rotated through an angle of 180°, then the work done is",zero,MB,2MB,-2MB
Calculate force exerted on a point N pole of a 3200A-m placed 10cm away from a point south pole of 40A-m in air,1.28N,1N,2N,3N
A bar magnet is held at right angle to a uniform magnetic filed. The couple acting on a magnet is to be halved by rotating it from this position. The angle of rotation is,60°,45°,30°,75°
Torques τ1 and τ2 are required for a magnetic needle to remain perpendicular to the magnetic fields B1 and B2 at two different places. The ratio B1/B2 is,τ1/τ2,τ2/τ1,(τ1+τ2)/(τ1-τ2),(τ1-τ2)/(τ1+τ2)
The distance between the pole of horse shoe magnet is 4cm. The pole strength of each pole is 40units. The magnetic potential midway between the poles is,zero,80 units,10 units,20 units
"The force between two short bar magnets moments M1 and M2 whose centers are r meters apart is 8N, when their axes are in the same line. If the seperation is increased to 2r, the force between them is reduced to",0.5N,4N,8N,1N
A magnetic needle lying parallel to a magnetic field required W units of work to turn it through 60°. The torque required to maintain the needle in this position is,(3)^1/2 W,W,[(3)^1/2] / 2 W,2W
"A thin magnet is cut into two equal parts by cutting it parallel to its length. If the original time period of vibration is 4 sec, the time period of each part in the same field will be",4s,2s,4(2)^1/2 s,none of these
"At a certain place, horizontal component is (3)^1/2 times the vertical component. The angle of dip at this place is",¶/6,0,¶/3,none of the above
"Two bar magnets of the same mass, same length and breadth but having magnetic moments M and 2M are joined together pole for pole suspended by a string. The time period of assembly in a magnetic field of strength H is 3 seconds. If now the polarity of one of the magnets is reversed and the combination is again made to oscillate in the same field, the time of oscillation is",3(3)^1/2 sec,3 sec,3/[(3)^1/2] sec,6 sec
"In end on and broadside on position of a defleciton magnetometer, if θ1 and θ2 are the deflections produced by short magnets at equal distances, then tanθ1/tanθ2 is",2:1,1:2,1:1,none
"At a place of latitude 5°, the angle of dip is nearly",10°,5°,2.5°,7.5°
Two short magnets have equal pole strengths but one is twice as long as the other. The shorter magnet is placed 20cm in tanA position from the compass needle. The longer magnet must be placed on the other side of the magnetometer for no deflection at a distance equal to,20(2)^1/3 cm,20cm,20(2)^2/3 cm,20(2)^3/3 cm
"A magnetic dipole is placed in two perpendicular magnetic fields B and H and is in equilibrium making angle θ with B then,",Bsinθ =Hcosθ,B=H,Bcosθ=Hsinθ,B=Htanθ
"A circular coil of radius 20cm and 20 turns of wire is mounted vertically with its plane in magnetic meridian. A small magnetic needle is placed at the centre of the coil and is deflected through 45° when a current is passed through the coil. When horizontal component of earth's field is 0.34*10^-4 T, the current in the coil is",0.6A,6A,0.06A,6*10^-3 A
"When 2A current is passed through a tangent galvanometer , it gives a deflection of 30°. For deflection of 60°, the current must be",6A,1A,2(3)^1/2 A,4A
Horizontal component of earth's field at a height of 1m from the surface of earth is H. Its value at a height of 10m from the surface of earth is,H,H/10,H/9,H/100
A superconductor exhibits perfect,diamagnetism,paramagnetism,ferromagnetism,antiferromagnetism
For a diamagnetic material,"µr<1,xm<0","µr>1,xm>1","µr>1,xm<1","µr<1,xm>0"
The moment of magnet (15cm*2cm*1cm) is 1.2 A-m². What is its intensity of magnetization?,4*10^4 Am^-1,2*10^4 Am^-1,10^4 Am^-1,none
"The core of an electromagnet is made of soft iron, because",both of these,the susceptibility of soft iron is very high,coercivity of soft iron is very low,none of these
The hysteresis cycle for the material of permanent magnet is,tall and wide,short and wide,tall and narrow,short and narrow
A magnetizing field of 2*10^3 apm/m produces a magnetic flux density of 8¶ tesla in a rod. The relative permeability of the rod will be,10^4,10²,10^0,10³
Two magnets are held together in a vibration magnetometer and are allowed to oscillate in the earth's magnetic field with like poles together. 12 oscillations per minute are made but for unlike poles together only 4 oscillations per minute are executed. The ratio of their magnetic moments is,5:4,3:1,1:3,3:5
"When a thin bar magnet is cut in length into equal halves and joined one above the other facing same pole together, the final time period of the magnet is equal to( if the initial time period = T)",T/2,T,T/4,2T
A magnet of magnetic moment M is revolved end for end in a uniform magnetic field B. The change in kinetic energy of the magnet will be,None,4MB,MB,3MB
A magnet of length 2l is bent mid at 60°. Find the new length of the magnet,l,2l,2l/3,4l/3
"If a magnet is revolved end for end in a uniform magnetic field, the kinetic energy of magnet",decreases,increases,remains constant,zero
