question,answer,wrong1,wrong2,wrong3
The number of Coulombs of electricity required to deposit 0.3 mole of \(Cu^{++}\) is,6 × 9650,9650,2 × 9650,4 × 9650
The amount of electricity required to deposit 0.2 mole of \(Ag^+\) is,2 × 9650,3 × 9650,2 × 96500,96500
"When sodium chloride is electrolysed, which of the following reaction takes place at anode ?",\(2C l^ -→ Cl _2 +2e^ -\),\(Na^ + +e^ - → Na\),\(Na^ - →Na + e\),\(Cl_{2} +2e^ - →2Cl^ -\)
Electrochemical equivalent refers to mass deposited in which of the following cases?,1 Coulomb,1 Faraday,1 ampere of current for 1 minute,96500 Coulomb charge
"\(CuSO_4\) is electrolyzed by passing 1 Faraday of current. At anode, there is",Loss of 32 gram,Gain of 32 gram,Loss of 64 gram,Gain of 64 gm
"In electrolysis, amount of silver deposited equivalent of 112 ml of Hydrogen is",1.08 gm,108 gm,10.8 gm,0.108 gm
An electric current 0.25 Amp was passed through acidified water for 2 hours. What will be the volume of \(H_2\) produced at NTP ? (1 Coulomb of electricity produced \(10^{-5}\) gm of \(H_2\) ),0.2016 litre,0.108 litre,0.36 litre,0.408 litre
"Given that, 

\(Zn^{ ++ }+2e^ - →Zn   \)         E⁰ = - 0.76V

\(M g^ {++} +2e^ - →Mg\)       E⁰ = - 2.37V

When Zn dust is added to \(MgCl_2\) solution then",Mg is crystallized out,Zn is dissolved,\(ZnCl_2\) is formed,No reaction
In the electrolysis of water 224 liters of pure hydrogen was liberated at NTP. The weight of oxygen liberated will be,160 g,320 g,32 g,16 g
The wt. of Ag deposited when 465.5 coulomb electricity is passed is,0.521 g,0.480 g,0.441 g,0.465 g
When \(CuSO_4\) solution is electrolysed between the two electrodes then at anode,\(O_2\) gas is evolved,Dissociation of Cu takes place,Metallic copper is deposited,\(SO_2\) gas is evolved
Electrolysis of \(H_2O\) produces 114 ml of \(O_2\) at NTP then mass of hydrogen gas produced is,0.02 g,0.01 g,2 g,1 g
The conductivity of strong electrolyte,Increase slightly on dilution,Decreases on dilution,Doesn't change with dilution,Depends upon the density of electrolyte
Three faradays of charge is supplied to bivalent metal. What is the number of electrons involved?,\(18 ×10 ^{ 23}\),\(6 × 10 ^{ 23}\),\(2 ×10 ^ {23}\),\(9 × 10 ^ {23}\)
How many faradays of charge is required to convert 1 mole of \(MnO_4^-\) to \(Mn^{2+}\) ?,5,3,4,6
"If one end of a piece of metal is heated, the other end becomes hot after some time . This is due to",energized electrons moving to the other part of the metal,resistance of the metal,minor perturbation in the energy of atoms,mobility of atoms of the metal
The unit of specific conductivity is,\(ohm^{-1} cm^{-1}\),ohms \(cm^{-1}\),ohms \(cm^{-2}\),\(ohm^{-1} cm^{-2}\)
The unit of equivalent conductivity is,\(ohm^{-1} cm^2 \) \((gm. equivalent)^{-1}\),ohm cm,ohm cm² (g equivalent),S \(cm^{-2}\)
The best conductor of electricity is a 1 M solution of,sulphuric acid,boric acid,acetic acid,phosphoric acid
