question,answer,wrong1,wrong2,wrong3
"If the molecular mass of the gases are   M1 and M2 respectively, then the mean
square velocity of the gases are proportional to",M2/M1,M1/M2,\(\sqrt{M1/M2}\),\(\sqrt{M2/M1}\)
Average translational kinetic energy of a molecule is given by,3/2 KT,3/2 RT,1/2 KT,1/2 RT
If all the CO2 is removed then temperature of earth will,Be less than present temperature,Be more than present temperature.,Will depend on average velocity of gas.,May increase or decrease
Absolute zero is accurately:,-273. 15 K,-273. 25 K,-273. 34 K,-273. 05 K
"Pressure 'P', volume 'V' and temperature 'T' of a certain material are related by P=\(αt^2/V\) Here, a is constant. The work V done by the material when temperature changes from To to 2To while pressure remains constant is:",\(3αTo^2\),\(6αTo^3\),\(3/2αTo^2\),\(2αTo^2\)
The specific heat of an ideal gas at constant pressure and constant volume are 525 J/Kg°C and 315 J/Kg°C respectively. Then it's density at NTP is,1.75 kg/m3,0.64 kg/m3,2.62 kg/m3,1.20 kg/m3
Average kinetic energy (E) per unit volume of a gas is related to its pressure (P) as,P=2/3 E,P=3/2 E,P=1/3 E,P=5/3 E
"Critical temp, for Vander Waal's equation is",\(\frac{8a}{27Rb} \),\(\frac{27a}{8Rb} \),\(\frac{a}{27b^2} \),\(\frac{27b}{8Rb} \)
"At the same temperature, pressure and volume of two gases, with which of the following quantities is constant?",Total number of molecules,Root mean square velocity.,Average kinetic energy,Mean free path.
"A cylinder contains 150c.c of ideal gas at 27°C and 650 mm pressure. At constant pressure, the volume of gas at 0°C is",136.5 c.c.,130 c.c.,140 c.c.,150 c.c.
"When the absolute temperature of a gas is increased three times, the root mean square velocity of gas molecules will be:",√3 times,3 times,9 times,1/3 times
"For a gas, deviation from ideal behaviour is maximum at",-20° C and 50 atm,0°C and 1 atm,-10° C and 20 atm,100° C and 2 atm.
Internal energy of N molecules of ideal gas depends upon;,Temperature,Pressure,Volume,Pressure and temperature
Straight line graph in Boyle's law obtained between pressure and,Reciprocal of Volume.,Volume,Temperature,Reciprocal of temperature.
