question,answer,wrong1,wrong2,wrong3
A cart of mass 1200 kg is pulled by the horse of 200 kg. The coefficient of friction between them and ground is 0.2 Calculate the force required to produce the acceleration of 2 m/s2 in the cart,4800N,1220N,2400N,3600N
Two blocks of masses m1 = 1 kg and m2 = 2 kg are connected by a deformed light spring. They are lying on a rough horizontal surface. The coefficient of friction between the block and the surface is 0.4. What min. const force F has to be applied in horizontal direction to the block of mass m1 in order to shift the other block?,8N,15N,10N,25N
"A block of mass 'm' is moving with const. acceleration on a rough horizontal plane. If the coefficient of friction between the block and ground is μ, the power delivered by the external agent after a time t from the beginning is equal to",\(m(a+μg)at\),\(ma^2t\),\(μmagt\),\(μm(a+μg)t\)
A rectangular block is moving on a horizontal surface (side 'a' height 'h'). It will topple down when (μ = coefficient of friction of surface).,μ ≥ a/2h,μ ≥ a/h,μ ≥ h/2a,μ ≤ h/2a
"Starting from rest, a body slides down a 45° inclined plane in twice the time it takes to slide down the same distance in the absence of friction. The coefficient of friction between the body and the inclined plane is",0.75,0.25,0.33,0.80
"A box weighting 30 kg is pushed along the floor at a constant speed by applying a horizontal force. If the coefficient of friction is 0.2, then force applied is",60N,6N,12N,240N
"A car of mass 'm' moving with speed 'v' is stopped at a distance 'x' by the friction between the tyres and the road. If K.E of the car is doubled, stopping distance will be",2x,8x,4x,x
"A body of mass ""M"" is moving on a rough horizontal surface with kinetic friction ""μk"" and momentum ""p"". Find out the distance covered by body before coining to rest",\(\frac{P^2}{2.m^2.μk.g}\),\(\frac{2m^2}{P^2.μk.g}\),\(\frac{μk^2}{P^2.μk.g}\),\(\frac{g}{P^2.μk.m^2}\)
A block 2kg on a horizontal surface begins to move when it is pulled at 30° with horizontal by 10N force. Then coefficient of limiting friction for the block and surface is,1/√3,2/√3,√3,2
A 2 kg block moves at constant acceleration of \(2ms^{-2}\) when it is pulled horizontally by 10N. If it is pulled by 20N force on the same surface then acceleration will be:,\(7ms^{-2}\),\(4ms^{-2}\),\(5ms^{-2}\),\(10ms^{-2}\)
A block of 2kg slides at constant velocity of 20m/s on a horizontal surface If it is pulled horizontally by 8N. Then coefficient of sliding friction will be,0.4,0.2,0.5,1
A block is sliding down a 30° smooth  inclined plane. Then coefficient of sliding friction will be,zero,1/√3,√3/2,1/2
"A 40 kg slab rests on a frictionless floor. A 10kg block rests on top of the slab. The static coefficient of friction between the block and the slab is 0.6 while the kinetic coefficient is 0.4. The 10kg block is acted upon by a horizontal force of 100N, what will be the resulting acceleration of the slab?",\(1ms^{-2}\),\(1.5ms^{-2}\),\(3ms^{-2}\),\(6ms^{-2}\)
"A block of mass 4 kg is placed on a horizontal surface. The coefficient of static friction is 0.4. If a force of 7N is applied on the block, then frictional force is",7N,5N,20N,Zero
A body of mass 2kg rests on a rough inclined plane making an angle of 30° with the horizontal. The coefficient of static friction between the block and the plane is 0.7. The frictional force on the block is,9.8N,0.7 × 9.8 × √3N,9.8√3 N,0.7 x 9.8N
"A block of mass 0.1kg is held against a wall by applying a horizontal force of 5N on the block. If the coefficient of friction between the block and the mass is 0.5, the magnitude of the frictional force acting on the block is",0.98N,2.5N,4.9N,0.49N
"Starting from rest a body slides on a 45 inclined plane through certnai distance in twice the time it takes & slide down the same distance in the absence of friction. The coefficient, friction between the body and the inclined plane is",0.75,0.33,0.25,0.80
"A heavy uniform chain lies on i horizontal table top. If the coefficient friction between the chain and the table surface is 0.25, then the maximum fraction of the length of the chain, the
can hung over the one edge of the table is",20%,25%,35%,15%
The rear side of a truck is open box of mass 20kg is placed on the truck 4m away from the open end. The coefficient of friction between the truck and box is 0.15 and g = 10m/s2. The truck starts from rest with an acceleration of 2m/s2 on a straight road. The box will fall off the truck when it is at a distance from the starting point equal to,16m,4m,8m,32m
"A block moving initially with velocity of 10m/s on a rough horizontal surface comes to rest after covering a distance of \(10m/s^2\), the coefficient of dynamic friction between the block and the surface is",0.1,0.2,0.5,1
"A block of mass 1 kg is at rest on a horizontal table. The coefficient of static friction between the block and the table is 0.5 (g = 10 nys), then the magnitude of the force acting upward at an angle 60° with the horizontal that will just start the block moving is",5.36N,5N,10N,74.6N
"A block of mass m, lying on a rough horizontal plane is acted upon by a horizontal force P and another force Q inclined at an angle\to vertical. The block will remain in equilibrium if coefficient of friction between it and surface is",(P+Qsinθ) / (mg + Qcosθ),(Pcosθ+Q)/ (mg - Qsinθ),(P+Qcosθ) / (mg + Qsinθ),(Psinθ-Q)/ (mg - Qcosθ)
The lower half of an inclined plane of inclination with horizontal is rough and its upper half is frictionless. If a block released at the top of the plane comes to rest at the bottom again. Then coefficient sliding between the block and rough part of the plane will be,2tanθ,tanθ,2cotθ,1/2 tanθ
A block of mass m resting on a horizontal surface is pulled at an angle θ with vertical by a  force mg. The coefficient of friction f of friction for the block and the surface is μ. The block can moved if,cot θ/2  ≥  μ,tan θ  ≥  μ,cot θ  ≥  μ,tan θ/2  ≥  μ
A gramophone is revolving at angular speed ω with a coin placed on its surface at a distance r from the centre of record and coefficient of friction is μ for the coin and the surface. The coin will revolve with record without sliding if,\(μ  ≥  \frac{ω^2r}{g}\),\(μ =  \frac{gr}{ω^2}\),\(μ <  \frac{ω^2}{gr}\),\(μ =  0\)
A car starts from rest and moves on a surface in which coefficient of friction between the road and tyres increases linearly with distance (x). The car moves with maximum possible acceleration. The K.E. of the car (E) will depend on x as,\(E∝x^2\),\(E∝\frac{  1 }{  x^2 } \),\(E∝x\),\(E∝1/x\)
A 4kg block A is placed on the top of a block B of mass 8kg which rests on a smooth table. A just slips on B when a force of 12N is applied on A. Then the maximum horizontal force required to make both A and B move together is,36N,12N,24N,48N
Two masses A and B of 10kg and 5kg respectively are connected with a spring passing over a frictionless pulley fixed at the corner of a table as shown in figure. The coefficient of friction of A with the table is 0.2. The minimum mass of C that may be placed on A to prevent it from moving is equal to,15kg,10kg,5kg,zero
The frictional force exerted by air on a body of mass 0.25 kg moving with  acceleration \(9.2 m/s^2\) is,0.12,2.3,2.5,0
