question,answer,wrong1,wrong2,wrong3
demo,a,b,c,d
Diamond is a,Covalent crystal,Metallic crystal,Electrovalent crystal,Ionic crystal
"The crystal for which a = b ≠ c 

α = β = 90⁰ and γ = 120⁰ is",Hexagonal system,Cubic system,Triclinic system,Monoclinic system
In Schottky defect,Equal no. of cations and anions are missing from interstitial space,Equal no. of cations and anions occupy interstitial space,Density decreases,Unequal no. of cations and anions are missing from interstitial space
A crystal of graphite contains,Covalent and Van der waal's bond,Only covalent bond,Covalent and electrovalent bond,Only electrovalent bond
How many \(Cl^-\) ions are there around \(Na^+\) ions in NaCl crystal?,6,3,4,8
"On mixing trivalent impurity in a crystal lattice of Si, type of semiconductor thus formed is",p-type,n-type,np-type,none
Bragg's law is given by equation,nλ = 2dsinθ,nλ = 2θsinθ,2nλ = 2dsinθ,2nλ = 1/2dsinθ
A crystalline solid,changes abruptly from solid to liquid,can undergo deformation of its geometry,has an irregular three-dimensional arrangement,has no definite melting point
"In a crystal, the atoms are located at the position of",minimum P.E.,maximum P.E.,zero P.E.,infinite P.E.
Which of the following is not a crystalline solid?,Glass,KCI,CsCI,Rhombic S
The existence of a substance in more than one solid modification is known as,polymorphism,isomorphism,amorphism,none of the three
Most crystals show good cleavage because their atoms or molecules are,arranged in planes,weakly bonded together,strongly bonded together,spherically symmetrical
The more efficient mode of packing of identical atoms in one layer is,hexagonal close packing pattern,square close packing pattern,both (a) and (b),none of the two
"Potassium crystallizes in a bee lattice, hence the coordination number of potassium in potassium metal is",8,0,4,6
The coordination number of sodium in \(Na_2O\) is,4,2,6,8
In ccp arrangement the coordination number of each sphere is,12,6,8,14
Coordination number for Cu is,12,1,6,8
The positions of \(Cl^-\) ions in NaCl structure are,corners as well as centres of the faces of the cube,corners of the cube,centres of faces of the cube,edge centres of the cube
The positions of \(Na^+\) ions in NaCl structure are,both (b) and (c),corners of the cube,body centre of the cube,edge centres of the cube
The number of \(Cl^-\) ions required to form ccp lattice of NaCl structure are,14,6,12,13
How many \(Cl^-\) ions are there around \(Na^+\) ion in NaCl crystal?,6,3,4,8
