question,answer,wrong1,wrong2,wrong3
1. 1.4 mol/1 OF SOD HYDROXYDE (NaOH) CONTAINS....... gm OF NaOH,B. 56,A. 40,C. 14,D. 1.4
2. ONE OF THE FOLLOWING IS NOT AN ALDOSE,D. FRUCTOSE,A. GLUCOSE,B. GALACTOSE,C. MANNOSE
3. ROTHER'S POWDER CONTAIN,D. ALL OF THE ABOVE,A. SOD. NITROPRUSSIDE,B. SOD. CARBONATE,C. AMMONIUM SULPHATE
4. THE PROCESS OF DRAWING OF SYNOVIAL FLUID IS KNOWN AS,C. ARTHROCENTESISI,A. CATHETERIZATION,B. ANGIOPLASTY,D. PHLEBETOMY
5. ENZYME ARE...........,A. PROTEIN,B. FAT,C. CARBOHYDRATE,D. MINERALS
6. THE FOLLOWING POLYSACCHARIDE IS COMPOSE OF ß-GLYCOSYDIC BOND,D. CELLULOSE,A. STARCH,B. GLYCOGEN,C. DEXTRIN
7. DIABETES INSIPIDUS IS DUE TO LACK OF WHICH OF THE FOLLOWING HORMONE?,B. ADH,A. LDH,C. ALP,D. PROTHROMBIN
8. BUN STAND FOR,B. BLOOD UREA NITROGEN,A. BLOOD URINE NITROGEN,C. BURN UREA NITROGEN,D. BLOOD UREA NITRIC ACID
9. UREA SYNTHESIS OCCUR IN,B. LIVER,A. KIDNEY,C. STOMACH,D. SPLEEN
10. DIACETYL MONOOXYDE METHOD (DAM) METHOD IS USED FOR .............ESTAMATION,B. UREA,A. SUGAR,C. SODIUM,D. POTASSIUM
11. THE IMNO ACID IS FOUND IN PROTEIN STRUCTURE,B. PROLINE,A. ARGININE,C. HISTIDINE,D. LYSINE
12. GENERALLY THE GLASS INSTRUMENT USED IN LAB ARE MADE OF OF,B. BOROSILICATE GLASS,A. FLINT GLASS,C. COREX GLASS,D. VYCOR GLASS
12. THE LENS MUST BE WIPE UP BY...........AFTER USING OIL IMMERSION OBJECTIVE LENS.,A. XYLENE,B. ALCOHOL,C. SPIRIT,D. SOD HYPOCHLORIDE 0.5%
13. WHICH OF THE FOLLOWING GAS IS KNOWN AS LAUSING GAS,A. NITROUS OXIDE,B. NITRIC OXIDE,C. DINITROGEN TRIOXIDE,D. NITROGEN DIOXIDE
15. THE BACKBONE OF NUCLEIC ACID STRUCTURE IS CONSTRUCTED BY,C. PHOSPHODIESTER BRIEDGES,A. PEPTIDE BONDS,B. GLYCOSIDIC BOND,D. ALL OF THEM
16. CONVERSION OF GLYCOGEN TO GLUCOSE IS CALLED..........................................................................................,B. GLYCOGENOSIS,A. GLYCOSIS,C. GLYCOLYSIS,D. GLUCONEOGENESIS
16. CONVERSION OF GLYCOGEN TO GLUCOSE IS CALLED..........................................................................................,B. GLYCOGENOSIS,A. GLYCOSIS,C. GLYCOLYSIS,D. GLUCONEOGENESIS
17. CALCIUM IS GENERALLY BOUND TO.............,A. ALBUMIN,B. GLOBULIN,C. FIBRINOGEN,D. PROTHROMBIN
18. WHICH IS THE HEAVIEST ELEMENT?,D. OXYGEN,A. HELIUM,B. HYDROGEN,C. NITROGEN
19. WHICH OF THE FOLLOWING TEST IS NOT A LIVER FUNCTION TEST,D. UREA,A. SERUM BILIRIBUN,B. SGPT,C. ALBUMIN
20. IF A KNOWN HIV POSITIVE MAN COME TO YOUTO ESTAMITE BLOOD GLUCOSE YOU WILL,C. COLLECT BLOOD WITH PRECAUTION,A. NOT COLLECT BLOOD,B. SEND HIM TO PHYSICIAN,D. TELL HIM TO COME TOMARROW
"21. ALL THE FOLLOWING ARE ESSENTIAL AMINO ACID, EXCEPT:",A. TYROSINE,B. LYSINE,C. LEUCINE,D. PHENYL ALANINE
21. BLOOD UREA LEVEL IS MARKEBLY INCREASED IN:,B. RENAL DISEASE,A. LIVER DISEASE,C. CARDIAC DISEASE,D. GASTRITIES
22. NORMAL LEVEL OF SODIUM IN PLASMA IS:,D. 136-145 mEq/ l,A. 3-4 mg/dl,B. 9-11 mg/dl,C. 4-5 mEq/l
23. THE METAL PRESENT IN VITAMIN 12 IS,B. COBALT,A. COPPER,C. CHROMIUM,D. CEISUS
24. THE CARBOXYDRATE RESERVE OF THE BODY,C. GLYCOGEN,A. GLUCOSE,B. STARCH,D. CELLULOSE
25. LIPID PROFIT TEST INCLUDE,"D. CHOLESTEROL, TRIGLYCERIDE, HDL, LDK","A. SUGAR, UREA, CREATINIE","B. CALCIUM, SODIUM, POTASSIUM","C. CPK, LDH, MYOGLOBIN"
26. PEPTIDE BOND IS A BOND BETWEEN,C. AMINO ACIDS,A. PROTEINS,B. MONASACCHARIDES,D. HAEMOLOGLOBIN
27. WHICH OF THE FOLLOWING IS NOTREDUCING SUGAR,C. SUCROSE,A. GLUCOSE,B. FRUCTOSE,D. LACTOSE
28. THE END PRODUCT OF PURINE METABOLISM IN HUMANS IS,B. URIC ACID,A. XANTHINE,C. UREA,D. ALLANTOIN
29. THE DISACCHARIDE LACTOSE IS COMPOSED OF,A. GLUCOSE AND GALACTOSE,B. GLUCOSE AND MANNOSE,C. GLUCOSE AND GLUCOSE,D. GLUCOSE AND FRUCTOSE
30. ALL OF THE FOLLOWING ARE SATURATED FATTY ACIDS EXCEPT,A. OLEIC ACID,B. ARACHIDIC ACID,C. STERARIC ACID,D. PALMITIC ACIDS
31. AT ISOELECTRIC pH (pl) AMINO ACIDS EXIST AS,C. ZWITTER IONS,A. CATIONS,B. ANIONS,D. ACIDIC IONS
32. THE MAXIMUM NUMBER OF PEPTIDE BONDS NEEDED TO.....BIURET TEST,B. 2,A. 1,C. 3,D. 4
