question,answer,wrong1,wrong2,wrong3
In isothermal process which is constant?,Temperature,Pressure,Density,Heat
In four stroke heat engine power is produced in:,Adiabatic expansion,Isothermal expansion,Isothermal compression,Adiabatic compression
Which is incorrect ?,Adiabatic=heat and temperature constant,Isothermal=temperature constant,Isobaric= pressure constant,Isochoric = volume constant
What is the coefficient of performance of a refrigerator working between the  room temperature(27°C) and ice point?,10,0,13,273
The efficiency of Carnot engine working between freezing point and steam point is,26.8,54,58,100
No change in entropy during the process of,Gas is heated isochorically,Gas is heated isobarically,gas is heated isothermally,No work is done
The slope of P-V graph of adiabatic process and isothermal process gives,γ,γ²,1/γ,1/γ²
"If 1500 cal of heat is supplied to system and 1000J of work done , what is increase in internal energy?",5000J,2000J,4300J,6000J
"A cylinder contains 150cc of ideal gas at 27°C and 650mm pressure. On constant pressure, the volume of gas at 0°C is:",136.5 cc,130 cc,140 cc,150 cc
A cylinder of 500m³ capacity contains He at 27°C and 1 atm pressure. If the temperature is decreased to -3°C and pressure to 0.5 atm the volume of gas is:,960m³,500m³,400m³,1000m³
"At the same temperature, pressure and volume of two gases, which of the following quanitities is constant?",Total number of molecules,Average kinetic energy,Root mean square velocity,Mean free path
The process in which pressure and volume changes but temperature remains constant is,isothermal,adiabatic,isobaric,isochoric
A refrigerator has to transfer an average of 263J of heat per second from -10°C to 25°C. The average power consumed by the refrigerator is:,35W,10W,20W,40W
What is the average power of refrigerator consumed when 263J of energy is transfer through -10°C to 25°C?,35 watt,10 watt,40 watt,50 watt
"The temperature of source is 500K with source energy 200J, what is the temperature of sink with sink energy 100J ?",250K,500K,300K,125K
175 calories of heat are required to raise the temperature of 5 mole of an ideal gas at a constant pressure from 20°C to 25°C. The amount of heat required to raise the temperature of same gas from 20°C to 25°C at constant volume will be:,125 cal,100cal,150 cal,175 cal
The specific heat capacity of an ideal gas under isothermal condition is,infinity,0,8.31,1.4
Which of the following is not correct ?,It is possible to cool a gas to absolute zero temperature,"In adiabatic condition, the system is allowed to undergo changes in thermal isolation from surroundings","In an isothermal condition, heat enters and leaves the system",Adiabatic process is accompanied by change in temperature and is quick
"In case of adiabatic expansion

i. Pressure decreases

ii. Internal Energy decreases

iii. There is transfer of heat

choose the correct combination",i and ii are both correct,i is correct,ii is correct,None
The efficiency of Carnot engine is 1/5. On reducing the temperature of sink by 45°C efficiency becomes 1/3. The initial temperature of the sink was,270K,310K,337K,540K
"The efficiency of a carnot engine is 20%. On reducing the temperature of sink by 45°C, efficiency becomes 33.3%. The initial temperature of the sink was",270K,310K,337K,540K
"If one mole of an ideal gas at STP is heated through 1K , the work done by the gas in heat unit will be",1.98 cal,8.31 cal,0.831 cal,83.1 cal
One mole of an ideal gas with γ = 1.4 is adiabatically compressed so that its temperature rises from 27°C to 35°C. the change in internal energy of the gas is,166J,-166 J,-168J,168J
"In a Carnot's engine, the temperature of the heat sink is 27°C and that of the source is 327°C. The  efficiency of the engine is",50%,70%,91%,95%
One mole of a diatomic gas is heated at constant pressure. The fraction of heat energy supplied to the increase in internal energy of the gas will be,7/5,5/7,5/3,7/3
Efficiency of Carnot engine working between 27°C and 127°C is,25%,50%,100%,75%
A Carnot engine takes in 3000 kcal of heat from a reservoir at 627° C and gives it to a sink at 27°C.The work done by the engine is,8.4 x 10^6 J,4.2 x 10^6 J,16.8 x 10^6 J,0
If a gas is allowed to expand adiabatically against external pressure:,there is decrease in internal energy,its temperature remains constant,pressure remains constant,there is increase in internal energy
