question,answer,wrong1,wrong2,wrong3
The term 'meristem' was given by,Nageli,Hanstein,Grew,Schmidt
2. A meristem may be defined as the group of cell which,Divide continuously to give rise to new cell,Add to the bulk of plant,conserve food,Elongate and add to a group of cells
3. Which is not characteristics of meristematic cell,Oval or rounded or polygonal or rectangular and isodiametric,With thick cellulose walls,without intercellular spaces,with comparatively large and prominent nuclei
4.The meristematic activity is maximum in,Apex,Bud,Leaf,Root hair
5.Primary growth or the length of a plant axis is,both b and c,Apical meristem,Intercalary meristem,Lateral meristem
6. Secondary growth or increase in diameter of a plant,Vascular cambium,Groundmeristem,Procambium,cork and phelloderm
7. Meristematic tissue derived from permanent tissue which hane already stopped dividing is,Secondary meristem,Pimary meristem,Apical meristem,Intermediate meristem
8. Which of the following is a primary meristematic,Intrafasicular cambium,Interfasicular cambium,Cork cambium,Vascular cambium
9. Which tissue makes up the embryo of a seed,Meristematic tissue,Permanent tissue,collenchyma,Sclerenchyma
9. Which tissue makes up the embryo of a seed,Meristematic tissue,Permanent tissue,collenchyma,Sclerenchyma
10. Meristematic tissue in vascular bundle is,Interfasicular cambium,Phellem,Fasicular cambium,Procambium
11.Intercalary meristem results in,Primay growth,Secondary growth,Apical growth,Thickening of stem
12.The primary growth in plants results from,promeristem,Primary cambium,Lateral meristem,Cambium
13. Histogen concept for shoot apex organizations,Hanstein,Nageli,Schimdt,Grew
14. Most accepted theory for shoot apex is,Corpus and tunica theory,Histogen theory,Apical theory,None
15.Tunica corpus theory for shoot apex was given,Schimdt,J.C Bose,Nageli,clows
16. Quiescent center concept occurs in,Root apex,Shoot apex,Cambium meristem,Intercalary
17. Dermatogen is a tissue formed by apical meristem,Epidermis,Cortex,Vascular bundle,Ground tissue (pith)
"18. Stelar region (vascular tissue, pericycle and pith) are formed from",Plerome,Periblem,Dermatogen,Tunica
19.Monocot leaves grows by,Intercalary meristem,Apical meristem,Lateral meristem,Dermatogen
20. In monocot root cap is formed by,Calyptrogen,Dermatogen,Protoderm,Plerome
21.The living mechanical tissue of a dicot plant,Collenchyma,sclerenchyma,Chlorenchyma,Parenchyma
21.The living mechanical tissue of a dicot plant,Collenchyma,sclerenchyma,Chlorenchyma,Parenchyma
22.Which of the following tissues form the main bulk of storage organ,Parenchyma,Collenchyma,Sclerenchyma,Aerenchyma
23. A simple mechanical tissue devoid of lignin is,Collenchyma,Parenchyma,Chlorenchyma,Sclerenchyma
24.The collenchyma is thickened due to the deposition of,pectin,cutin,lignin,suberin
"25. Thickening of cell wall, lignifications & specialized for mechanical function are characteristic",Schlerenchyma,Collenchyma,Chlorenchyma,Parenchyma
26.Collenchyma differs from sclerenchyma in,Being living at maturity,Having thick cell walls,Having thick lumen,Being flexible
"27. Fibre, the longest plant cell belongs to the",Sclerenchyma,Parenchyma,Collenchyma,Aerenchyma
28 .Hardness of seed coat is due to the presence of,Stone cells,Sclerenchymatous fibres,Bast,Collenchyma
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
29. Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian stripe
