question,answer,wrong1,wrong2,wrong3
A faulty thermometer with range between 5°C and 90°c. What is the actual temperature when reading gives 35°C?,33.33°c,60 °c,40°c,25°c
A centigrade thermometer reads 1°C at melting point of ice and 99°C at boiling point of water at normal pressure. The correct temprature when reads 25°C is,24.4°C,25.4°C,26.4°C,31.3°C
What is the value of -40° Fahrenheit in celsius scale?,-40°C,-104°C,8° C,20°C
"Two glass thermometer A and B are kept in the sunlight.A is blackened and B is transparent.

Then:",Thermometer A will be heated faster than B and final temp of both is same,Thermometer B will be heated faster than A and final temp of both is same,Both will be heated at the same rate and final temprature of A is more,Both will be heated at the same rate and final temprature of B is more
The common mercury thermometer can be used to measure temperatures between....,-30°C to 357°C,-30°C to 100°C,0°C to 200°C,-30°C to 200°C
Instrument used to measure temprature by radiation method is:,Pyrometer,Radiomicrometer,Thermometer,Barometer
40°C is equal to :,104°F,104°F,102°F,106°F
40°C is equivalent to,104°F,102°F,102°F,101°F
The absolute zero temprature is,-273.14°C,-273°C,-273°K,-273.14°C
The temprature at which the celsius and faherheit scales coincide is,-40°C,40°C,-140°C,-32°C
The temprature of a body recorded by celsius thermometer is -50°C. Its temprature recorded by Kelvin scale is,223 K,323 K,23K,-50K
The temprature of a body recorded by celsius thermometer is -50°C. Its temprature recorded by Kelvin scale is,223 K,323 K,23K,-50K
A reading in celcius scale is 40 V then reading in faherenheit scale is,104°F,40°F,37°F,42°F
A faulty thermometer has its fixed point marked  5°C and 95°C. The correct temprature of a body 59°C. The correct celcsius scale is :,60°C,59°C,58°C,45°C
Mercury is used in Thermeter because it has,low sp. heat & hight conductivity,high sp. heat & high conductivity,high sp. heat & low conductivity,low  heat & low  conductivity
In theremeter reads the body temprature in fahernheit scale gives reading 140°F. What is reading in celsisius scale,60°C,140°C,95.6°C,75°C
Temprature from 2200-2500 °C is measured by,Magnetic theremometer,Vapour pressure thermometer,Resistance thermometer,Pyrometer
If all the CO2 is removed then tempreture of earth will,Be less than present temprature,Be more than present temprature,will depend on avrage velocity of gas,May increase or decrease
Absolute zero is accurately,-273.15K,-273.25K,-273.34K,-273.05K
Mercury thermometer can be be used to measure temprature up to;,360°C,100°C,260°C,500°C
The mercury thermometer is used up to yhe temprature of,360°C,100°C,210°C,500°C
The temprature of a body is is 40°F.Its temprature on celsius scale is,4.4°C,4.6°C,1.6°C,1.32°C
The temperature recorded by a thermometer is 40°C.The temprature on farenheit scale is,80°F,98°F,100°F,104°F
Gas thermometer at constant volume gas is filled at:,low  pressure & high temprature,High pressure & low temprature,low pressure & high temprature,High pressure & high temprature
Gas thermometer at constant volume gas is filled at:,low  pressure & high temprature,High pressure & low temprature,low pressure & high temprature,High pressure & high temprature
"For a constant volume gas thermometer , one should fill the gas",low temprature and high pressure,low temprature and low pressure,high temprature and low pressure,high temprature and high pressure
