question,answer,wrong1,wrong2,wrong3
Trade name of nitrobenzene is,Oil of vitroil,Oil of mirabene,Cinnamon oil,d
Product of riemer tiemann reaction is,Salicyclic acid,Salicaldehyde,c,d
Which of the following is not true in case of grignard reagent ?,react with co2 to give COOH,reacts with acetic anhydide to give 2 degree alchol,React iwth aldehyde to give secondary alchol,reacts with ketone to give tertiary alcohol
Alkyne reacts with catalyst to give,Trans-alkene,Alkyl halide,Alkane,Alchol
Indigo belongs to the class ood,Moderate dye,VAT dye,Dispersive dye,d
Amino acid is building block of protein .Which of the following is obtained by decarboxylation of amino acid ?,Acid,1 degree amine,Ketone,Alchol
Anti pyretic is used to,lower the fever,Increase fever,c,d
Tetrafluoro ethane is the monomer of,PVC,Teflon,Dacron,Neocrene
-Which of the following is obtained when treated with NaOH gives hospital likes smell,2 propanone,3 propanaone,Propnaol,None
Which of the following has low PKa value,CH3COOH,HCOOH,CHCOOH,CH3CH2COOH
"Which of the following when treated with NaOH ,gives hospital like smell",2-propanone,3-propnaone,propanol,None
'A 'Reacts with CH3COONa in presence of (CH3COO)2O to gives cinnamic acid find A,a,b,c,d
Which of the following is obtained when ether reacts with phenol in presence of dil.NaOH,Salicylic acid,Salicaldehyde,c,d
Which of the following reacts with tollen reagent deposit,a,b,c,d
Which of the following is most acidic ?,O nitro phenol,P nitro phenol,m nitro phenol,d
Maximum catenation property is shown by,C,S,N,Si
Reaction of CH2MgBr with ester gives,a,b,c,d
Decarboxylation of amino acid gives,a,b,c,d
..............................................reduces body temperature,Paracetamol,b,c,d
Lindlar catalyst convert alkyne to :,Cis alkene,Trans alkene,Alkane,D
