question,answer,wrong1,wrong2,wrong3
A liquid is placed in a graduated glass cylinder. The coefficient of real expansion of the liquid is thrice that of linear expansion of the glass. On heating the level of liquid will,Approximately remains the same,First decreases then increases.,Decrease.,Increases
"The pendulum of clock is made of brass. If the clock keeps correct time at 20° C, how many seconds per day will it lose at 35° C (a brass = 2 x 10-5°C-1).",12.3 sec,36.9 sec,24.6 sec,49.2 sec
'C' and 'S' are the coefficient of apparent expansion of a liquid in copper and silver vessels respectively. The coefficient of linear expansion of copper is A then that silver is,(C+3A-S) /3,(C-3A-S) /3,(C-3A-S) /3,(C-3A+S) /3
"A thin copper wire of length L at 0°C is heated to t°C, then the length is increased by 0.1%, if the thin copper plate of dimension Lx2L is heated through the same range of temperature, surface area of the sheet will increased by",0.2%,0.8 %.,0.4%,0.1 %
When a liquid kept in a copper vessel has its apparent expansion is 6× 10-6 ° C when the same liquid is heated in steel vessel its apparent expansion is 24 × 10-6. The linear expansively of copper is 18 x 10-/°C. Find out the linear expansivity of steel.,12 × 10-6/ °C,9 × 10-6/ °C,24 × 10-6/ °C,36 × 10-6/ °C
The resistance of a conductor is 15 at 60°C and 20Ω at 100°C. The resistance at 40°C is,12.5Ω,1. 5Ω,5.6Ω,17.5Ω
The resistance of a material at 20°C is 1.72Ω. At 100°C its resistance become (given a = 0.00393 K-1),2.62Ω,1.58 Ω,22.6Ω,15.8Ω
A zinc rod has a length 1 m at 0°C. Find its length at 50°C. The linear expansivity of Zinc is 26 x 10-6/°C,1.0013 m,1.013 m,1.00013 m,1.13 m
"When two rods of different length Li and L2 of different materials of linear expansivities α1and α2 have same difference in length at any temperature, then",L1/L2=α2/α1,L1/L2=α1/α2,L1/L2=α1^2/α2^2,NONE
"A brass rod and lead rod each 80cm long at 0°C both clamped together about one end with their free ends coinciding. If whole system is placed in a steam bath, then difference in length of both rods is αbrass= = 2 × 10-5/°C and αlead  =1 × 105/°C",0.8mm,0.2mm,1.4mm,1.6mm
