question,answer,wrong1,wrong2,wrong3
For a 1 molar solution of NaCl in at 25 ⁰C and 1 atm pressure,Molarity = Normality,Molality = Normality,Molality = Mole fraction,Molarity = Mole fraction
Which of the following modes of expressing concentration is independent of temperature?,Molality,Molarity,Formality,Normality
Molarity is expressed as,Moles/litre,Grams/litre,Litres/mole,Moles/1000 gm
A molal solution is one that contains one mole of a solute in,1000 gm of the solvent,One litre of the solvent,One litre of the solution,22.4 litre of the solution
The solubility of a gas in water depends on,all the above,nature of the gas,temperature,pressure of the gas
The volume of a 0.2 N base required to completely react with 0.5 litre of an 0.1 N acid is,0.25 l,1.00 l,0.10 l,0.01 l
How many grams of \(CH_3OH\) would have to be added to water to prepare 150 mL of a solution that is 2M \(CH_3OH\),9.6,2.4,9.6 × 10³,4.3 × 10²
Which one of the following gases contain lest number of molecules?,\(PCl_5\) (4 g),4 g of \(H_2O\),2 g of marsh gas,Phosgene (2 g)
5.85 g of NaCl is dissolved in \(H_2O\) and solution made upto 500 ml. The molarity is,0.2,0.1,1,0.117
What is the molarity of \(H_2SO_4\) solution that has a density of 1.84 g/cc at 35 ⁰C and contains 98% by weight?,18.4 M,4.18 M,8.14 M,18 M
An aqueous solution of glucose is 10% in strength. The volume in which 1 gm mole of it is dissolved will be,1.8 litres,18 litres,9 litres,0.9 litre
A 500 g tooth paste sample has 0.2 g fluoride concentration. What is the concentration of F in terms of ppm level?,400,250,200,1000
Increasing the temperature of an aqueous solution will cause,decrease in molarity,decrease in molality,decrease in mole fraction,decrease in % w/w
"10 mL of N HCl, 20 mL of N/2 \(H_2SO_4\) and 30 mL of N/3 \(HNO_3\) are mixed together and volume made to one litre. The normality of the resulting solution is",N/2,N/10,N/20,N/40
What is the normality of 1 M solution of \(H_3PO_4\) ?,3.0 N,0.5 N,1.0 N,2.0 N
Normality of 2 M sulphuric acid is,4 N,2 N,N/2,N/4
How many grams of dibasic acid (Mol. wt 200) should be present in 100 mL of its aqueous solution to give decinomal strength?,1g,2g,10 g,20 g
Sum of mole fractions of the two components of a binary solution is always,Exactly one,More than one,Less than one,Not fixed
The molarity of pure water is,55.6,50,100,18
The number of moles in 180 g of water is,10,1,18,100
If we take 44 g of \(CO_2\) and 14 g of \(N_2\) what will be mole fraction of CO₂ in the mixture?,2/3,1/5,1/3,1/4
Which is heaviest?,2 moles of CO₂,25 g of Hg,2 moles of H₂O,4 g atoms of O₂
The temperature at which the vapour pressure is equal to the external pressure is called the,Boiling point,Critical temperature,Normal point,Saturation point
A substance will be deliquescent if its vapour pressure is,Less than that of water vapour in the air,Greater than that of water vapour in the air,Equal to that of water vapour in the air,Equal to the atmospheric pressure
Azeotropic mixtures are,Constant boiling mixtures,Those which boil at different temperatures,Mixture of two solids,None of the above
Colligative properties of the solution depend on,Number of particles present in the solution,Nature of solute,Nature of solvent,Number of moles of solvent only
Identify the mixture that shows positive deviation from Raoult's law,\((CH_3)_2CO + CS_2\),\(CHCl_3+ (CH_3)_2CO\),\((CH_3)_2CO + C_6H_5NH_2\),\(CHCl_3+C_6H_6\)
Which of the following is not a colligative property?,Vapour pressure,Osmotic pressure,Elevation of b.p.,Depression of f.p.
Which is not a colligative property?,Freezing point,Lowering of vapour pressure,Depression of freezing point,Elevation of boiling point
Which of the following is a colligative property?,Osmotic pressure,Surface tension,Viscosity,Boiling point
"For a dilute solution, Raoult's law states that",The relative lowering of vapour pressure is equal to the mole fraction of the solute,The lowering of vapour pressure is equal to the mole fraction of the solute,The relative lowering of vapour pressure is proportional to the amount of solute in solution,The vapour pressure of the solution is equal to the mole fraction of the solvent
A solution that obeys Raoult's law is,ideal,normal,molar,saturated
A mixture of benzene and toluene forms,an ideal solution,a non-ideal solution,a suspension,an emulsion
Which of the following liquid pairs shows a positive deviation from Raoult's law?,Benzene-methanol,Water-hydrochloric acid,Water-nitric acid,Acetone-chloroform
Which of the following pairs shows a negative deviation from Raoult's law?,Acetone-chloroform,Acetone-benzene,Acetone-ethanol,Benzene-methanol
If liquid A and B form an ideal solution,the enthalpy of mixing is zero,the entropy of mixing is zero,the free energy of mixing is zero,the free energy as well as the entropy of mixing is zero
Which one of the following solutions would produce maximum elevation in B.P.?,0.1 M \(MgSO_4\),0.1 M glucose,0.2 M sucrose,0.1 M \(BaCl_2\)
Which of the following solutions will have the highest boiling point?,1% NaCl,1% glucose,1% sucrose,1% \(CaCl_2\)
Semipermeable membrane is that which permits the passage of,Solvent molecules only,Solute molecules only,Solute and solvent molecules both,Neither solute nor solvent molecules
Which inorganic precipitate acts as semipermeable membrane?,Copper ferrocyanide,Calcium sulphate,Barium oxalate,Nickel phosphate
"When a few typical solutes are separated by a particular selective membrane such as protein particles, blood corpuscles, this process is called",dialysis,diffusion,transpiration,endosmosis
As a result of osmosis the volume of the solution,gradually increases,gradually decreases,is not effected,any of the three
Osmotic pressure is measured quickly and accurately by,Berkeley and Hartley method,Morse's method,Pfeffer's method,De Vries method
The osmotic pressure of a solution is given by the relation,π/C = ST,π = ST/C,π = CT/S,π = SC/T
The osmotic pressure of solution increases if,Number of solute molecules is increased,Temperature is decreased,Solution constant is increased,Volume is increased
Osmotic pressure of a sugar solution at 24°C is 2.5 atmosphere. The concentration of the solution in gm mole per litre is,0.1025,10.25,1.025,102.5
The osmotic pressures of equimolar solutions of \(BaCl_2\) NaCl and sucrose will be in the order,\(BaCl_2> NaCl > Sucrose\),\(Sucrose > NaCl > BaCl_2\),\(Sucrose >BaCl_2>NaCl\),\(NaCl >BaCl_2> Sucrose\)
Solutions with same osmotic pressure are called,Isotonic,Hypertonic,Hypotonic,Normal
Van't Hoff factor for an electrolyte is,>1,<1,=1,None of these
Acetic acid dissolved in benzene shows a molecular mass of,120,30,60,180
Pressure cooker reduces cooking time because,The boiling point of water inside is elevated,The heat is more evenly distributed,The higher pressure tenderizes the food,A larger flame is used
Maximum freezing point falls in,Camphor,Naphthalene,Benzene,Water
The molality of a solution having 18 g of glucose (mol. wt. =180) dissolved in 500 g of water will be,0.2 m,1 m,0.5 m,2 m
Which one of the following is not an ideal solution?,\(C_{2}H_{5}I\) and \(C_{2}H_{5}OH\) mixture,\(C_{2}H_{5}Br\) and \(C_{2}H_{5}I\) mixture,\(C_{6}H_{5}Cl\) and \(C_{6}H_{5}Br\) mixture,\(C_{6}H_{6}\) and \(C_{6}H_{5}CH_{3}\) mixture
Dialysis can separate,glucose and proteins,glucose and fructose,glucose and sucrose,glucose and NaCl
Number of moles of a solute per kilogram of a solvent is called,Molality,Molarity,Normality,Formality
Units of mole fraction are,dimensionless,moles/L,\(moles/L^2\),moles litre
