question,answer,wrong1,wrong2,wrong3
1. FIXATIVE PREVENTS FROM,C. BOTH A AND B,A. AUTOLOSIS,B. PUTREFACTION,D. NONE
2. THE TISSUE FOR DIAGNOSIS FROM THE DEADH BODY IS,B. AUTOPSY,A. BIOPSY,C. TISSUE,D. ALL
3. MOST COMMON FIXATIVE USED IN HISTOPATHOLOGY IS,D. 10% FORMAL SALINE,A. ALCHOL,B. BOUIN'S FLUID,C. ZENKER'S FORMAL
4. FIXATIVE USED FOR THE ELECTRON MICROSCOPY IS,C. GLUTERALDEHYDE,A. FORMAL SALINE,B. ETHYL ALCOHOL,D. ACETONE
"5. THE PROCESS OF COMPLETE REMOVAL OF CALCIUM FROM CALCIFIED TISSUE SUCH AS BONE, TEETH ETC IS KNOWN AS",B. DECALCIFICATION,A. DEHYDRATION,C. CLEARING,D. INFILTRATION
7. THE MOST COMMONLY USED DECALCIFYING FLUID IS,A. 10% NITRIC ACID,B. FORMIC ACID,C. EDTA,D. ION EXCHANGE
8. THE MOST COMMON CLEARING AGENT AMONG THE FOLLOWING IS,C. XYLENE,A. TOLUENE,B. BENZENE,D. CCL4
9. DEVICE FOR SECTION CUTTING IN THE HISTOPATHOLOGY IS,A. MICROTOME,B. CRYOSTAR,C. TISSUE TEK,D. HISTOKINATE
10. MOST COMMONLY USED MOUNTING MEDIA IS,A. DPX,B. CANADA BALSAM,C. GLYCERIN JELLY,D. ROCKING
11. THE STAIN USED FOR DEMONSTRATION OF BARBODY IS,D. ALL,A. ACETO-ORCIN,B. CRESYL FAST,C. BIBRIH SCARLET
12. GYNECYLOGICAL SPECIMEN FOR DIAGNOSIS OF CANCER IS TAKEN FROM,C. SQUAMO-COLUMNAR JUNCTION,A. VEGINA,B. CERVIX,D.  ALL
13. COMMONEST CAUSES OF STEATARRHOEA IS:,A. GIARDIA LAMBLIA,B. ENTAMOEBA HISTOLYTIC,C. TOXOPLASMA GONDII,D. PLASMODIUM FALCIPARUM
14. FLOATING RIBS ARE:,D. 11th AND 12th,A. 8th AND 9th,B. 9th AND 10th,C. 10th AND 11th
15. OIL RED-O STAIN IS USED FOR STANING OF:,C. FAT,A. FIBROUS TISSUE,B. MUCIN,D. PROTEIN
16. MOSTLY USED ACID FOR DECALCIFICATION IS:,A. NITRIC ACID,B. FORMIC ACID,C. TRICHOLOROACETIC ACID,D. SULPHURIC ACID
17. STATE THE FUNCTION OF STOMACH,D. ALL OF THE ABOVE,A. STORAGE OF THE FOOD,B. SECRETION OF GASTRIC JUICE,C. MIXING FOOD AND JUICE
18. THE PH OF GASTRIC JUICE IS..............,A. 1.5-2.5,B. 4.5,C. 8.5,D. 4.0
19. EMBRYOLOGICALLY HUMAN KIDNEY IS,C. METANEPHRIC,A. PRONEPHRIC,B. MESONEPHRIC,D. ALL OF THE ABOVE
20. THE FERTILIZED OVUM IS IMPLANTED THE UTERINE WALL IS,C. 6th DAY,A. WITH IN 24 hrs,B. 2nd DAY,D. 10th DAY
21. WHICH OF THE FOLLOWING TISSUE IS NOT STRICTLY CLEARED BY XYLENE,B. BRAIN,A. LUNGS,C. LIVER,D. HEART
22. FIRST OSSIFIED BONE ALONG WITH CLAVICAL IS,A. ATLAS,B. MANDIBLE,C. HUMEROUS,D. FRONTAL
24. THE ROUTINELY USED FIXATIVE IN HISTOPATHOLOGY IS,C. FORMAL SALINE,A. NORMAL SALINE,B. ALCOHOL,D. DRY ICE
25. FOR URGENT BIOPSY WHICH MICROTOME IS USED,D. ROCKING,A. BASE SLEDGE,B. ROTARY,C. SLIDING
26. MICROTOME USED FOR THE LARGE TISSUE BIOPSY IS,A. BASE SLEDGE,B. ROTARY,C. SLIDING,D. ROCKING
27. THE STAIN USED FOR THE DEMONSTRATION OF ACIDIC MUCINE  IS,A. ALCIAN BLUE,B. CONGO RED,C. GEIMSA,D. PAS
38. WHICH OF THE FOLLOWING ACTS AS AN BLUING AGENT,D. ALL,A. SCOT'S TAP WATER,B. LITHIUM CARBONATE,C. ALMINIUM HYDROXIDE
29. ABSENCE OF SUBMUCOSA IS THE CHARACTERISTIC FEATURES  THEBLINING OF,C. GALL BLADDER,A. LYMPHNODE,B. SMALL INTESTINE,D. LARGE INTESTINE
29. STAIN USED FOR THE DEMONSTRATION OF PARASITES IS,B. GEIMSA,A. PAP,C. ACETO ORCEIN,D. H/E
"30. ""MASSON'S FONTENA"" STAIN IS USED FOR",B. MELANIN,A. GLYCOGEN,C. CALCIUM,D.TREPONEMA PALLEDIM
