question,answer,wrong1,wrong2,wrong3
Riwanya is fourteenth from the right end in a row of 40 girls. What is her position from the left end ?,27th,24th,25th,26th
Ramila ranks seventh from the top and twenty sixth from the bottom in a class. How many students are there in the class?,32,31,33,44
"In a rows of boys, A is thirteen from the left and D is seventeen from the right. If in this rows A is eleventh from the right then what is position of D from left?",7th,6th,10th,12th
Mohan and samundra are ranked seventh and eleventh respectively from the top in a class of 31 students. What will be their respective ranks from the bottom in class ?,25th and 21th,20 th and 24th,24th and 20th,26th and 22nd
"In a row of 21 girls, when Monika was shifted by four places towards the right, she became 12th from the left end. What was her earlier position from the right end of the row?",14th,9th,10th,20th
Nitika ranks eighteenth in a class of 49 students. What is her rank from last?,32,18,19,31
"Raju is 7 ranks a head of Sumit in a class of 39. If Sumit's rank is Seventeenth from the last, what is Raju's rank from the start?",16th,14th,15th,17th
Ram ranked ninth from the top and thirty eight from the bottom in class. How many students are there in the class?,46,45,47,48
"In row of girls, A is fifteenth from the left and B is fourth from the right. There are three boys between A and B. C is just left of A. What is C’s position from the right?",9th,10th,12th,13th
"In a class, A is eighteen from the front while B is sixteen from the back. If C is twenty-fifth from the frint and is exactly in the middle of A and B, then how many persons are there in the class?",47,45,46,48
Newton is fifteenth from the front in a column of boys. There were thrice as many behind him as there were in front. How many boyd are there between Newton and the seventh boy from the end of the column?,35,33,34,Data inadequate
"Five girls are sitting in a row. Rashi is not adjacent to Sulekha or Abha. Anuradha is not adjacent to Sulekha. Rakhi is adjacent to Monika. Monika is at the middle in the row. Then, Anuradha is adjacent to whom out of the following?",Rashi,Sulekha,Abha,Monika
