question,answer,wrong1,wrong2,wrong3
A football player is moving Southward and suddenly turns eastward with the same speed to avoid an opponent. The force that acts on the player while turning is,Along northeast,Along northward,Along southwest,Along eastward
A man goes 10 km/hr east and 20 km/hr north. Find the relative velocity.,22.36 km/hr,22.46 Km/hr,24.36 km/hr,22.56 km/hr
"Two vectors A= 5i+7j-3k and B=2j+2j-ak are perpendicular to each other, then value of 'a' is",-8,12,-12,8
A vector of length ℓ is turned through the angle θ about its tail. What is the change in the position vector of its head ?,2ℓsinθ/2,ℓcosθ/2,2ℓcosθ/2,ℓsinθ/2
The resultant of two force 3p and 2p is R. If the first force is doubled then the resultant is also doubled. The angle between the force is,120,45,90,60
A vector remains unchanged,When it is slided parallel to itself,When it is rotated by an arbitrary angle,When it is cross multiplied by a unit vector,when it is multiplied by scalar
The x-component of a vector making an angle of 30 with horizontal is 3. Its y-component is,√ 3,3,√ 3/2,3/√ 2
The sum of two unit vectors is a unit vector. Then their difference ia,v3,2,√ 2,zero
What is the component of A = 2i + 3j along B = i + j ?,5/√ 2,5√ 2,10√ 2,10/√ 2
Which set of forces acting on a body never produces zero accleration?,"7N, 12N, 20N","10N, 10N, 20N","6N, 8N, 10N","1N, 2N, 3N"
The forces F1 = (3i +4j)N and F2=(4i+3j) are acting on a body. The resultant force on the body is,7√2N,5√2N,10N,14N
The vector projection of a vector 3i+4k on y-axis is,Zero,5,4,3
"Given vector A=2i+3j, the angle between A and y-axis is",Tan–¹2/3,Tan–¹3/2,Sin–¹2/3,Cos–¹2/3
The position vector of a particle is r=(acoswt)I+(asinwt)j. The velocity of the particle is,Perpendicular to the position vector,Parallel to the position vector,Directed towards the origin,Directed away from the origin
"If a unit vector is represented by 0.5i+0.8j+ck, then the value of 'c' is",√0.11,1,√0.01,√0.39
A particle is simultaneously acted by two forces equal to 4N and 3N. The net force on the particle is,Between 1 N and 7N,7N,5N,1N
A plane is revolving around the earth with a speed of 100 km/hr at a constant height from the surface of earth. The change in the velocity as it travels half circle is,200 km/hr,150 km/hr,100√2 km/hr,0
Two forces F1= 5i + 10j - 20k and F2 = 10i - 5j - 15k act on a single point. The angle between F1 and F2 is nearly,45°,30°,60°,90°
"The vector sum of two forces is perpendicular to their vector differences.In that case, the forces",Are equal to each other in magnitude,Are not equal to each other in magnitude,Cannot be predicted,Are equal to each other
A particle moves from position 3i+2j-6k to 14i+13j+9k due to a uniform force of (4i+j+3k)N. If the displacement in meters then work done Will be,100 j,200 j,300 j,250 j
The angle between the vectors A and B is θ. The value of the triple product A.(B * A) is,0,A²B,A²Bsinθ,A²Bcosθ
"If |A * B| = |A.B|, then angle between A and B will be",45°,30°,60°,90°
Find the torque of a force F= -3i + j + 5k acting at the point r= 7i + 3j + k,14i - 38j +16k,4i+4j+6k,21i+4j+4k,-14i+34j-16k
A force vector applied on a mass is represented as F= 6i-8j+10k and acceleration with 1m/s². What will be the mass of the body in kg.,10√2,20,2√10,10
Two adjacent sides of a parallelogram are represented by the two vectors i + 2j + 3k and 3i - 2j + k. What is the area of parallelogram,8√3,8,3√8,192
