question,answer,wrong1,wrong2,wrong3
"How many protons, electrons and neutrons are present in the element ²¹X⁴³ ?","22, 21, 21","21, 21, 22","22, 22, 22","22, 21, 22"
Atomic no. of Arsenic is 33. What will be the electronic configuration of outermost shell?,"4s² ,4p³","4s² , 4p¹","4s² , 4p²","4s² , 4p⁴"
The electron in an atom,Moves around its nucleus in definite energy level,Moves randomly around the nucleus,Has fixed space around the nucleus,Is stationary in various energy levels
Which of the following set of quantum no. is not possible?,"n=2 , l=2 , m=+1 , s=-1/2","n=2 , l= 1 , m=0 , s=+1/2","n=2 , l=1 , m=-1 , s=+1/2","n=2 , l=1 , m=0 , s=-1/2"
Which of the following does not belong to 3d series?,Pd,Sc,Ti,Fe
Which is correct?,An orbit with principle quantum number n = 3 has 9 orbitals,When 25 gm solute saturates 100 gm water solubility is 25 gm,Carbylamine rxn is shown by 2⁰ amine only,Benzaldehyde doesn't show Cannizaro's reaction
Iron has atomic number 26. What is the electronic configuration of iron cation which can form the complex [Fe(CN)6\(]^{4-}\)?Ar= 1s² 2s² 2p⁶ 3s² 3p⁶,[Ar] 3d⁶ 4s⁰,[Ar] 3d² 4s²,[Ar] 3d⁴ 4s²,[Ar] 3d⁵ 4s⁰
Which one of the following statements is not correct?,The electronic configuration of carbon atom is 1s² 2s² 2px²,"2px , 2py and 2pz electron orbitals are in the same energy states",A 2s electron is in lower energy state than a 2p electron,The energy level of a 3d electron is higher than 4s electron
Magnetic quantum no. of an atom gives,Orientation of electrons in space,Principal shell occupied by \(e^{-}\)s,+ve and -ve spin of \(e^{-}\),Orbital of \(e^{-}\)
Which of the following sequence is correct if given elements are arranged according to ascending atomic no.?,"Fe, Co, Ni, Cu","Co, Fe, Ni, Cu","Fe, Ni, Co, Cu","Cu, Fe, Co, Ni"
The energy of electron in n Bohr's orbit in the hydrogen atom is given by,-2π²Z²e⁴m/n²h²,-2π²m⁴e²Z²/n²h²,-n²h²/2πZ²me⁴,-2πm²e²Z⁴/n²h²
Which of the following electron denoted by the following quantum no. has the highest energy?,"4.2,-1,-1/2","3. 2. 1, 1/2","3, 1.0.-1/2","5, 0, 0, 1/2"
"If 75% of substance decay in 32 minutes then, find how much time it will take to decay 50% of same substance",16 min,10 min,80 min,64 min
"The half life of a radioactive substance is 2 months, then the amount of substance left in 1 year is",M/64,M/32,M/16,M/8
Concept of quantization of energy was introduced by,Bohr,Sommerfeld,Dalton,Heisenburg
Atomic orbitals are filled up in the ground state in order of the increasing energy level. This is the statement of.........,Aufbau principle,Pauli's exclusion principle,Hund's rule,de-Broglie's hypothesis
"In any given orbit electron fill up in increasing order of energy, it is known as",Aufbau principle,Pauli's exclusion principle,Hund's rule,Uncertainty principle
Equal volume of all gases at same temperature and pressure has equal number of molecules is the statement of,Avogadro's law,Dalton's law,Berzelius hypothesis,Charle's law
An orbital have azimuthal quantum no l= 1. The Shape of orbital is,Dumb-bell,Spherical,Double dumb bell,None
"DDT on exposure to water decomposes, It's half life is 10 years. How much time will it take for its 90% decomposition?",40 years,70 years,500 years,700 years
"The configuration Is², 2s² 2p⁵ shows",Ground state of fluorine,Excited state of nitrogen ion,Excited state of oxygen ion,Excited state of fluorine
"The half life of a radioactive isotope is 10 hours, how much of its reactivity will remain after 30 hours?",1/8,1/4,1/3,1/2
The splitting of line into group under the effect of magnetic field is,Zeeman effect,Stark effect,Compton effect,Pressure effect
Shape of orbital is given by the.......Quantum number,Azimuthal,Principal,Magnetic,Spin
"The increasing order for the values of e/m for electron, proton, neutron and α-particle is","n , α , p , e","e , p , n , α","n , p , α , e","n , p , e , α"
Maximum no. of orbitals in a shell is given by,n²,2n²,(2n+1),(n+1)
Which of the following shows highest magnetic moment?,\(Fe^{3+}\),\(V^{3+}\),\(Cr^{3+}\),\(Co^{3+}\)
An electron jumps from higher orbit to lower orbit. Then energy of electron,Decreases,Increases,Remains constant,First increases then decreases
"Half life of a radioactive substance is 1060 years, what is its average life?",1530 year,1460 year,1510 year,1410 year
The silicon atom has unpaired electrons which is due to,Hund's rule,Pauli's exclusion principle,Aufbau principle,Bohr's principle
In sun the source of energy is,Fusion of hydrogen atom,Fusion of heavy nuclei,Fission of heavy nuclei,Fission of uranium atom
Which of the following configuration correspond to alkaline earth metal?,[Ar] 4s²,[Ne] 3s² 3p²,[Ar] 3d¹⁰ 4s¹,[Ar] 3d¹⁰ 4s⁰
Which is not true about cathode rays?,Move with speed same as that of light,A stream of electrons,Charged particles,Can be deflected by magnetic field
Neutron was discovered by,Chadwick,Rutherford,Langmuir,Austin
Neutron is a fundamental particle carrying,no charge and a mass of 1 unit,a charge of +1 and a mass of 1 unit,no charge and no mass,a charge of-1 and a mass of 1 unit
The increasing order for the values of e/m (charge/mass) is,"п, α , р , e","e, p, n, α","n, p, e, α","n, p , α , e"
The heaviest particle is,neutron,meson,electron,proton
