question,answer,wrong1,wrong2,wrong3
Meso tartaric acid is optically inactive due to the presence of,"Molecular sy,mmetry",Two asymmetric carbon atoms,Molecular asymmetry,External compensation
Which of gthe following are geometrical isomers?``,Maleic and fumaric acid,Lactic and malic acid,Seabic acid and pyruvic acid,Acetic acid and succinic acid
How many isomeric thers can be formed from C4H10O?,3,2,4,5
IUPAC name of CH3-O-CH2-CH2-O-CH3,Dimethoxy ethane,Dimethoxy ether,2-methoxy 3-oxybutane,2-Keto butanoic acid
The conversion of optically active into optically inactive isomer is caalled as,racemisation,resolution,mutarotation,Optical inversion
Which of the following are isomers?,ethanol and dimethyl ether,acetone and acetaldehyde,propanone and propanoic acid,methanol and dimethyl ether
How many isomers are possible for a compound having molecular formula of C3H5Cl3?,5,4,6,8
Which of the following are isomers?,Ethyl alcohol and dimethyl ether,Propanoic anid and methyl methanoate,Methyl alchol and dimethyl ether,Acetone and acetaldehyde
Tautomerism is shown by,Exchange of proton between two atmos,Exchange of electron between two atmos,Exchange of iond between two atoms,Exchnage of keto and enol form
Optical activity is measured by,polarimeter,photometer,optometer,bolometer
Optical isomerism occurs when,none,4 different atoms or groups are attached to 4 different C atoms,4 different atoms or groups are attached to 4 same C atoms,4 same atoms or groups are attached to 4 different C atoms
The process of transformation of an optically active isomer into optically inactive isomer is known as,Racemisation,Resolution,Mutarotation,Optical inversion
Which of the following is an optically active compound ?,CH3CHOHCOOH,CH3CH2COOH,CH3COCOOH,HOOC CH2 COOH
IUPPAC name of the compound formula (CH3)C-CH=CH2 is,"3,3,dimethyl butene-1","1,1,1,trimethyl propene-2","3,3,3,trimethyl propene-1","1,1 dimethyl butene -1`"
IUPPAC name of the compound formula (CH3)C-CH=CH2 is,"3,3,dimethyl butene-1","1,1,1,trimethyl propene-2","3,3,3,trimethyl propene-1","1,1 dimethyl butene -1`"
Which of the following statement is not correct about isomers?,have same structural formula,have same  chemical composition,have different physiccal properties,have same molecular formula
Isomerism in which the isomer exists in dynamic equillibrium is,Tautomerism,Optical isomerism,Stereo isomerism,Isomer doesn't exist like that
1-Bromobutane and 2-bromobutane are isomers,Positional,Functional,Chain,optical
HCN and HNC are,Tautomers,Positional isomers,Metamers,Chain isomers
Urea exhibits,tautomerism,Chain isomersim,geometrical isomerism,positional isomerism
"When Acetaldehyde reacts with NaOH a product is formed,that product shows",Optical isomers,Geometrical isomerism,Both optical and geometrical isomerism,None
"How many isomeric esters including structural,isomer and steroisomers can be made with formula C5H10O2;If mathnoic acid is 1 of 2 reactnats used",5,2,3,4
