question,answer,wrong1,wrong2,wrong3
"H2O2 is formed when a compound is reacted with
dil H2SO4. The compound is:",Ba02,MnO2,H2O,Ba03
Which isotope of hydrogen is radioactive?,Tritium,Protonium,Deuterium,All
Hardness of water is not done by,Na2SO4,MgSO4,FeSO4,Cacl2
Ortho and para isomer of hydrogen are separated by,Gas chromatography,Paper chromatography,lon exchange reaction,Solvent extraction
Raney Ni is,Al + Ni,Cu + Ni,Zn + Ni,Rb + Ni
Ortho and para hydrogen are distinguished by,spin or proton,spin of electron,Atomic number,spin of nucleus
Hydrogen cannot be obtained by:,Zn + dil HNO3,Zn and dil. H2SO4,Mg + H2SO4,Mg and H2O
"Atomic hydrogen produces formaldehyde when it
reacts with",carbon monoxide,water,carbon dioxide,formic acid
"Calgon, used as a water softener is",Na2[Na4(PO3)6],Na3[Na3(P03)6],Na4[Na2(P03)6],Na4[Na2(PO4)6]
Given colourless liquid will be determined whether it is water or not by:,adding a pinch of anhydrous copper sulphate,evaporation,taste,adding a few drops of phenolphthalein
In which of the following compounds does hydrogen have negative valency?,NaH,NH3,H2O,HCl
Water is,Dimagnetic,Para magnetic,Ferromagnetic,Non-magnetic
"To test whether a given clear liquid is water, which of the following method could be the best?",add CuSO4 and look for color change,Smell of liquid,Apply litmus solution test.,add sodium metal and test the gas evolved.
Which of the following is not a water softener?,Sodium sulphate,Calgon,Permutit,sodium carbonate
The adsorption of hydrogen by Pd is,occlusion,reduction,hydrogenation,dehydrogenation
Heavy water is,D2O,H2O,T20,H2 & CO
Calgon process for purification of water involves,formation of soluble complex,Ion Exchange,scum,precipitation
"The character of hydrogen which is different form
halogen is",Electropositive nature,lonisation energy,Electro negativity,Reaction with alkali metals
"H loses electron to form H. In this aspect H
behaves as",Alkali metal,Nobel Gas,H2SO4,CaCl2
Zeolites are substances used to remove hardness,MgCl2,A Silicate,. Ca(OH)2,SiO2
Which option is false regarding ortho and para hydrogen?,Ortho form is more conductive than para form,Ortha form is more stable than para form,Ortho form has higher pressure ethan para form,Ortho form has more specific heat than para form.
Calgon is:,Sodium hexa metaphosphate,Sodium orthosilcate,Sodium bisphosphate,2 methyl anthraquinone
Which of the following reagent is used to defect a given colourless liquid is water or not?,Anhydrous CuSO4,Anhydrous ZnCl2,H2SO4,CaCl2
.Heavy water is called heavy because,It is oxide of deuterium,It is denser than common water.,It has a heavy or bad taste,It has a heavier isotope of oxygen
"Moderator used in rocket is heavy water. This
heavy water is",Dz0,H2O,D202,H2O2
Which alum is used for purifying water is:,Potash alum,Ferric alum,Ammonium alum,Chrome alum
The exhausted Zeolite in a water softener is regenerated with 10% solution of,Sodium chloride,Potassium chloride,Aluminim chloride,Hydrogen chloride
H2O2 can be used as oxidising agent in acidic medium by its reaction with,K2Cr2O7,KMnO4,H2SO4,HCl
he permanent hardness of water is due to dissolved,Nitrate of Ca and Mg,Carbonate of K and Ne,Bicarbonate of Ca and Mg,Sulphate of K and Na
he permanent hardness of water is due to dissolved,Sulphates of Ca and Mg,Carbonate of K and Ne,Bicarbonate of Ca and Mg,Sulphate of K and Na
Which of the following has an neutrons and protons?,3Li7,1H1,1H2,1H3
Decomposition of H2O2 is checked by,glycerol,alcohol acids,glycol,acetic acid
Tailing of mercury is due to the formation,Hg20,Hgo,HgCl2,Hg2Cl2
Hdrogen may be produced by the action of cold water on,Sodium,Magnesium,Zinc,Iron
