question,answer,wrong1,wrong2,wrong3
The power  of convex lens is P1=+6D and power of concave lens is P2 = -4D the focal length of combination is,convex lens of 50cm,concave lens of 50m,concave lens of 50cm,convex lens of 50 m
"If m = 2 and R=40cm for a concave mirror.Then find the position of object i.e. object distance , u is",30cm,20cm,10cm,40cm
Two thin lenses of focal length +60cm and -20cm are placed in contact. The focal length of combination is:,-30cm,+15cm,+30cm,-15cm
A body of size 1m is on the axis of convex lens at its focus. Then size (height) of it's image will be,0.5m,0.67m,0.476m,1m
"The power of combination of convex and concave lens is 4D.If the power of convex lens is 4D, the focal length of concave lens is",infinity,-1m,-100 cm,40cm
P and q are the distance of object and image from the principle focus of an equiconvex lens. The Newton's formula for its focal length,(pq)^½,pq,p/q,q/p
A biconvex lens of 8cm and 12cm radius of curvature of refractive index 1.5 then its focal length will be:,9.6 cm,10cm,5cm,20cm
If the biconvex lens is silvered on one side than it will behave as:,concave mirror,convex mirror,plane mirror,converging lens
"The convex lens has focal length 20cm , the power is",+5.0 D,-0.05 D,+0.05D,-5.0D
Two thin lenses of focal length f1 and f2 are placed at a distance 'd' between them.For the power of combination to be zero the seperation 'd' is:,f1+f2,f1-f2,f1/f2,(f1/f2)^1/2
Two thin lenses of focal lengths 10cm and 20cm are placed in contact. Its  combined focal length,6.66cm,40cm,10cm,30cm
The ratio of powers of one convex and the other concave lens is 2/3 and their combined focal lengths is 30cm. Find out individual focal lengths,-15 and 10,-10 and 15,40 and -20,-60 and 40
"If in a plano-convex lens radius of curvature of convex surface is 10cm and the focal length is 30cm , the refractive index of the material of the lens will be",1.33,1.5,1.66,3
A plano convex lens is silvered at the plane surface. If the radius of curvature of convex part is R and refractive index is n. Then find the radius of curvature of convex mirror so formed is,R/(n-1),R/n,R²/n,R{(n+1)/(n-1)}
The distance between an object and a diverging lens is 'p' times the focal length of the lens.The lateral magnification 'm' produced by the lens will be:,(1+p)^-1,p,p^-1,1+p
"The focal length of lens in air is 30cm. Find the focal length of the lens in water (given, µw=1.33 and µg=1.5)",120cm,20cm,90cm,60cm
"Two lenses of power +12 diopters(D) and -2 diopters (D) are placed in contact, the focal length of the combination is",10cm,12.5cm,16.6cm,8.33cm
The effective power is diopter if lenses of focal length +10cm and -20cm are combined is,+5,-5,+3,-2
If we put the object at the focus of convex lens the refracted rays are,parallel,converging,diverging,both converging and diverging
"When a convex lens having focal length 12cm is immersed in water , its focal length becomes",48cm,12cm,24cm,36cm
A convex lens of focal length 0.5m and concave lens of focal length 1m are combined. The power of the resulting lens will be,1D,-1D,0.5D,-0.5D
A convex lens is dipped in a liquid whose refractive index is equal to the refractive index of lens. Then it's focal length will be,becomes infinite,becomes zero,remain unchanged,become small but not zero
Image from a concave lens is formed beyond 1.5 F. The object should be placed at,beyond 2F,between F and 3F,at F,Infinity
An object is placed 1cm from lens having magnification 5. Then its focal length is,0.8cm,1.2cm,-1.2cm,-0.8
A converging lens is mounted on an optical bench and a candle is placed in front of it so that an image of the flame appears on a screen 1.5f beyond the lens. The object is:,beyond 2f,between f and 2f,closer than f,near infinity
An object is placed 10cm in front of a diverging lens of focal length 20cm. The image will be,"virtual,erect,diminished","real,inverted,large","real,erect,diminished","virtual ,inverted, large"
A plano-convex lens is made of refractive index 1.5. If radius of curvature of the curved surface  is 20cm then focal length of lens is:,40cm,10cm,20cm,30cm
"A plane convex lens fits exactly intoa plano concave lens. Their plane surfaces are parallel to each other.If the lenses are made of different materials of refractive indices µ1 and µ2 and 'R' be the radius of curvature of the curved surface of the lenses, then focal length of hte combination is",R / (µ1-µ2),2R / (µ2-µ1),R / 2(µ1-µ2),R / 2-((µ1+µ2)
Two lens of power 1.75D and -1.25D are combined to form a single lens. The focal length of combination will be,200cm,25cm,10cm,50cm
"The plane faces of two identical plano-convex lenses , each having a focal length of 40cm are pressed against each other to form a usual convex lens. The distance from this lens at which an object must be placed to obtain a  real , inverted image with magnification unity is :",40cm,80cm,20cm,160cm
The focal length of a convex lens is f. An object is placed at a distance x from its first focal point. The ratio of the size of the real image to that of the object is,f/x,f/x²,x²/f,x/f
A convex lens of focal length f produces a real image n times the size of the object. Then the distance of the object from the lens is,{(n+1)/n}f,(n-1)f,(n+1)f,{(n-1)/n}f
A conex lens lens of focal length f produces a virtual image n times the size of the object then the distance of the object from the lens is,{(n-1)/n}f,(n-1)f,(n+1)f,{(n+1)/n}f
"A concave lens of focal length f produces an image 1/n th of the size of the object, the distance of the object from the lens is",(n-1)f,(n+1)f,{(n-1)/n}f,{(n+1)/n}f
"The plane face of a plano-convex lens is silvered. If µ be the refractive index and R the radius of curvature of curved surface, then the system behaves like a concave mirror of radius:",R/µ-1,R/µ,Rµ,R(µ-1)
The distance between the convex lens and a plane mirror is 10cm. The parallel rays of light are incident on the convex lens. After reflection from the plane mirror the final image is formed at the optical centre of the lens. The focal length of the lens is,20cm,10cm,40cm,5cm
A convex lens of focal length 20cm is placed co-axially with a concave lens of focal length 5cm. A parallel beam of light is incident on convex lens leaves the concave lens as parallel beam. Then the seperation in between the two lenses is,15cm,5cm,10cm,20cm
A thin lens of focal length f has its aperture of diameter d. It forms an image of intensity I. Now the central part of the aperture upto diameter (d/2) is blocked by an opaque paper. The focal length and image intensity would change to,"f, 3I/4","f/2 , I/2","f, I/4","3f/4 ,I/2"
An object is placed at a distance of 20cm from a convex lens of focal length 10cm.The image is formed at a distance,20cm on the other side of lens,20cm on the same side of lens,20/3 cm on the same side of lens,20/3cm on the other side of lens
"Two thin lenses of focal length f1 and f2 are replaced at distance 'd' between them. For the power of the combination to be zero, the seperation d is",f1+f2,f1-f2,f1/f2,(f1f2)^1/2
A convex lens of focal length f1 is placed in contact with concave lens of focal length f2. The combination will act as a convergent lens if,f1<f2,f1>f2,f1=f2,f1>2f2
A convex lens of power +6D is placed in contact with a concave lens of power -4D. What is the nature and focal length of the combination?,convex 50cm,concave 25cm,concave 20cm,convex 100cm
