question,answer,wrong1,wrong2,wrong3
Who invented Portland cement & in which year?,"William Aspdin, 1840","William Aspdin, 1824","Joseph Aspdin, 1840","Joseph Aspdin, 1824"
Why is natural cement used very limitedly?,Sets too quickly,Brown in colour,Standard consistency is not met with,Particle size too fine.
Why is natural cement used very limitedly?,Sets too quickly,Brown in colour,Standard consistency is not met with,Particle size too fine.
What is average particle size of cement?,15 microns,45 microns,75 microns,100 microns
What is meaning of soundness of cement?,Ability to retain volume after setting,Ability to flow when mixed,Ability to make ringing note when struck,Ability to form strong & sound structure
Time elapsed from instance of adding water until paste ceases to behave as fluid is called,Initial setting time,Final setting time,Intermediate setting time,Absolute setting time
Which equipment is used to test setting time of cement?,Vicat apparatus,Core cutter,Vibrator,Universal testing Machine (UTM)
Green cement is,Cement mixed with recycled materials,Green coloured cement,Cement mixed with plant products,Cement mixed with green algae
Cement is introduced by,Mason Joseph Aspdin,James Gibson,Michael Gove,None
PPC stands for,"Portland pozzolana,cement",Portland plaster cement,Portland primary cement,None
Fineness of cement is measured in,Cm²/kg,Cm/kg,kg/m,None
"After storage, strength of cement",Decrease,increase,Remains same,None
Which additive material is most preferable to be added while manufacturing cement?,Gypsum,Epsum,Plaster of Paris,\(CaS0_4\)
Gypsum is added to cement because,slows down initial setting of cement when water is added,It makes cement very hard.,increases the pace of setting of cement.,None
Which cement is most commonly used in under-water construction where pumping is involved?,Quick setting cement,Low heat cement,Rapid hardening cement,None
Cement is formed by strongly heating a mixture of,Limestone & clay,Chalk & graphite,Graphite & clay,None
How much does a bag of cement weighs?,50 kg,1 kg,25kg,35 kg
What is advantage of using precalciner?,Fuel efficiency,Fine grained cement,Larger clinker size,Sound cement
Which stone provides the calcareous component required for manufacture of cement?,Limestone,Lime,Marble,Granite
Which type of cement is used in marine structure?,Blast furnace slag cement,Expanding cement,High alumina cement,White cement
Deficiency of lime in cement leads to:,Quick setting,Disintegration of cement,Unsound cement,Expansion of cement
Which of the following is not a pozzolanic material?,Cinder,Fly ash,Silica fume,Slag
What function does iron oxide perform in cement?,Acts as flux,Increases strength,Makes cement sound,Increases setting time
