question,answer,wrong1,wrong2,wrong3
1. THE YANTRAS ARE DIVIDED IN TO.........CATEGORIES,D. 6,A. 3,B. 4,C. 5
2. THE NUMBER OF SHASTRA (SHARP INSTRUMENT) IS,B. 20,A. 10,C. 40,D. 60
3. KSHRA KARMA IS USEFUL IN,D. ALL,A. SKIN DISEASE,B. HAEMORRHOIDS,C. FISTULA IN ANO
4. THE PROCESS WHICH IS DONE BY APPLYING LEECHES OR BY CUTTING SUPERFUCIAL VEINS IS,A. JALAUKA,B. SURGERY,C. KSHRAKARMA,D. NONE
5. JALAUKA IS ALSO CALLED,A. ANUSHATRA,B. BLUNT INSTRUMENT,C. AGNI,D. ALL
6. THE NUMBER OF YANTRAS IS,C. 101,A. 6,B. 100,D. 10
7. THE YANTRAS HAS.................FUNCTIONS,C. 24,A. 6,B. 12,D. 101
8. THE DIFFRENT FORMS OF HEAT IN SURGERY ARE,ALL,A. TAPASVEDA,B. STEAM (USMASVEDA),C. HOT MEDICAL SUBSTANCE (UPANAHASVED)
9. THE BURNING PROCESS AFFECTED PART IS,C. AGNI KARMA,A. KSHAR KARMA,B. TAPASVEDA,D. JALAUKA
10. THERE ARE ................TYPES OF SURGICAL PROCEDURES,B. 5,A. 4,C. 6,D. 7
