question,answer,wrong1,wrong2,wrong3
,8,6,4,3
,\(2e^{-}\),\(3e^{-}\),\(4e^{-}\),\(5e^{-}\)
"When SO2 is passed through acidified KMnO4 solution, solution is turned green because",KMnO4 is reduced,KMnO4 is oxidized,KMnO4 solution is turned green,SO₂ is reduced
,Mn,Fe,S,K
A solution of SO2 in water reacts with H2S precipitating sulfur. Here SO2 acts as,An oxidizing agent,A catalyst,An acid,A reducing agent
,Cr,\(H^{+}\),O,\(I^{-}\)
,S is oxidized,Cu is oxidized,Cu is reduced,S is reduced
Oxidation state of oxygen atom in potassium superoxide is,–(1/2),Zero,–1,–2
"In the Alumino-thermic process of manufacture of Aluminium , aluminium acts as",Reducing agent,Oxidizing agent,Both,Complexing agent
Oxygen has a positive oxidation state in,F₂O,H₂O₂,Cl₂O,NaCl
,Disproportionation reaction,Oxidation reaction,Reduction reaction,Neutralization reaction
Oxidation can be defined as,all of the above,loss of electrons,gain of oxygen,removal of hydrogen
Reduction can be defined as,all of the above,gain of electrons,gain of hydrogen,removal of oxygen
A reducing agent is a substance which can,donate electrons,accept electrons,accept protons,donate protons
An oxidising agent is a substance which can,accept electrons,donate electrons,accept protons,donate protons
In C+ H₂O→CO + H2 + H₂O acts as,oxidising agent,reducing agent,both,none of these
"When NaCl is dissolved in water, the sodium ion is",hydrated,oxidised,reduced,hydrolysed
,bromine is both reduced and oxidised,bromine is oxidised and carbonate is reduced,bromine is reduced and water is oxidised,bromine is neither reduced nor oxidised
"One gas bleaches the colour of flowers by reduction while the other by oxidation, the two gases are",SO₂ and Cl₂,CO and Cl₂,H₂S and Br₂,NH2 and SO₂
The oxidation state of carbon in phosgene gas is,+4,+2,-2,0
"In which of the following reactions, there is no change in valency?",Na2O+ H2SO4 = Na2SO4 + H₂O,SO₂+2H2S=2H₂O+3S,2Na+ O2 = Na2O2,4KCIO3 = 3KCIO4 + KCI
Which of the following is the strongest oxidizing agent?,F₂,Cl2,Br₂,I2
The strongest reducing agent is,H₂S,HNO₂,H₂SO4,SnCl2
An element which never has positive oxidation number in any of its compounds,fluorine,boron,oxygen,chlorine
Oxidation state of chlorine in perchloric acid (HCIO4) is,+7,-1,0,-7
The oxidation number of carbon in CH₂O is,0,-2,+2,+4
Oxidation state of oxygen in hydrogen peroxide is,-1,+1,0,-2
The oxidation state of Cr in K2Cr2O7 is,+6,-7,+2,-2
The oxidation number of Mn in KMnO4 is,+7,-7,+1,-1
Phosphorus has the oxidation state of +3 in,phosphorous acid,orthophosphoric acid,metaphosphoric acid,pyrophosphoric acid
"Oxidation numbers of two Cl atoms in bleaching powder, CaOCl2 are","+1,-1","-1,-1","+1, +1","0,-1"
Oxidation number of oxygen in F₂O is,+2,-1,+1,-2
The oxidation state of nitrogen in N3H is,-1/3,+1/2,+3,-1
Oxidation number of iron in potassium ferrocyanide K4[Fe(CN)6] is,+2,+3,+4,+1
"If three electrons are lost by a metal ion \(M^{3+}\), its final oxidation number would be",+6,zero,+2,+4
Oxidation state of oxygen atom in potassium peroxide is,-1,zero,-1/2,-2
The oxidation number of Ni in Ni (CO)4 is,0,-4,+4,+2
,\(MnO4^{-}\) is reduced and \(SO3^{2-}\) is oxidized,\(MnO4^{-} and H^{+}\)both are reduced,\(MnO4^{-}\) is reduced and \(H^{+}\) is oxidised.,\(MnO4^{-}\) is oxidised and \(SO3^{2-}\) is reduced.
Oxidation number of C in C6H12O6 is,0,+6,-6,+4
"In the coordination compound, K4[Ni(CN)4], the oxidation state of nickel is",0,-1,+1,+2
"Oxidation number of S in S8 , S2F2 and H2S respectively are","0,+1 and -2","0,+1 and +2","+2, +1 and -2","-2, +1 and -2"
"When KMnO4 is reduced with oxalic acid in acid medium, the oxidation number of Mn changes from",7 to 2,7 to 4,6 to 4,4 to 2
The highest oxidation state of Mn is shown by,KMnO4,K2MnO4,\(MnO4^{2-}\),Mn2O2
The oxidation number of I in \(H4IO6^{-}\) is,+7,-1,+5,+1
Oxidation number of phosphorus in Ba (H₂PO₂)2 is,+1,+3,+2,-1
In haemoglobin the iron is in,+2 oxidation state,+1 oxidation state,+3 oxidation state,+4 oxidation state
Oxidation state and valency of carbon in CH2Cl2 are,"0,4","0,2","+4,0","-4,0"
"A solution of SO2 in water reacts with H2S precipitating sulphur. Here, SO2 acts as",an oxidising agent,a reducing agent,an acid,a catalyst
Which of the following radicals can bring about the highest oxidation state of a transition metal?,\(F^{-}\),\(Cl^{-}\),\(I^{-}\),\(Br^{-}\)
The oxidation number of sulphur in H2S2O8 is,+6,-2,+4,-7
,\(C2O4^{2-}\),\(MnO4^{-}\),\(Mn^{2+}\),\(H^{+}\)
"With which of the following reactants, SO2 acts as an oxidising agent?",H₂S,Acidified KMnO4,Acidified K2Cr2O7,Acidified C₂H₂OH
The compound which could not act both as oxidising as well as reducing agent is,Al203,SO₂,MnO₂,CrO
The equivalent weight of Na2S2O3 (Mol. wt. = M) in the reaction 2Na2S2O3 +I2 →Na2S406 + 2Nal is,M,M/4,M/3,M/2
Which is the strongest reducing agent?,\(I^{-}\),\(F^{-}\),\(Cl^{-}\),\(Br^{-}\)
"In acidic medium, equivalent weight of K2Cr2O7 (Mol. wt. = M) is",M/6,M/3,M/4,M/2
