question,answer,wrong1,wrong2,wrong3
If a photon has 100ev energy then its frequency is,2.5 × 10^16,2.5 x 10^8,2.5 x 10^24,2.5 x 10^32
Planck's constant has the dimension of,angular momentum,energy,mass,frequency
"If a pd of 1V is applied across an electron, the energy gained by it will be",1eV,1J,1NM,1 watt sec
"Electron, proton, neutron and alpha particle have the same K.E. which of these particle has the highest de-Broglie wavelength",electron,proton,neutron,alpha particle
A metal whose work function is 3.31eV is illuminated by a light of wavelength 5x 10-7m. The threshold frequency for photoelectric emission is,8 x 10^14 Hz,1.6 x 10^15 Hz,2.4 x 10^15 Hz,3.2 x 10^15 Hz
"Light of wave length 400nm in incident on a metal surface having threshold wave length 6000nm and a photoelectric current I flows. If the wavelength is doubled, the magnitude of photoelectric current will be",zero,I,2I,I/2
If K.E. of a particle increased by four times then the de-Broglie wavelength  becomes,1/2 times,2 times,1/√2 times,√2 times
The de-Broglie wavelength of electron is 1.224 Å. The energy of electron of electron in eV.,100,1,10,1224
"A wavelength of electron is 5800Å, find the energy of electron",7.23 x 10^-25J,7.23 x 10-22J,13 x 10-25J,3 x 10-22J
An electron of mass in 'm' and charge 'e' is accelerated from rest through a pd. of 'v' volts in vacancy. The speed of electron will be,(2ev/m)^1/2,(ev/m)^1/2,(mv/e)^1/2,(m/ev)^1/2
"In case of photo electric effect, the no. of electrons ejected per second from the given surface depends upon",intensity of incident radiation,frequency of incident radiation,wavelength of incident radiation,time of exposure of surface
The wavelength of wave associated with with an electron of mass in moving a velocity v is,h/mv,,h/v,\( \sqrt{v/mh}\)
The work function of a material is 2ev what is the velocity of the emitted electron of the wavelength of the incident light is 230 nm?,1 × 10^5 m/s,11 × 10^6 ms-1,2 × 10^5 m/s,7× 10^6 m/s
Which wavelength of light falls under visible wavelength?,640nm,900Å,640Å,900Å
Which has frequency 6 × 10^15 Hz?,UV-rays,Radioactivity wave,microwaves,X-rays
Two photons are traveling along same st. line but in opposite directions. The relative between the two is,c,c/2,2c,0
The photoelectric effect understood on the basis of,Quantum theory of light only,Wave theory of light only,Electromagnetic theory of light only,None
An a-particle and accelerated through same potential. The ratio of final velocity attained by them,1:√2,√2:1,1:1,1:2
The threshold wavelength for a metal whose work function is A. is  λ. wavelength for a metal of work function 1/2 A. is,2 λ.,λ./2,4 λ.,λ./4
Particle nature of light is shown by,Photoelectric effect,Diffraction,Diffraction.,Refraction
"Light of frequency 1.5 times the threshold frequency is incident on or photosensitive material. The frequency is halved and intensity is doubled, the photoelectric current becomes.",Zero,Quadrupled,Double,Halved
". What will be the maximum velocity of photoelectrons ejected from a metal of work function 1eV, when light of wavelength 3000Å falls on it.",10^6m/s,10^3 m/s,10^4m/s,10^5m/s
Which of the following doesn't explain wave theory of light?,Photoelectric effect,Polarization,Interference,Diffraction
If the threshold frequency is increased. What is the effect on K.E.,Decreases.,Increases.,Constant.,First increases than decreases.
What is the value of Planck's constant?,6.625×10^-34Js,6.625×10^-34Js^-1,6.625×10^-35Js,6.625×10^-35Js
"If the uncertainty in position of proton is 6 x 10-8 m, then minimum uncertainty in its speed will be:",1 m/s,1 cm/s,1 mm/s,100 m/s
