question,answer,wrong1,wrong2,wrong3
1. VOLUME OF AN ADULT EYE BALL IS,6.5 MLml,7.5 ml,5.5 ml,8 ml
2. ANTEROPOSTERIOR DIAMETER OF NORMAL ADULT EYE BALL IS.,24 mm,25 mm,23.5mm,23 mm
3. ANTERIOR SEGMENT OF THE EYEBALL INCLUDES STRUCTURAL LAYING IN FRONT OF THE:,VITREOUS BODY,CORNEA,IRIS,CRYSTALLINE LENS
4. NORMAL INTRAOCULAR PRESSURE OF EYE IS :,10-21 mm of hg,5-10 mm of hg,10-16 mm of hg,15-21 mm of hg
5. angle kappa ia the angle formed between the visual axis and :,PUPILARY LINE,OPTICAL AXIS,FIXATION AXIS,NODAL POINT
6. CRYSTALLINE LENS IS DERIVED EMBRYOLOGICALLY FROM THE:,SURFACE ECTODERM,NEUROECTODERM,MESODERM,SURFACE ECTODERM AND MESODERM
7. WHICH CONTINUES TO GROW IN THE LIFETIME:,LENS,CORNEA,IRIS,RETINA
8. OPTIC NERVE CONSIST OF AXONE OF.................,GANGLION CELL,BIPOLAR CELL,ROD AND CONE CELL,ALL
9. NEURONS OF FIRST ORDER FOR VISUAL SENSATIO ARE,BIPOLAR CELL,GANGLION CELLS,ROD AND CONE CELL,NON
10. AVASCULAR COAT OF EYE IS,CORNEA,SCLERA,RETINA,LENS
